remittent	(熱病などが)弛張(しちょう)性の(良くなったり悪くなったりすること)
remnant	(…の)残り,残余,おもかげ,なごり《+『of』+『名』》
remodel	…を作り直す,改造する,…の型を直す
remold,remould	…を造り直す,鋳直す
remonstrance	忠告,いさめ
remonstrate	(人に…について)忠告する,抗議する《+『with』+『名』〈人〉+『against』(『about, over』)+『名』(do『ing』)》
remora	コバンザメ(頭上の吸盤で他の魚の腹部などに吸着する)
remorse	(悪事や不正に対する)『後悔』,良心のかしゃく,自責《+『for』+『名』(do『ing』)》
remorseful	後悔している,良心のかしゃくにたえない
remorseless	無慈悲な,無情な
remote	『遠い』,『遠方の』;(…から)遠く離れた《+『from』+『名』》 / (時間的に)遠い / 《しばしば最上級で》かすかな,わずかの(slight) / (一般に)関係の薄い;(…から)かけ離れた《+『from』+『名』(『wh-節』)》
remote control	遠隔操作,リモコン(リモートコントロール) / リモコンの
remount	…に再び乗る,再び登る / 〈軍隊など〉に新馬を供給する,新馬を入れる / 〈絵・写真など〉を新しい厚紙に貼りかえる / 再び馬(自転車など)に乗る / 新馬,補充馬;新馬の補充
removable	移動できる;除くことができる
removal	(…か,…を)移動すること《+『of』+『名』》 / 移転,引っ越し / (…の)解任,免職(dismissal)《+『of』+『名』》
removal van	=moving van
remove	(…から)…を『取り去る』,持ち去る《+『名』+『from』+『名』》 / (…へ)…を『移す』,移転させる《+『名』+『to』+『名』》 / (…から)〈人〉を解任する,追い出す《+『名』+『from』+『名』》 / (…へ)移る,移転する《+『to』+『名』》 / (…との)距離,隔り《+『from』+『名』》
removed	(…から)隔った,離れた,遠い(distant)《+『from』+『名』》 / 関係が離れた;血縁が遠い
remover	引越し屋,運送業者 / 取り除く人(物) / 剥離剤
remunerate	(苦労などに対し)〈人〉に報いる《+『名』+『for』+『名』(do『ing』)》 / (サービスに対し)〈人〉に報酬を与える《+『名』+『for』+『名』(do『ing』)》
remuneration	報酬を与えること / 報酬;給料
remunerative	引き合う,益になる
renaissance	〈C〉復興,復活 / 〈U〉《the R-》文芸復興,ルネサンス(14‐16世紀にヨーロッパで見られた古典文芸・学術の復興) / (建築・美術などの)ルネサンス式 / (14‐16世紀の)文芸復興の期間
renal	腎臓の
rename	…の名を付け替える,に新しい名前を付ける
renascence	=renaissance
renascent	復興を示す;新生(再生)する
rend	…を引き裂く,引きちぎる / (…から)…をもぎ取る《+『名』+『off from』+『名』》 / …を引き裂くように割る(分議させる)
