revers	(フランス語)(えりの)裏出し,折り返し
reversal	(…を)逆にすること,裏返すこと《+『of』+『名』》
reverse	(位置・方向・順序などにおいて)『逆の』;『裏側の』 / 逆に動かす(動く),バックの / 〈U〉《the reverse》(…の)『反対』,『逆』《+『of』+『名』(『wh』‐節)》 / 〈U〉《the reverse》(貨幣・メダルなどの)『裏側』,(一般に)(…の)裏面《+『of』+『名』》 / 〈C〉(運命などの)逆転,不運 / 〈U〉後退[装置],逆転[装置] / …を『逆にする』,反対にする;…を裏返す / 〈機械など〉を逆転させる,逆方向に動かす / 〈判決など〉を取り消す,破棄する / (ダンスで)逆に回る / 〈機械などが〉逆方向に動く
reversed	逆にした,反対の,裏返のし;取り消された
reversely	逆に,反対に,転倒して,裏返して / これに反して
reversibility	両面(裏表)兼用 / 転換可能
reversible	逆にできる / 裏返される,両面が使える / 裏返しても使える衣服
reversion	〈U〉(元の状態・習慣・話題などに)逆戻りすること,復帰《+『to』+『名』》 / 〈U〉〈C〉(生物の)先祖返り,隔世遺伝 / 〈U〉不動産(財産)の復帰(権);財産相続権
reversionary	復帰権のある・復帰権のある,将来享有すべき.
revert	(元の状態・話題・習慣などへ)戻る,逆戻りする《+『to』+『名』(doing)》 / 〈生物が〉先祖返りする / 〈財産・権利などが〉(前の所有者などに)復帰する《+『to』+『名』》
revery	=reverie
revetment	(石やれんがの)擁壁(ようへき),(特に)護岸舗装
review	…を『調べ直す』,再検討する;《米》〈学科など〉を復習する / …を(改良の目的で)精密に検査する / …を回顧する,振り返る / …を批評する,論評する / …を視察する;…を閲兵する / 〈上級審が〉〈下級審の判決〉を再審査する / 〈C〉(…の)『再調査』,再検討;《米》復習 / 《+『of』+『名』》 / 〈U〉〈C〉回顧,反省 / 〈C〉(…についての)『概観』,概説《+『of』+『名』》 / 〈C〉『批評』,『評論』;評論雑誌 / 〈C〉閲兵(式),観兵(式)
reviewer	(新刊書・演劇などの)批評家,評論家
revile	…をののしる,の悪口をいう / ののしる,悪口をいう
reviler	口の悪い人
revise	〈本など〉を『改訂する』,修正する / 〈考えなど〉を『改める』,変える,〈法律など〉を改正する / 《英》〈学科など〉を復習する(《米》review)
revised	改訂した,修正した
