rock plant	岩生植物(岩の間や岩石庭園に見られる植物)
rock salt	岩塩
rock wool	鉱滓(こうさい)綿(溶滓などから作られる羊毛状の繊維で,熱や音の絶縁体に用いられる)
rock'n'roll	ロックンロール音楽 / ロックンロールを踊る(演奏する)
rock-and-roll	rock'n'roll
rock-bottom	どん底の,最低の
rock-climbing	ロッククライミング
rock-ribbed	岩石層のある,岩のつき出た / がん固な,妥協しない
rockbound	(海岸が)岩だらけの
rocker	=rocking chair / (揺りいすの底部についている)揺り子 / 《話》ロック歌手(奏者);ロック歌手
rockery	=rock garden
rocket	『ロケット』;ロケット弾;ロケット推進ミサイル / 火矢;打ち上げ花火;のろし / 〈電車などが〉(ロケットのように)突進する / 〈値段などが〉急上昇する
rocket base	ロケット用軍事基地
rocketry	ロケット工学
rocking chair	揺りいす
rocking horse	揺り木馬
rocky	岩の多い;岩から成る / 岩のような,硬い / (意志などが)堅い,確固たる / ぐらぐらする,不安定な / 《話》(病気などで)ふらふらする,弱った
rococo	ロココ式(18世紀の華麗な美術・建築・装飾・音楽の様式) / ロココ式の / (建築・家具・文体など)飾りの多い・はでな;俗悪な
rod	(木製・金属製などの)『棒,つえ』,さお;釣りざお / (刑罰に用いる)木のむち;《the ~》むち打ち,せっかん / ロッド(長さの単位;『5』1/2yards,約5m) / (目の)桿(かん)状体(弱い光にも感じる網膜細胞) / 《米俗》ピストル
rode	rideの過去形
rodent	齧歯(げっし)類の動物(ネズミ・ウサギ・リス・ビーバーの類) / 齧歯類の / かじる;かじるのに適した
rodeo	(牧牛の)かり集め / ロデオ(カウボーイが荒馬を乗り回したり,投げなわで牛を捕らえたりする公開競技会)
rodomontade	大言壮語
roe	魚卵,はららご / ノロジカ(ヨーロッパ,アジア産の小型のシカ)
roe deer	〈C〉ノロジカ(野鹿)(ヨーロッパやアジアに分布する中型のシカ)
roebuck	ノロジカ(roe)の雄
roentgen,rontgen	レントゲン(『X』線・ガンマ線の強度の単位) / レントゲンの,『X』線の
roentgenology	『X』線学,レントゲン学
rogation	ロゲイション(キリスト昇天日の前3日間キリスト教教会で唱えられる祈り)
roger	(無線通信の応答で)了解 / 《話》(一般の会話で)分かった,よし
rogue	『悪党』(vagrant),いんちき野郎(scoundrel) / いたずらなひょうきん者,(特に)いたずらっ子 / 群れを離れた危険な野生動物(特に象)
roguery	悪事,詐欺(fraud) / いたずら,茶目,悪ふざけ(mischief)
rogues gallery	犯罪人の写真資料室
roguish	悪党らしい;悪事をする / いたずらでひょうきんな
roil	(また《米》『rile』)〈液体〉をかき乱す(濁す) / 〈人〉を怒らせる,いら立たせる
roisterer	どんちゃん騒ぎする人,飲み騒ぐ人
role,rôle	(役者が演じる)『役』 / (一般に)『役割』,任務
