rooster	『おんどり』
root	《しばしば複数形で》『根』 / 『根元』 / 《the~》『根源』,根本;根底 / 《複数形で》(その人の根底にある)ある場所との根源的なつながり / (数学で)根,ルート / (派生語の)語根(例えばrootlessの中のroot) / 〈植物〉を『根づかせる』 / 《しばしば受動態で》(根をおろしたように)(…に)…を『定着させる』《+『名』+『to』(『in』)+『名』》 / (…に)『根を下ろす』,定着する《+『in』(『on』,『to』)+『名』》 / 〈豚などが〉(…をあさって)鼻で地面を掘る《+『about』(『around』)『for』+『名』》 / (…を捜して)〈人が〉かき回す《+『about for』+『名』》 / (…を)声援する,(…の)成功を願う《+『for』+『名』》
root beer	ルートビーア(ササフラスなどの根・樹皮からつくった炭酸飲料)
root crop	根菜(カブ・サツマイモなど)
rooted	《補語にのみ用いて》(植物が)根づいた / (考えなどが)定着した
rootless	根のない / 社会的足場のない
rootstock	根茎
rope	〈U〉『なわ』,綱,ロープ;〈C〉(1本の)なわ / 〈C〉一つながり(の…)《+『of』+『名』》 / 《the~》絞首索;絞首刑 / 〈C〉投げなわ / 《複数形で》ロープス(ボクシングなどでリングを囲った綱) / …をなわで縛る(くくる)《+『up』+『名,』+『名』+『up』》 / 〈場所〉をなわで囲う(仕切る)《+『off』+『名』,+『名』+『off』》 / 《米》…を投げなわで捕らえる / 〈登山者が〉ロープで体を結び合わせる《+『up』》 / 〈登山者が〉(…を)ロープで登る(降りる)《+『up』(『down』)+『名』》
rope ladder	なわばしご
ropedancer	綱渡り芸人
ropewalk	なわ製造所
ropeway	(工場・鉱山などの重量物運搬用)ロープウエイ
ropy	ひどい[状態の]
rosary	ロザリオ(カトリック信者が祈りを唱えるときに用いる数珠(じゅず)) / 《しばしば『R-』》ロザリオの祈り
rose	〈C〉『バラの花』 / 〈C〉バラの木 / 〈U〉バラ色,淡紅色 / 〈C〉(形が)バラに似た物:(じょうろの)散水口;(リボンなどの)バラ結び;バラ模様(飾り) / 『バラ色の』 / バラの / riseの過去
rose fever	バラ熱(バラの花粉の吸入により起こる枯草熱(hay fever)の一種)
rose window	(教会の)バラ窓,円花窓(格子が放射状に出ている色ガラスの窓)
