Sumatra	スマトラ(マレー群島第2の大島)
Sumerian	〈C〉シュメール人 / 〈U〉シュメール語 / シュメール(語)の
Sun.	Sunday
Sunbelt	米国南部地域(VirginiaからSouth Californiaまでの温暖地帯のこと)
Sunday	『日曜日』(キリスト教の安息日で週の第1日;《略》Sun.)
Sunday best	晴れ着
Sunday school	日曜学校(宗教教育のため日曜日に教会などで開かれる);《集合的に》その生徒と先生
Superior	スペリオル湖(lake~;北米五大湖中で最北最大のもの)
Supreme Being	神(God)
Supreme Court	(米国連邦の,また米国各州の)最高裁判所
Supreme Soviet	最高ソビエト(旧ソ連の最高議会)
Surgeon General	軍医総監 / (公衆衛生局の)衛生局長
Surinam	スリナム共和国(南米北東沿岸の国;かつて Dutch(Netherlands) Guiana と呼ばれた;首都はParamaribo)
Surrey	サリー州(英国南部の州)
Sussex	サセックス(England 南東部の州;行政上 East Sussex と West Sussex の2州に分かれている)
Swahili	スワヒリ語(アフリカ東部・中部の共通語);〈C〉スワヒリ人
Swaziland	スワジランド(アフリカ南東の王国)
Swed.	Sweden / Swedish
Swede	スウェーデン人
Sweden	スウェーデン(北欧の王国;首都は Stockholm)
Swedish	スウェーデンの;スウェーデン人(語)の / 《the ~》《集合的に;複数扱い》スウェーデン人 / 〈U〉スウェーデン語
Swift	スウィフト(Jonathan Swift;1667‐1745;英国の作家)
Swiss	『スイス人』;《the ~》《集合的に》スイス人,スイス国民 / 『スイスの』;スイス人の
Swiss chard	=chard 不断草 スイスチャード
Swiss cheese	スイスチーズ(薄黄色の穴の多い固いチーズ)
Swiss roll	ジャム(クリーム)入りロールパン,ゼリーロール
Switz.	Switzerland
Switzerland	『スイス』(ヨーロッパ中部の共和国;首都はBern)
Sydney	シドニー(オーストラリア最大の都市;東海岸にある海港)
Syria	シリア(地中海東沿岸の共和国;首都は Damascus)
Syrian	シリアの,シリア人の,シリア語の / シリア人
s.	second[s] / section[s] / shilling[s] / singular
s.a.e.	stamped addressed envelope
s.d.	sine die 無期限に
s.o.	seller's option / strikeout
s.s.,S.S.	steamship / Secretary of State 国務長官 / Sunday School
s.v.	sub verbo; sub voce(ラテン語)《参照の指示として》…という見出し語の下に
