safe-deposit	(銀行の)貸し金庫 = safe-deposit box・安全に保管する
safebreaker	=safecracker
safecracker	金庫破り(《英》safebreaker)
safeguard	(…に対して)保護(予防)するもの(手段)《+『from』(『against』)+『名』》 / (…から)…を保護する,守る(protect)《+『名』+『from』(『against』)+『名』》
safekeeping	保管,保護
safely	『安全に』,無事に / だいじょうぶ,さしつかえなく
safety	〈U〉(…からの)『安全』,無事《+『from』(『against』)+『名』》 / (また『safety catch』)〈U〉(銃などの)安全装置 / 〈C〉(アメリカンフットボールで)セーフティー(クォータバックなどのボールを持っている選手が自軍のエンド・ゾーン内にタックルされること。2得点。)
safety belt	=seat belt / (高い所で作業する人の)救命ベルト
safety curtain	(劇場などの)防火幕
safety first	安全第一
safety glass	(割れても飛び散らない)安全ガラス
safety island	(街路上の)安全地帯(《英》refuge)
safety match	安全マッチ(マッチ箱の横で擦らないと着火しない今日使われている普通のマッチ)
safety pin	安全ピン
safety razor	安全かみそり
safety valve	安全弁
safety-first	安全第一の;(冒険しない)安全主義の
safflower	ベニバナ(黄色い花のアザミに似た植物)
saffron	〈C〉サフラン(じょうご状の花の多年生植物) / 〈U〉サフラン色,鮮黄色 / サフラン色の
sag	たるむ,たわむ,だらりと垂れる《+『down』》 / 〈物価などが〉下落する(fall) / 〈勇気・元気が〉なくなる,めいる / (…の)たるみ,沈下,下落《+『in』+『名』》
saga	北欧伝説 / 武勇伝 / 系図小説(一家や一族を伝説的または歴史的に扱った長編小説)
sagacious	賢明な(wise)
sagacity	賢明
sage	(通例経験に富んだ年輩の)賢人 / 思慮深い,賢明な / セージ(薬用・調味料のシソ科の草);その葉 / =sagebrush
sagebrush	ヤマヨモギ(米西部の乾燥地に生える雑草)
saggy	たるんだ,垂れ下がった
sago	サゴ(サゴヤシの幹から製するでんぷん) / =sago palm
sago palm	サゴヤシ(サゴの原料となるヤシの木)
saguaro	サグワロサボテン(非常に大きなサボテンで,アメリカ合衆国西南部・メキシコに産する;白色の花をつけ,実は食用となる)
said	sayの過去・過去分詞 / 前記の前述の
sail	〈C〉〈U〉『帆』;《集合的に》一隻の帆全部 / 〈C〉帆のような物;風車の羽根,カエデの種子の羽根など / 〈C〉《単複同形で》帆船;船 / 〈C〉《単数形で》(短い)船旅,船遊び;〈U〉《時にa sail》航程 / 《副詞[句]を伴って》〈船が〉『航海する』 / (…から…へ)『出航する』《+『from』+『名』+『for』(『to』)+『名』》 / 《副詞[句]を伴って》〈人が〉『船で旅をする』,航海する / ヨットを操る,帆走する / 《副詞[句]を伴って》すべるように進む(飛ぶ);〈人が〉さっそうと歩く / 〈人・船などが〉〈海・川など〉を渡る / 〈船〉を操る,走らせる
sailboat	(小型の)帆船,ヨット(《英》sailing boat)
sailcloth	帆布,ズック,帆木綿
sailfish	バショウカジキ(大さな背びれのメカジキの類の食用魚)
sailing	〈U〉帆走,ヨット遊び / 航海術 / 〈C〉航海 / 出航
sailing boat	= sailboat ヨット 帆船
sailing ship	(大型の帆船)
sailor	『水夫』,船員,海員 / (海軍士官に対して)水兵 / 《形容詞を伴って》船に…な人
sailor suit	(子供用の)セーラー服
sailplane	セイルプレーン(上昇気流で飛ぶ軽いグライダー)
saint	《しばしばs-》『聖人』,聖者(死後カトリック教会や他の教会また特定の宗教によって聖徒に列せられ,尊敬される人);《聖者の名の前に置いて》聖…(《略》St.) / (無私,無欲,有徳の)聖人のような人
saint's day	聖徒祭(キリスト教の祭の日) 聖人の祝日
sainted	聖人に加えられた / 聖人のような,高徳の / 《名詞の前にのみ用いて》天国の,死んだ,故…
sainthood	聖人であること;聖徒の地位 / 《集合的に》聖人
saintliness	(聖人のような)気高さ,こうごうしさ
saintly	聖人らしい / 気高い,崇高な
saith	sayの三人称単数現在形
sake	『ため』;利益;理由,目的
sal soda	炭酸ソーダ;洗たくソーダ (結晶)ソーダ
sal volatile	炭酸アンモニウム;アンモニア水(昔の気付け薬)
salaam	〈U〉サラーム(「平和」を意味するイスラム教徒のあいさつ) / 〈C〉額手(ぬかで)礼(イスラム教徒の体をかがめ右手を額に当てる敬礼) / 額手礼をする
