sapsucker	シルスイキツツキ(くちばしで穴をあけ樹液を吸うキツツキ)
sapwood	(木材の)辺材,白太(しらた) 《心材を囲む,樹液に富む白色の材部》・白木質
saraband,sarabande	サラバンド(優美なスペインのダンス);サラバンド舞曲
saran	サラン(ビニル化合物から得られる各種プラスチック性樹脂;耐酸性管,透明の包装材料,繊維を作る)
sarape	=serape
sarcasm	〈U〉皮肉,風刺,当てこすり / 〈C〉皮肉な言葉
sarcastic	(言葉などが)皮肉な,当てこすりの,いやみの / (人が)皮肉をよくいう
sarcastically	皮肉たっぷりに
sarcoma	肉腫(にくしゅ)
sarcophagus	石棺(しばしば彫刻・絵画が施されている;地中に埋葬せず地上に置く)
sardine	イワシ
sardonic	冷笑的な・軽べつを含んだ(scornful)
sarge	=sergeant
sari	サリー(インド婦人のつける巻き布の衣服)
sarky	=sarcastic
sarong	サロン(マライ人が用いる腰布)
sarsaparilla	〈U〉サルサパリラ(薬用植物の根) / サルサパリラ飲料(ルートビアに似た甘い清涼飲料)
sartorial	(特に男性の)服装の;仕立ての
sash	(軍人などの地位を表す)肩帯,肩章 / (婦人・子供が装飾用に腰に巻く幅広の)飾り帯 / サッシ(ガラスをはめる窓・ドアなどのわく)
sash cord	上げ下げして開閉する窓のおもりのついたつりひも
sash window	おもりつきひもでも上げ下げする窓
sashay	すべるように(軽々と)動く(進む) / さっさと歩く
sass	生意気な口のきき方,口答え / 〈親など〉に生意気な口のきき方をする,口答えする
sassafras	サッサフラス(北米のクスノキ科の高木);〈U〉その樹皮,根皮(薬用・香料用)
sassy	=saucy
sat	sitの過去・過去分詞
satanic	サタンの,悪魔の / 極悪非道の
satchel	肩掛けカバン(教科書などを入れる通学用)
sate	〈欲望・食欲など〉を満足させる / 《受動態で》(…で)〈人〉を飽き飽きさせる《+『名』+『with』+『名』》
sateen	(サテン(satin)に似せた)綿じゅす
satellite	衛星(主惑星を回転する天体物)・人工衛星・衛星国家・従者
satiable	十分に満足させる,飽き飽きさせる
satiate	=sate
satiety	満腹,満喫,飽き飽きすること
satin	しゅす,サテン / =satiny
satinwood	サテンの木(東インド産のマホガニーの一種)
satiny	しゅすのような;(しゅすのように)つやつやした,なめらかな
satire	〈U〉(…についての)『風刺』,皮肉,いやみ,ひやかし《+『on』+『名』》 / 〈C〉(…についての)風刺小説(劇),風刺詩文《+『on』+『名』》
satiric	=satirical
satirical	風刺の,当てこすりの / 皮肉好きな
satirist	風刺作家;皮肉屋
satirize,satirise	…を風刺で攻撃する,風刺する;…を当てこする
satisfaction	〈U〉(…を)『満足させること』《+『of』+『名』(do『ing』)》 / 〈U〉(…に)『満足すること』《+『at』(『with』)+『名』》 / 〈C〉満足させるもの(こと) / 《文》〈U〉(損害などの)賠償;(借金の)返済;(義務の)履行 / 〈U〉(決闘などによる)名誉回復の機会
satisfactorily	満足に,申し分なく
satisfactory	『満足を与える』,満足な,申し分のない
satisfied	(人が)『満足した』,満ち足りた / (勘定などを)すっかり払った / (議論などで)納得する,確信する
satisfy	〈物事が〉〈人〉を『満足させる』,喜ばせる / 〈欲望・必要・要求・条件など〉を『満たす』,充足する / 〈借金〉を『返済する』,〈不正・損害など〉を償う / 満足を与える
satisfying	満足を与える,満足な,申し分のない
satrap	(古代ペルシアの)太守 / (専制的な)総督,知事
saturate	《しばしば受動態で》〈水などが〉…にしみ込む,…を浸す;(で)…を浸す《+『名』+『with』+『名』》 / (一般に)(…で)…を満たす《+『名』+『with』(『in』)+『名』》 / (…で)〈溶媒・溶液〉を飽和させる《+『名』+『with』+『名』》
saturated	十分にしみ込んだ / 飽和した
