sawn-off shotgun	=sawed-off shotgun
sawpit	木びき穴(昔,大きな丸木を一人がかりの大のこぎりで切るとき,一方が木の下にはいるために掘った穴)
sawyer	木びき,木をひく人
sax	=saxophone
saxifrage	ユキノシタ(高山植物)
saxophone	サキソフォーン(管楽器の一種)
saxophonist	サキソフォーン奏者
say	《直接話法で》「…」と『言う』,述べる;(人に)「…」と言う《+『to』+『名』〈人〉》 / (意見として)…を『言う』,述べる / 〈時計などが〉〈時刻など〉を示している;〈本・新聞などが〉…と言っている,述べている,書いている / 《しばしば受動態で》(世間などで)…と言う,うわさする,伝える / 《命令形に用いて》かりに…とすれば;たとえば,そうですねえ,まあ / …を暗唱する,復唱する;〈祈りなど〉を唱える / 《米話》…を命じる / 『言う』,話す,断言する / 《米話》ねえ,おい 《one's say》言うべきこと,言い分 / 《時にa say》発言権 / 《the say》決定権
say-so	〈U〉《the ~,one's ~》決定権,許可 / 〈C〉《one's ~》ひとりよがりの発言,独断
saying	〈U〉『言うこと』;〈C〉言われた言葉 / 〈C〉『格言』,『ことわざ』
says	sayの三人称単数現在
sc.	scale / scene / science
scab	(傷口の)かさぶた / 《話》(労働組合にはいらない)非組合員;スト破り / スト破りをする
scabbard	(刀の)さや
scabby	かさぶたでおおわれた,かさぶただらけの
scabies	かいせん,ひぜん(ダニの寄生による伝染性皮膚病)
scabious	マツムシソウ属の植物;紫・ピンクの花を咲かす
scabrous	ざらざらした,でこぼこの / わいせつな,きわどい
scads	いっぱい,たくさん(の…)《+『of』+『名』》
scaffold	(建築現場などの)足場 / 処刑台,断頭台 / (組み立て式の)野外舞台;組み立てさじき
scaffolding	(1個,または幾組かを組み合わせた)足場,足場組み / 足場材料
scalar	段階状の,はしご状の / (数学で)スカラーの / スカラー(空間・平面上の関数) / スカラー量(温度・時間など目盛り上の単位で表される量)
scalawag	やくざ者,ならず者
scald	〈熱湯・湯気(ゆげ)が〉…をやけどさせる / を煮沸[消毒]する / 〈ミルクなど〉を沸点近くまで煮たたせる(熱する) / (熱湯・湯気での)やけど
scalding	やけどするほど熱い / (批評などが)てきびしい
scale	《しばしば複数形で》『てんびん』,はかり / てんびんのさら / 《重量を表す副詞[句]を伴って》…の目方(体重)がある / …をてんびんではかる / (蛇・魚類などの)うろこ / うろこ状の物;(ペンキ・さび・ふけなどの)薄片 / 〈魚など〉のうろこを取る;…の皮をはぐ / (…から)〈ペンキなどの薄片〉をそぎ取る《+『名』+『off』(『from』)+『名』》 / (…から)〈ペンキなどが〉はげ落ちる《+『off』(『from』)+『名』》 / 『段階』,等級,階級 / 『比率』,縮尺 / (物差しなどの)『目盛り』 / (目盛りの付いた)『物差し』;温度計,(各種の)スケール / 『規模』,スケール / 音階 / 記数法,…進法 / …をよじ登る / (…に合わせて)…を調整する《+『名』+『to』+『名』》 / …を縮尺で製図(設計)する
scale insect	カイガラムシ
scalene triangle	不等辺三角形
scallion	若いラッキョウ(ニラネギ)の玉
scallop	〈C〉ホタテガイ;〈U〉(食用になる)ホタテガイの貝柱 / 〈C〉《複数形で》スカラップ(服飾の縁どりに使う波形の連続模様) / …に波形の縁飾りをつける / (ソース・パン粉などを加えて)…を蒸し焼きなべ(casserole)で焼く
scallop shell	ホタテガイの貝から
scalp	頭皮(髪でおおわれている部分) / 頭髪つきの頭皮(昔北米インディアンが戦利品として敵の頭からはいだもの) / 《話》(一般に)戦利品 / …から頭皮をはぎ取る / 《米話》〈入場券など〉を高値で転売する
scalpel	外科用メス,解剖刀
scalper	頭皮をはぐ人・〔米話〕 ぴんはねする人, 利ざやを稼ぐ人; 〔米話〕 ダフ屋 (ticket scalper)
scaly	うろこにおおわれた;うろこでできた / うろこ状の / ぼろぼろにはげ落ちる(flaking)
scam	悪だくみ,ぺてん / …をだまし取る
scamp	ならず者 / いたずら者,わんぱく小僧
scamper	あわてて逃げる,すばやく走る《+『off』(『away』)》 / はね回る,ふざけ回る《+『about』》 / 疾走;ふざけまわること
scampi	スキャンピ(車エビをフライにしたイタリア料理)
scan	…をじっと見る,詳しく調べる;〈広い区域〉を端から端までよく見る / …にさっと目を通す,をざっと読む / 〈詩〉の韻律を調べる,を詩脚に分ける / (テレビ・レーダーで)〈映像〉を走査する / 詩の韻律を調べる;〈詩行が〉韻律の法則に合う,音脚が合う / (テレビ・レーダーで)走査をする / じっと見ること,吟味
scandal	〈C〉『醜聞』,スキャンダル / 〈U〉恥,不面目 / 〈C〉(スキャンダルに対する人々の)義憤,反感,物議 / 〈U〉(…についての)中傷,陰口,悪口《+『about』(『over』)+『名』》
scandalize,scandalise	〈人〉を憤慨させる,あきれさせる
scandalmonger	人の悪口を言いふらす人,悪口屋
scandalous	不面目な,恥ずべき(shameful) / (報道・うわさなどが)人の名誉を傷つける,中傷的な / (人が)中傷好きな,醜聞をまき散らしたがる
scandium	スカンジウム(希有金属元素;化学記号は『Sc』)
scanner	精密に調べる人 / スキャナー(テレビ・レーダーの映像走査機・走査板)・ 光学式走査器(文字を読み取りコンピューターに記憶させる機器)
scansion	詩を韻律分析して音脚に分けること
scant	乏しい,不足ぎみの / 《米》《数詞を伴って》(その数に)わずか足りないだけの,…足らずの / …を出し惜しむ
scantily	不十分に;出し惜しんで
scantiness	不足;不十分
scantling	(垂木(たるき)などに用いる)小角材;《集合的に》小角材類
scanty	『乏しい』,不十分な,不足ぎみの(meager) / (衣類などが)かろうじて足りる,小さい
scapegoat	他人の罪をかぶる人,身代り / 贖罪(しょくざい)のヤギ(旧約聖書「レビ記」で古代ユダヤ人が罪を負わせ野に放ったヤギ)
scapegrace	ろくでなし,やっかい者
scapula	肩甲(けんこう)骨
scar	(皮膚の)『傷跡』;(物の表面の)傷跡 / 心の傷跡,痛手;(名誉などを傷つける)汚点 / (植物の茎などに残る)葉印,葉痕(ようこん) / …に傷跡を残す / 〈傷などが〉傷跡を残す《+『over』》
scarab	コガネムシ(特に古代エジプト人が多産の象徴としてあがめたタマオシコガネ) / スカラブ(コガネムシ型の宝石)
scarce	《補語にのみ用いて》(物が)『乏しい』,不足した / 『まれな』,珍しい / =scarcely
scarcely	『ほとんど』…『ない』 / 『かろうじて』,やっと(barely) / 《not の遠回しな表現として》まさか(とうてい,おそらく)…ない
scarcity	〈U〉〈C〉(…の)欠乏,不足(特に)食糧難,ききん《+『of』+『名』》 / 〈U〉まれなこと,珍しいこと
scare	…を『おびえさせる』,こわがらせる(frighten) / 『おびえる』,驚く / 《単数形で》おびえ,どきりとすること / (社会的な)恐慌[状態]
scarecrow	かかし / やせこけた人;ぼろをまとった人
scaremonger	世間を騒がせる人,デマをとばす人
scarf	『スカーフ』,えり巻き / 《米》掛け布;テーブル掛け,ピアノ掛けなど
scarify	(種痘などで)〈皮膚〉を乱切する,乱刺する / 《文》…を酷評する,こきおろす / 〈土〉をかき起こす
scarlet	『緋色』(ひいろ),深紅(しんく)色(あざやかな赤(bright red)) / 『緋色の』,深紅色の,まっかな
scarlet fever	しょうこう熱
scarlet pimpernel	ベニハコベ(深紅の花が咲くルリハコベ属の草)
scarlet runner	ベニバナインゲン(南米原産のおもに観賞用の植物)
scarlet woman	売春婦,淫婦(いんぷ) ふしだらな女
scarp	急傾斜,急坂
scarper	とんずらする,(特に)食い逃げする
scary	恐ろしい,こわい / こわがりの,おくびょうな
scat	(人に)すぐ立ち去れ;(特に猫に)シッシッ,あっちへ行け
scathe	〔古〕 害(する) / …を傷つける
scathing	(言葉などが)痛烈な,きびしい
scatological	排泄(はいせつ)の描写が多い;糞尿(ふんにょう)学の
scatology	糞尿(ふんにょう)学 / (文学作品で)排泄(はいせつ)行為についてむやみに書きたてること
scatter	(…に)…を『ばらまく』,まき散らす《+『名』+『on』(『over』)+『名』》;(…の回りに)…をばらまく《+『名』+『around』(『round』,『about』)+『名』》 / (…を)〈場所〉にばらまく,まき散らす《+『名』+『with』+『名』》 / …を追い散らす,四散させる / 四散する / 散乱させる / 散乱する
scatter rug	(テーブルの横などに敷く)小じゅうたん
scatterbrain	気持ちが散漫な人,軽率な人
scatterbrained	散漫な,軽率な,うわついた
scattered	散在(点在)する,ばらばらの
scattering	〈U〉〈C〉まき散らすこと,散布 / (また scatter)〈C〉《単数形で》分散した少数(少量)(の…)《+『of』+『名』》
scattersite housing	(スラム街などの)住宅分散計画 分散住宅
scatty	頭のおかしい,まぬけな
scavenge	〈腐肉〉を食べる;〈食物・使える物など〉をごみの中からあさる / 《英》〈街路など〉をそうじする / 腐肉を食べる;ごみあさりをする / 《英》ごみさらいをする
scavenger	腐肉を常食とする動物(ハゲタカ(vulture)・ハイエナ(hyena)など) / (食物や金目のものを探して)ごみあさりをする人
scenario	(映画の)シナリオ,台本 / (小説・戯曲の)筋書き
scenarist	映画脚本作者,シナリオライター
scene	(ある行為・事件の起こる)『現場』,場所 / (物語・劇・映画などの)『場面』,舞台,背景 / (劇・映画などの)『場』 / (物語・劇・映画などの)挿話(そうわ),エピソード / ながめ,光景,風景 / 《話》(人前で感情をむき出しにする)大さわぎ,醜態 / 《単数形で》活動分野,…界
scenery	《集合的に》『風景』,景色 / (劇・映画などの)舞台装置,舞台背景,道具立て
sceneshifter	(劇場の)道具方,裏方
scenic	景色の,風景の;景色のよい / 舞台装置(効果)の
scenically	風光明美に / 舞台的に
scent	〈U〉〈C〉『におい』(smell),かおり,香気 / 〈C〉《単数形で》(動物・人が残す)『臭跡』 / 〈C〉《単数形で》(人・物を見つけ出す)経路,方法,手がかり / 〈U〉《しばしばA~》嗅覚 / 〈U〉《おもに英》香水 / 〈猟犬などが〉…をかぎつける《+『out』+『名,』+『名』+『out』》 / 〈人が〉…をかぎつける,感づく;〈…だ〉と感づく《+『that節』》 / 《通例受動態で》…に香水をつける;(香水などで)…をにおわせる,よいかおりにする《+『with』+『名』》
scentless	かおりのない
scepter,sceptre	(王権の象徴として王(女王)が手に持つ)笏(しゃく) / 《the~》王位,王権 / 幽霊,お化け / こわいもの,恐ろしいもの
sceptic	=skeptic
sceptical	=skeptical
