scepticism	=skepticism
sceptre	=scepter
schedule	《おもに米》(列車などの)『時間表』,時刻表;(授業などの)時間割り / (時間によって定めた)『予定』,計画,スケジュール / (料金などの)一覧表,細目表 / …のスケジュール(時間表,一覧表)を作る;…をスケジュールに入れる / 《しばしば受動態で》…を予定する
schema	図式,図解;あらまし,概要
schematic	概要の;図解の,図表の
schematically	概略的に;図解で,図式的に
schematize,schematise	…を図式化する;…の概要をまとめる
scheme	(仕事・活動の)『計画』,案《+『for』(『of』)+『名』(do『ing』)》 / 『陰謀』,策謀,計略 / …を計画する;〈良くないこと〉をたくらむ《+『out』+『名』,+『名』+『out』》 / (…を)計画する;たくらむ《+『for』(『against』)+『名』(do『ing』)》
schemer	計画者;策士
scherzo	スケルツォ(おどけた調子の楽章)
schilling	シリング(オーストリアの通貨);旧ドイツの硬貨
schism	〈U〉(団体,特に教会の)分裂,分離 / 〈C〉(教会の)分派
schismatic	分裂の(を引き起こす) / 宗派分立論者
schist	片岩(葉片状の変成岩)
schizoid	精神分裂症の(気味の) / 精神分裂症患者
schizophrenia	精神分裂症
schizophrenic	精神分裂症の / 精神分裂症患者
schlemiel	どじ,無能な人間,まぬけ
schlock	安物の,つまらない / 安物,がらくた
schmaltz	(音楽・連続ドラマなどの)極端な感傷主義
schmaltzy	ひどく感傷的な
schmo	うすのろ,まぬけ 馬鹿
schnapps	強い酒,(特に)オランダジン
schnauzer	シュナウザー犬(ドイツ原産)
schnitzel	シュニッツェル(ドイツ料理で子牛肉のカツレツ)
schnook	とんま,ばか
schnorkel	=snorkel
scholar	『学者』 / 《話》学のある人,博学の人 / 奨学生,特待生 / 《文・古》小学生,生徒
scholarly	学者の,学者らしい / 学究的な,学問的な / 学者的な,学問を好む
scholarship	〈C〉《時にS-》『奨学金』 / 〈U〉学識,学力
scholastic	《名詞の前にのみ用いて》学校の,教育の / 《名詞の前にのみ用いて》スコラ学の / 学者ぶった
scholasticism	(中世の)スコラ哲学
school	〈C〉(施設としての)『学校』 / 〈C〉(大学の)『学部』 / 〈C〉教習所,養成所,訓練所 / 〈C〉『校舎』,学校の建物 / 〈U〉《冠詞をつけないで》『授業』[『時間』],課業 / 〈U〉《冠詞をつけないで》学校教育,学業 / 《the~》《集合的に》全校生徒および教職員 / 〈C〉(学問・芸術などの)『派』,学派,流派 / 〈人〉を教育する,に教える / …をしつける,訓練する / (魚・鯨などの)群れ《+『of』+『名』》
school board	教育委員会;《英》学務委員会(1870‐1902年まで公立小学校を管理運営した)
school day	授業日 / 《複数形で》学校時代,学生時代
school of thought	同じ考え方をもつ一派;同じ学派
school report	成績表,通信簿(《米》report card)
school time	授業時間
school year	学年度・学年(英米では普通9月から翌年6月まで)
schoolbook	教科書
schoolboy	(小・中学校・高校の)『男生徒』
schoolchild	学童
schoolfellow	=schoolmate
schoolgirl	(小・中学校・高校の)『女生徒』
schoolhouse	(特に村の小さな学校の)『校舎』
schooling	学校教育;教育
schoolman	《しばしばS-》スコラ哲学者 / 《米》学校教師
