seasickness	船酔い
seaside	『海岸』,海辺 / 海辺の
season	『季』,季節(春夏秋冬の4季節のそれぞれ) / (一年のうちの,ある気候の)『時季』,時節 / (果物などの)出盛り,(…の)盛んな時期 / (一般に)時節,時期;(…に)ふさわしい時,(…の)好期《『for』+『名』》 / (調味料などで)〈食物〉に『味つけをする』《+『名』+『with』+『名』》 / (…で)…に趣(おもむき)(面白味)をそえる《+『名』+『with』+『名』》 / 〈木材など〉を乾燥させる,乾燥させて使えるようにする / 《しばしば受動態で》…を慣らす,鍛える / 〈木材などが〉乾燥する,乾燥して使えるようになる
season ticket	(催し物などの)定期入場券 / 《英》=commutation ticket
seasonable	季節(時節)に合う,時節がらの / 《文》時機を得た
seasonably	時機を得て,つごうよく
seasonal	季節の,季節的,季節ごとの
seasoner	調味する人 / 〈U〉調味料,薬味
seasoning	(塩・こしょうなどの)調味料,薬味 / 《比喩(ひゆ)的に》妙味を増すもの
seat	『腰掛け』 / 『座席』,席 / (腰掛けの)腰をおろす部分;(体・ズボン・パンツの)しりの部分,しり / (権威の)座,地位,身分;(議会における)議席《+『in』+『名』》 / (…の)予約席《+『for』+『名』》 / (…の)所在地,ありか,中心地《+『of』+『名』》 / (馬・自転車などの)乗り方 / 《しばしば受動態で》〈人〉を『着席させる』 / 〈ある数〉の座席がある / 〈部品など〉を固定する,すえつける
seatbelt	(自動車・飛行機などの)安全ベルト,座席ベルト
seating	着席 / 座席配置,収容力 / 馬の乗り方
seawall	防波堤;岸壁
seaward	海に面した;海のほうへの / 海からの / 海のほうへ,海へ向かって
seawater	海水
seaway	〈C〉海路,航路 / 〈C〉(外洋船が航行できる)内海路,内陸水路 / 〈U〉船の航進,船脚(ふなあし)
seaweed	海草,海の藻
seaworthy	(船が)航海に適する
sebaceous gland	皮脂腺(皮膚に脂肪性物質を分泌する腺)
sec.	second / secondary / secretary / section
secant	(三角法で)セカント,正割・(幾何で)割線・(数学)切る・(線または面が)交わる,交差する
secateurs	せん定ばさみ,植木ばさみ
secede	(政党・同盟・団体などから)新しい組織を作るために脱退する,脱会(党)する《+『from』+『名』》
secession	(政党・同盟・団体・教会などからの)脱退、分離、離脱《+『from』+『名』》 / 〈U〉《しばしばthe S-》米国南部11州の連邦脱退(1860‐1861;南北戦争の原因となった)
secessionist	脱退(党)論者;《しばしばSecessionist》(米国南北戦争当時の)分離論者 / 脱退の,脱退(党)賛成の;脱退主義の,脱党論の
seclude	(…から)〈人〉を引き離す,孤立させる《+『名』〈人〉+『from』+『名』》
secluded	引き込もった,隠居した / 人里離れた
seclusion	(…からの)引き込もること,隠退;(…からの)隔離,孤立《+『from』+『名』》
seclusive	引き込もりがちな,ひとり暮らしを好む
second	《通例the~》『第2の』,2番目(2度目)の《略》『2nd,sec.』) / 《A~+名で》『もう一つの』,別の / 一級(最上)のものに次ぐ,二流の / (自動車の変速機の)第2速の / 低音(声)部の,第2の / 〈C〉《the~》『2番目の人』(『物,事』) / 〈U〉《the~》(月の)『第2日』 / 〈C〉(ボクシングの)セコンド;(決闘などの)介添人;(一般に)援助者 / 〈C〉《しばしば複数形で》二級(流)品(ボタンが取れているなど、比較的小さな問題のある格安の服)・〈C〉〈U〉2度音程,第2音(声)部 / 〈U〉(自動車の変速機の)第2速,セカンド[ギア] / 《the~》《最上級の形容詞を伴って》第2に,2番目に / 第2位で,2等で / 〈提案・動議など〉に賛成する,を支持する / …を援助する,後援する,激励する;(ボクシングで)…のセコンドを務める / (時間・角度の)『秒』 / 《単数形で》『瞬間』(moment
second base	(野球の)二塁,二塁手
second childhood	老衰,もうろく
second class	(乗物の)『2等』 / 《米》第2種郵便[物](新聞・雑誌などの定期刊行物),《英》(速達に対する)普通郵便
second cousin	またいとこ
second floor	(建物の)2階;《英》3階
second in command	(軍隊の)副司令官 = second-in-command
second lieutenant	米陸軍(空軍,海兵隊)少尉;英陸軍少尉
second nature	第2の天性,習癖
second person	(文法で)第二人称
second sight	透視力,千里眼
second thought	再考
second wind	(激しい運動の後で)回復した呼吸 / 元気の回復
second-best	2番目によい,次善の
second-class	『二流の』;劣った(inferior) / 《米》(郵便物が)第2種の,《英》普通郵便の / (乗り物などで)2等の / 2等で / 《米》第2種郵便で,《英》普通郵便で
second-degree	(やけど・罪状など)第2級の
second-guess	…をあと知恵を働かせて忠告(批判)する / …を予言する,見抜く
second-rate	(質・程度が)『二流の』,月並みの;劣った,劣等の
second-story man	2階の窓から押し入る強盗(《英》cat burglar)
second-string	(正選手に対して)交代要員の,控え選手の
secondarily	第2位に,従属的に;補佐として
secondary	『第2の』,2番目の;(…の)次の《+『to』+『名』》 / 派生的な,二次的な,あまり重要でない / 中等学校[教育]の / 二次電流の
secondary accent	第2アクセント;その記号(`)
secondary modern	モダンスクール,新中等学校(1944年に設置;進学を目的としない)
secondary school	『中等学校』(小学校と大学の間の学校;米国では7‐12年生の学校)
secondary sex characteristic	二次性徴
seconder	(特に動議の)賛成者,支持者
secondhand	(時計の)秒針
secondhand, second-hand	『中古の』,使い古した / (情報・学説・知識など)また聞きの,借りものの,受け売りの / 《名詞の前にのみ用いて》(店・商売が)古物専門の,中古専門の / 中古で / また聞きで,間接的に
secondly	第二に,次に(in the second place)
seconds	(食事の)お代わり(second helping)・欠陥のある格安の衣料
secrecy	『秘密』[の状態] / 『秘密を守ること』,秘密厳守
secret	『秘密の』,人目につかない / 《名詞の前にのみ用いて》(人・組織などが)秘かに活動する,(感情などが)表に出ない / 《補語にのみ用いて》《話》(人が)(…を)ないしょにする《+『about』+『名』》 / 『秘密』[の事],隠し事,ないしょの話 / 神秘,不思議 / 《単数形で》(…の)『秘けつ』,かぎ《+『of』+『名』(do『ing』)》,(…への)秘けつ《+『to』+『名』》
secret agent	諜報(ちょうほう)部員,密偵
secret service	《the S- S-》《米》財務省[秘密]検察局(大統領の護衛と紙幣偽造者の摘発をする) / 《the~》(政府の)秘密情報部(機関)
secretarial	秘書の,書記官の / 大臣の
secretariat	〈C〉(国連・政府・政党などの)事務局,書記局 / 〈C〉《集合的に》事務局職員 / 〈U〉書記官職;《米》(省の)長官の職,《英》大臣の職
secretary	(個人・会社などの)『秘書』《+『to』(『of』)+『名』》 / (官公庁などの)『書記』[『官』],秘書官 / 《S-》《米》長官;《英》大臣 / (本箱付きの)書き物机
secretary bird	ヘビクイワシ(足の長いアフリカ産の猛鳥;首の後ろの羽冠が昔,事務員が使った鵞(が)ペンに似ていることから)
secretary general	(国連・政府・政党などの)事務総長,事務局長 = secretary-general
secretary of state	国務長官;《英》国務大臣
secrete	〈ホルモン・樹液など〉を分泌(ぶんぴつ)する / …を隠す,秘密の場所にしまう
secretion	〈C〉分泌(ぶんぴつ)作用(過程) / 〈C〉分泌物 / 〈U〉(…を)隠すこと《+『of』+『名』》
secretive	隠しだてする,ないしょの;(…を)隠しだてする《+『about』+『名』》 / 分泌の,分泌する
secretly	内密に,こっそり(in secrecy)
sect	宗派,教派;(一般に)派
sect.	section
sectarian	宗派の,党派の / 宗派(党派)心の強い,視野の狭い / (特定の宗派に属する)宗徒;宗派(党派)心の強い人
sectarianism	宗派(党派)心;派閥主義
sectary	=sectarian
sectile	(ナイフで)なめらかに切れる,切断可能な
section	〈C〉(全体を構成する個々の)『部分』,部品;(全体の中で特定の用途・機能・特徴を持った)部分,部門 / 〈C〉(内部構造を示す)断面図;切断面 / 〈U〉切断すること,(外科の)切開;〈C〉(顕微鏡などで検査する組織の)切片 / 〈C〉《米》セクション(郡区(township)の36分の1に当たる1平方マイル(640エーカー)の土地区画の広さ) / …を区分(分割)する / …の断面[図]を作る
section gang	(鉄道の)保線作業班
sectional	組み立て式の / 部分的な,局地的な / 断面[図]の
sectionalism	地域主義,地域偏重[主義];派閥主義
sector	扇形 / 軍事作戦地区 / (肉事などの)部門
secular	宗教に関係のない,世俗的な,現世[尊重]の / (聖職者が)修道院に住まない,修道会に所属しない
secularism	世俗(現世)主義 / 政治宗教分離論,教員宗教分離論
secularist	俗主義者,教育(政治)宗教分離論者 / 世俗(現世)主義の
secularization,secularisation	世俗化,一般化;教育(政治)と宗教の分離
secularize,secularise	…を世俗化する;…を宗教から分離する
