sedative	鎮静効果のある,鎮静[作用]の / 鎮静剤
sedentary	(人などが)体を動かすことが少ない,いつも座っている;(仕事が)体を動かさなくてもよい / (鳥などが)定住性の,移住しない
sedge	スゲ(湿地にはえる草)
sedgy	スゲでおおわれた;スゲの,スゲに似た
sediment	《時にa~》沈殿物,かす(dregs) / (岩・石・土砂などの)堆積(たいせき)物
sedimentary	堆積(たいせき)物の;沈殿(堆積)作用による
sedimentation	沈殿,堆積;沈殿(堆積)作用
sedition	反政府的な扇動;アジ演説;教唆(きょうさ)行為
seditious	扇動的な,反乱の
seduce	〈人〉をそそのかす,誘惑する / (特に)〈若い女性〉を誘惑する,くどく
seducer	誘惑者;女たらし
seduction	〈U〉〈C〉そそのかすこと,誘惑 / 〈C〉《複数形で》人を惑わすもの;魅力的なもの,魅力
seductive	人を引きつける,魅惑的な
sedulous	勤勉な,よく働く
see	(視野にはいって)…が『見える』,(目にとめて)…を『見る』,(夢・空想の中で)…を見る / 〈名所など〉を『見物する』;〈劇・映画など〉を見る / …を『理解する』,が分かる / …を予見する,予測する / …を判断する / …を調べる,確かめる / …を取り計らう,…に気を配る / (…まで)〈人〉といっしょに行く,〈人〉を送り届ける《+『名』+『to』+『名』》 / …を体験する,に遭遇する / 〈人〉に会う,面会する;…を訪問する;〈医者など〉に見てもらう,〈医者が〉〈患者〉を見る / 『見える』,見る / 『理解する』,わかる / 調べる,見てみる,考えてみる / 司教区 / 司教の地位;司教管轄権
see-through	(布地が)透けて見える
seed	〈U〉〈C〉『種』,種子 / 〈C〉《複数形で》(物事・事件などの)原因,根源,種 / 〈U〉(聖書で)子供たち,子孫 / 〈土地〉に『種をまく』,まく;(…を)…にまく《+『名』+『with』+『名』》 / 〈果物など〉の種を除く / 〈チーム・競技者など〉をシードする / (人工雨を降らすため)〈雲〉にドライアイス(その他の化学薬品)を散布する / 〈植物が〉種(実)を生ずる;種(実)を落とす
seed coat	種皮
seed money	(新事業の)元手,資本金
seedbed	苗床;温床
seedcake	キャラウェーの種子の入ったかおりのよいケーキ
seedily	種がいっぱいで / みすぼらしく
seediness	種の多いこと / みすぼらしさ
seedling	実生(みしょう)の若木;苗木;(約1m以下の)若木
seedsman	種子をまく人 / 種屋
seedy	(果物などが)種の多い / みすぼらしい,ぱっとしない(shabby) / 《話》気分のすぐれない,体調が悪い
