self-contradictory	自己矛盾の
self-control	自制,自制心
self-controlled	自制力のある
self-defeating	自滅的な
self-defense, self-defence	自衛,自己防衛,正当防衛 = self defense = self defence
self-denial	(他人のために)我慢すること,自己犠牲;自制,禁欲
self-denying	自制の,克己の;無私の,献身的な
self-destruct	自滅する = selfdestruct
self-drive	(運転手なしで)自分で運転する
self-educated	(正規の授業によらず)独学の(self-taught)
self-effacing	表面に出ない,表だたない
self-employed	自家営業の;自由業の
self-esteem	自尊,うぬぼれ / 自尊(心), 自負心; うぬぼれ
self-evident	自明の,分かりきった
self-examination	反省,自省
self-explanatory	(特に話・文章が)説明を要しない,自明の
self-expression	自己表現,自己の思想(感情など)の表明 = self expression
self-fulfilling	自己達成[実現]的な
self-fulfilling prophecy	自己実現的予言 《予言したという事実がその実現をもたらす》・自己達成しつつある予言、自己達成的予言
self-governing	自治の
self-help	自助,自立
self-importance	自己の過大評価,うぬぼれ(conceit) = self importance
self-important	尊大な,うぬぼれた,自分を過大評価している
self-imposed	みずから進んで行う
self-indulgent	自分を甘やかしている,わがままな,放縦な
self-interest	私利,私欲;利己主義(selfishness) = self interest
self-interested	利己主義な,手前かってな
self-locking	(ドアが)自動ロックの
self-made	自分の力で出世(立身,成功)した
self-opinionated	自分の意見を過信している,片意地な,がん迷な
self-pity	自己憐憫(れんびん)・= self pity
self-portrait	自画像
self-possessed	落ち着いた,冷静な,沈着な
self-possession	落ち着き,冷静,沈着・= self possession
self-preservation	自衛本能;自己保存 = self preservation
self-raising flour	パン種なしでふくれる小麦粉・=self-rising flour
self-reliant	自己を頼る,自力本願の
self-respecting	自尊心を持っている,自尊心のある
self-righteous	独善的な,ひとりよがりの
self-rising flour	パン種なしでふくれる小麦粉(《英》self-raising flour)
self-rule	自治;自制 / 自治 (self-government)
self-sacrifice	自己犠牲,献身
self-sacrificing	自己を犠牲にする,献身的な
self-satisfaction	自己満足
self-satisfied	自己満足した
self-seeking	利己主義の / 利己主義
self-sown	(風・虫などによって種子が)自然にまかれた
self-styled	自称の,自任の
self-sufficiency	自給自足 = self sufficiency
self-sufficient	(特に国家が)自給自足の
self-supporting	自活の,自営の,自給する
self-taught	独学の,独習の
self-will	(自分のやり方を通そうとする)がん固さ,強情,わがまま = self will
self-willed	がん固な,強情な,わがままな
self-winding	(腕時計が)自動巻きの
selfish	(人・言動などが)『利己的な』,自分本位の
selfless	私心(私欲)のない
selfreliance	自力本願,自己依存・self-reliance
selfsame	全く同一の
selfseeker	自分勝手な人,利己主義者 = self-seeker
selfservice	(食堂・エレベーターなどでの)セルフサービス / セルフサービス[式]の = self-service
selfstarter	(車・機械などの)自動始動機 = self-starter
selfwrong	わが身への危害 = self-wrong
sell	…を『売る』,売却する / …を『販売する』,商う / 〈品質・値段・宣伝などが〉〈商品など〉の売り行きをよくする / 《話》(…を)〈人〉に売り込む,受け入させる《+『名』〈人〉+『on』+『名』》 / 《話》〈計画・考え・自分自身など〉を売り込む / (…に)〈国家・名誉・良心など〉を売る,売り渡す《+『名』+『to』+『名』》 / 《話》《通例受動態で》…をだます,に偽物を売りつける / 〈商店・人が〉売る,販売する / 〈商品が〉(…の値段で)売られている《+『at』(『for』)+『名』》 / 〈考えなどが〉(…に)受け入れられる《+with(to)+名》 / 《単数形で》《話》ぺてん,ごまかし / 売り込み
seller	売る人,売り手 / 《good,bad,poorなどの形容詞と共に》売れるもの
sellers' market	売り手市場(商品不足のため売り手に有利な市場)
selling point	セールスポイント(商品販売のポイントとなる点)
sellout	売り切れ;売り払い / 入場券売り切れの催し物 / 裏切り
selvage, selvedge	(織物の)耳
selves	selfの複数形
semantic	(言語の)意味に関する;意味論の
semantics	意味論(言語の意味に関する学問)
semaphore	〈C〉(鉄道などの)[腕木]信号機 / 〈U〉手旗信号 / (信号機・手旗などで)…に信号を送る,合図する / (信号機・手旗などで)信号を送る,合図する
semblance	(…の)類似,似姿《+『of』+『名』》・(しばしば真実を偽った)外見,見せかけ
semeiology	=semiology 記号学
semen	精液
semester	(米国・ドイツなどの大学の二学期制の)一学期,前(後)期(通例15‐18週)
semiannual	半年ごとの,年2回の
semiautomatic	半自動式の
semibreve	=whole note
semicircle	半円,半円形[のもの]
semicircular	半円の,半円形の
semicolon	セミコロン(;)
semiconducting	半導体の,半導性の
semiconductor	(電気の)半導体
semidetached	(二つの家が)仕切り壁で続く,二軒長屋の / 二軒建ての家
semifinal	準決勝の / 準決勝
semimonthly	半月ごとの,月2回の / 半月ごとに,月2回 / 月2回の刊行物
seminal	独創的な,将来性のある / (比較変化なし)精液の
seminar	(指導教授のもとで行う大学の)研究(演習)グループ,研究会,演習,セミナー,ゼミナール
seminarian	(体にカトリックの)神学校の学生(神学生)
seminarist	〈C〉神学校の学生
seminary	(聖職者を養成する)神学校 / 《古》(high school以上の)学校,(特に女子の)専門学校
semiofficial	半官半民の
semiology, semeiology	記号学 / 記号言語
semipermeable	(膜などが)半透性の
semiprecious	準宝石の
semiprivate	(病室など2,3人で共有の)準個室の,半私用の
semipro	=semiprofessional
semiprofessional	半職業的な,(選手など)セミプロの・半職業人,セミプロ選手
