sherry	シェリー酒(南スペイン原産の強い白ぶどう酒)
shew	=show
shh	=sh
shibboleth	シボレテ(聖書で,ギレアデ人がshの音を発音できないエフライム人を区別する目的で発音させた言葉);ある集団を特徴づける習慣・言葉遣い・昔は重要であったが現在では重要性のない表現や習慣
shield	(昔,武士が戦場で用いた)『盾』(たて) / (…に対して,…から)『かばうもの(人)』,保護者(物)《+『against』(『from』)+『名』》 / 盾に似たもの(警官・刑事・保安官のバッジなど) ・=escutcheon・…を『かばう』,保護する《+『名』+『from』+『名』》
shift	〈人・場所・位置など〉を『移し替える』,置き換える / …を変える,取り替える / 〈自動車のギヤ〉を入れ変える / (…へ)『変わる』,移る《+『to』+『名』》 / 車のギヤを変える;〈車が〉ギヤが入れ変わる・『変換』,転換;移動 / (仕事、作業の)『交替』,交替制;交替の組(人);交替時間 / (特に,自動車)変速装置 / やりくり[算段],一時しのぎの手段,便法;ずるい手段,策略 / シフトドレス(肩から腰までまっすぐした線のゆったりしたワンピース);スリップ
shift key	シフトキー(タイプライターの大文字をタイプするための押しキー)
shiftily	やりくりをうまくして;ずるく
shiftiness	やりくりのうまさ;ずるさ
shiftless	やる気のない,怠惰な,無精な
shifty	やりくりのうまい / ずるい,あてにならない,不正直な
shillelagh	(オーク製などの)こん棒
shilling	シリング;シリング銀貨
shilly-shally	ためらう,ぐずぐずする(hesitate) / ためらい,優柔不断 = shillyshally
shim	詰め物,かい物(物を水平にしたり,すき間に入れるくさび形の木片など)
shimmer	ちらちら光る,かすかに光る / ちらちらする光,かすかな光
shimmy	《米》シミー(上半身を震よせて踊る1920年代のジャズダンス) / (自動車などの)異常な震動 / (シミーを踊るときのように)体を震わせる
shin	むこうずね / (動物の)すね,掌骨 / (両手・両足を使って)(…を)よじ登る《+『up』+『名』》
shinbone	脛(けい)骨(tibia)
shindig	にぎやかな集まり,陽気な[ダンス]パーティー
shindy	騒動,けんか
shine	『光る,輝く』,照る / (…で)〈目・顔などが〉生き生きとする,明るく輝く《『with』+『名』》 / (…のことで)光る,きわだつ《+『in』+『名』》 / (…に)…の『光を向ける』,(…を)…で照らす《+『名』+『on』+『名』》 / 〈靴・銀器など〉を『みがいて光らせる』 / 《時にa~》『光』,輝き / 《しばしばa~》靴をみがくこと / 日光;好天気
shiner	光るもの(星・ダイヤ・魚・金貨・銀貨など) / 《話》(なぐられて)黒あざになった目
shingle	(海岸などの)小石,じゃり / 屋根板,こけら板 / 《米話》(医師・弁護士などの)小看板 / …を屋根板(こけら板)でふく
shingles	(腰の回りにできる)帯状疱疹(ほうしん)
shingly	小石(じゃり)の多い
shininess	輝かしさ,すばらしいこと
shining	輝く,光る(bright) / すぐれた,目だつ
shinny	=shin / シニー(ホッケーに似た球技)
shiny	光る,輝く,光沢のある / (服が)着古して光る
ship	(おもに大洋を航行する)船,大型船 / (船の)乗組員 / 《話》飛行機,飛行船;宇宙船 / シップ型帆船 / …を『船で送る』,船に積む;(郵便・鉄道・トラック・飛行機などで)…を『送る』,輸送する / 〈船が〉〈波〉をかぶる / 〈船具〉を船に取り付ける / 乗船する;船旅をする / (…として)船で働く,船員になる《+『as』+『名』》
ship biscuit	=hardtack
ship canal	船舶用運河
ship chandler	船具商,船舶雑貨商
shipboard	(航海中の)船上に,船内に
shipbroker	船舶仲買い人
shipbuilder	造船業者(技師)
shipbuilding	造船術,造船業
shipload	船1隻の積荷量
shipmaster	船長
shipmate	(同じ船に乗り組んでいる)船員仲間
shipment	〈U〉船積み,積み込み,荷送り / 〈C〉積み荷;積み荷量
shipper	船荷主
shipping	船積み,積み出し,発送 / 海運業,運送業 / 《集合的に》(一港・一国・一海運会社などの)船舶;船舶トン数
shipping agent	(船荷を取り扱う)回漕問屋,船舶業
shipshape	きちんとした,整然と
shipt.	shipment
shipwreck	〈U〉〈C〉難船,難破 / 難破継[の残がい] / 〈U〉(計画などの)破滅,破壊《+『of』+『名』》 / 〈船・人〉を難破(船)させる / …を破壊する,破滅させる / 〈船が〉難破(船)する
shipwrecked	難破した / 打ちくだかれた,破滅した
shipwright	船大工,造船工,船修理工
shipyard	造船所
shire	(英国の)州
shire horse	英国種の大型荷馬車馬
shirk	〈責任・義務・仕事などを〉(ずるけたり,いやがったりして)回避する・(仕事などを)避ける,のがれる《+『from』do『ing』》
shirker	義務(責任)のがれをする人;怠け者
shirr	〈布〉に飾りひだをつける / 〈卵〉を浅皿に入れ天火などで焼く
shirring	飾りひた取り
shirt	(えり付きの男物)『シャツ』,ワイシャツ / 《米》(下着の)シャツ,はだ着(undershirt)
shirtfront	(特にノリをつけた正装用の)ワイシャツの胸部
shirting	ワイシャツ生地
shirtsleeve	ワイシャツのそで / 上着を着ていない,ワイシャツ姿の / 略式の,打ち解けた
shirttail	ワイシャツのすそ(腰より下の部分)
shirtwaist	カラーとカフスのついたワイシャツ型の婦人用ブラウス(ワンピース)
shirty	きげんの悪い,いらいらした
shishkebab	=kebab = shish-kebab シシカバブ 串焼き肉 ギリシアや中近東の料理で、味付けした羊肉やタマネギ、赤ピーマンなどの野菜を串に刺して焼く
shit	くそをする,大便をする / …を大便をして汚す / くそ,大便;《しばしばa ~》くそをすること / たわごと / (怒り・嫌悪などを表して)ちぇっ,くそっ
shitkicker	田舎者
shitty	下劣な,いやな,くだらない,ばかげた
shiver	(寒さ・恐れなどで)『震える』,おののく《+『with』(『from』)+『名』》 / 〈C〉 / 〈C〉『震え』,身震い / 《the shivers》寒け,悪寒(おかん) / …を粉みじんに砕く / 粉みじんに砕ける / 破片,かけら
shivery	寒さ・恐怖などで)身震いする,寒けのする;(気候が寒い
shoal	浅瀬,州,砂州(さす) / 浅瀬の / (魚の)群れ《+『of』+『名』》 / 《話》《通例複数形で》(人や物の)大群,多数,多量《+『of』+『名』》 / 〈魚が〉群をなす
shoat	離乳した子豚
