showiness	はで,けばけばしさ
showing	見せること,示すこと;展示;展示会 / 外観(appearance);成績,できばえ
showman	興行師,見せ物師 / 演出効果を心得た人
showmanship	興行師のうで,技術;人目を引く手腕
shown	showの過去分詞
showoff	〈C〉見せびらかし / 〈U〉見せびらかしの行為
showpiece	展示物,見本
showplace	名所
showroom	(商品の)陳列室
showy	人目を引く,はなやかな / これ見よがしな;飾り立てた
shrank	shrinkの過去
shrapnel	榴散(りゅうさん)弾;その破片
shred	(特に細長い)切れ端;断片 / 《否定文で》わずか(of) / …をずたずたに切る(裂く)
shredder	[野菜]けずり器;書類寸断機
shrew	トガリネズミ(ネズミに似て長くとがった鼻のある哺(ほ)乳動物) / 口やかましい女
shrewd	(実際的な事柄に)『鋭い』,抜け目のない;洞察力のある
shrewish	口やかましい;意地の悪い
shriek	『甲高い叫び声』,悲鳴;甲高い音 / 『金切り声をあげる』;甲高い音を出す / …を金切り声で言う
shrift	ざんげ;赦罪
shrike	モズ
shrill	(声・音が)『甲高い』,金切り声の / 甲高い音(声)を出す / …を甲高い声で言う
shrillness	(声の)甲高さ,鋭さ
shrilly	金切り声で,甲高く
shrimp	(食用の)小エビ / 《俗》ちび,子供;取るに足りない人
shrine	(聖者の遺骨,神の霊などを祭った)『聖堂』,神社,神殿 / 聖地(接史的に尊ばれている場所など) / 聖遺物容器 / =enshrine
shrink	〈布などが〉『縮む』 / 『しりごみする』,ひるむ,避ける / (…に)〈数量・価値などが〉減る,減少する《+『to』+『名』》 / (…に)…を縮める,減らす《+『名』+『to』+『名』》 / 後ずさり,しりごみ / 《米俗》精神科医,精神分析医
shrink-wrap	…『を』プラスチックで収縮包装する / 収縮包装 = shrinkwrap
shrinkage	収縮;減少
shrinking	しりごみする(reluctant);おく病な(timid)
shrinking violet	はにかみ屋,内気な人,引っ込み思案な人
shrive	(司祭が)…のざんげを聞いて罪の許しを与える / 司祭にざんげする;〈司祭が〉ざんげを聞く
shrivel	縮む,しぼむ;しわになる《+『up』》 / …を縮ませる,しぼませる,しわを寄らせる《+『up』+『名,』+『名』+『up』》
shriven	shriveの過去分詞
shroud	(死体に着せる)経帷子(きょうかたびら) / (…の)幕《+『of』+『名』》 / 《複数形で》横静索(マストを支えるため船の両側に張った索) / 〈死体〉に経かたびらを着せる / 《通例受動態で》…をおおう,包む
shrove	shriveの過去
shrub	(根もとからたくさん枝分かれしている)『低木』,かん木
shrubbery	〈U〉《集合的に》低木,かん木 / 〈C〉低木の植わっている場所,低木の植え込み
shrug	〈肩〉を『すくめる』 / 『肩をすくめる』 / 肩をすくめること
shrunk	shrinkの過去・過去分詞
shrunken	shrinkの過去分詞 / 縮んだ;しぼんだ
sht.	sheet
shtick,shtik	お得意の所作,持ち芸,特技
shuck	(トウモロコシ・クルミ・豆・カキ・ハマグリなどの)殻(から),さや,皮 / …の殻(さや)を取る / 〈衣服など〉を取り去る,脱ぐ
shucks	(不快・後悔の発声を表して)ばかな,ちぇっ
shudder	(恐怖・寒さなどで)『身震いする』 / 『身震い』;戦慄(せんりつ)
shuddering	身震いする
