sideboards	=sideburns
sideburns	長くしたもみ上げ(《英》sideboards)
sidecar	(オートバイの)サイドカー,側車
sidekick	相棒,親友
sidelight	〈U〉〈C〉側面からの光,横明かり / 〈U〉〈C〉(事実などを側面から解明する)付随的(間接的)な説明(情報) / 〈C〉(船・自動車の)側灯,横窓
sideline	〈C〉(テニス・フットボールなどの)側線,サイドライン / 《複数形で》《単数扱い》(コーチなどがいる)側線の外側 / 〈C〉(商店が)専門外に売る商品 / 〈C〉内職,副業
sidelong	横の,斜めの / 横から,斜めに
sideman	(バンド・オーケストラの)器楽奏者 / 伴奏器楽奏者
sidepiece	《the~》側面部,側部に添える物
sidereal	星の,恒星の
siderite	菱(りょう)鉄鉱;隕(いん)鉄
sidesaddle	横くら(両足を同じ側に下げる婦人用くら) / (馬に)横乗りに
sideshow	(サーカスなどの)小さな出し物,余興
sideslip	(車・スキーなどが)横すべりする / 横すべり,横転
sidesman	(英国国教会の)教区委員補佐役,教会世話役
sidesplitting	腹がよじれるほどの,抱腹絶倒の
sidestep	…をわきへよれてかわす / 〈問題・責任など〉をよける / 傍らへよける / 責任(決定)などを避ける,回避する
sidestroke	横泳ぎ
sideswipe	(すれ違いざまに)…を横殴りする
sidetrack	〈人,人の話など〉をわき道にそらす / 〈列車〉を側線に入れる / わき道 / (鉄道の)側線,待避線
sidewalk	『歩道』
sidewall	側壁 / サイドウォール(タイヤのトレッド(tread)とリム(rim)との間の部分)
sideward	横の,横向きの・(また『sidewards』)横に(へ),横向きに
sidewards	=sideward・横の,横向きの・横に(へ),横向きに
sideways	横へ,横から,斜めに / 横向きに / 横の,斜めの,横向きの
sidewinder	ヨコバイガラガラヘビ(米国南西部・メキシコに見られる毒蛇で体を丸めて横に動く)
sidewise	=sideways
siding	〈C〉(鉄道の)側線,待避線 / 〈U〉《米》(木造家屋外壁の)下見張り,(建物の外側の)壁板
sidle	(こっそりと)横に進む,にじり寄る
siege	〈C〉〈U〉(町・要さいなどに対する)『包囲』,包囲攻撃 / 〈C〉《米》(病気などの)長く苦しい期間
sienna	シエンナ(酸化鉄を含む特殊な黄土;顔料として用いる)・シエナ色(赤褐色と黄褐色の2種がある),黄褐色のそれが取れたイタリアの地名から
sierra	(のこぎり歯状の)山脈
siesta	(スペイン・ラテンアメリカ諸国での)昼寝,午睡
sieve	(目の細かい)ふるい,ざる / …をふるう,ふるいにかける(sift) / …をふるい分ける
sift	〈粉・砂・灰など〉を『ふるいにかける』 / …を入念に調べる / ふるい分けをする / (ふるい,すき間を通して)ぱらぱらと降りかかる / (…を)入念に調べる《+『through』+『名』》
sifter	調査官 / ふるい,ふりかけ器
sig.	signal / signature
sigh	(悲しみ・疲れ・安心などで)『ため息をつく』《+『with』+『名』》;(…を)嘆いてため息をつく《+『over』+『名』》 / 〈風などが〉ため息をつくような音を立てる / 《文》(…を)思って(あこがれて)ため息をつく《+『for(after)』+『名』》 / 『ため息』
sight	〈U〉『視力』,視覚(vision)・〈U〉《時にa ~》(…を)『見ること』《+『of』+『名』》・〈U〉見える範囲,視野,視界・〈C〉『景色』,『光景』,眺め・《the sights》『名所』・〈U〉見解・〈C〉《しばしば複数形で》(望遠鏡などの)照準器,照尺,照星・〈C〉《a ~》《話》ひどいもの・《a ~》多数(の…),多量(の…)《+『of』+『名』》;《副詞的に用いて》うんと,ずっと:a sight of money多額の金・…を見つける,認める・ / (照準器で)…をねらう, に照準を合わせる
sighted	(人が)目が見える
sightless	目の見えない
sightliness	見た目のよさ,美しさ,ながめのよいこと
sightread	〈楽譜や外国語など〉を見てすぐ読む(演奏する) / (練習なしで)初見で読む(演奏する,歌う) = sight-read
sightreader	楽譜を見てすぐ演奏する奏者(歌い手),外国語を即読できる人 = sight-reader
sightreading	楽譜を見てすぐ演奏する(歌う)こと;(一般に)即読解力 = sight-reading
sightsee	見物(遊覧)する
sightseeing	見物,観光 / 観光の
sightseer	観光客
sigma	シグマ(ギリシア語アルファベットの第18字Σ,σ,ς;英語のS,sに相当)
sign	(ある事実・状態・感情などの)『表れ』,印,気配,徴候(indication);(…の)こん跡,形跡《+『of』+『名』》・『身ぶり』,手まね,合図 / 『標識』,看板 / (数学・音楽などの)記号 / (…の)『象徴』,シンボル(symbol)《+『of』+『名』》・《文》(…の)『前兆』,きざし《+『of』+『名』》・宮(きゅう)(黄道12区分の一つ) ・〈手紙・書類・作品など〉に『署名する』・(…に)〈名前など〉を書く《+『名』+『on』(『to』)+『名』》 / …を雇う契約に署名する・…を合図する,知らせる;…に合図する・署名する・契約書に署名して雇われる
sign language	身振り(手まね)言語;指話法
sign of the zodiac	宮(きゅう)(天文学で黄道(zodiac)の12区分の一つ) 十二宮
signal	(警告・指示・情報などを伝える)『信号』,合図 / (…の)きっかけ,動機,導火線《+『for』+『名』》 / 〈人・車など〉に『合図する』,信号を送る / …を『合図』(信号)『で知らせる』 / 『合図する』,信号する / 合図の,信号の / めざましい,顕著な
signal box	=signal tower
signal tower	(鉄道の)信号所(《英》signal box)
signaler,signaller	信号手,信号機
signalize,signalise	《受動態で》…を著名にする,目立たせる・…に信号機を取り付ける
signalman	(鉄道の)信号手,信号係;(軍隊の)通信兵
signatory	(条約などの)調印に加わった,署名した / [条約]加盟国,調印国;署名者
signature	『署名』 / 音楽記号(拍子記号・調記号など) / (本の)1ページの大きさに折り畳んだ大きな紙
signature tune	(ラジオ・テレビ番組の)開始時・終了時のテーマ音楽
signboard	看板
signer	署名者
signet	認め印,(小型の)印
significance	『重要性』,重大さ(importance) / (…の)『意味』,意義(meaning)《+『of』+『名』》
significant	『重要な』,重大な / 『意味のある』 / 意味ありげな,暗示的な
significantly	意味ありげに,意味深長に
signification	〈U〉意味,意義 / 〈U〉〈C〉表示,表明
signify	《文》〈物事が〉…の『印である』,を表す,意味する / 《文》〈人が〉(合図・言動で)…を『示す』 / 《文》(合図・言動で)知らせる / 《話》《通例否定文で》重要である,関係(影響)する(matter)
signor	(イタリア語)《S-》…君(様,殿,閣下)(英語のMr.,Sirに相当) / (特にイタリアの)貴族,紳士
signora	(イタリア語)《S-》…様(さん,夫人,奥様)(英語のMrs.,Madamに相当) / (特にイタリアの)貴婦人
signorina	(イタリア語)《S-》…様(さん,嬢)(英語のMissに相当) / (特にイタリアの)令嬢
signpost	道しるべ,道標;看板柱
signposted	道しるべ(道標)のある
silage	(サイロに蓄えた)貯蔵牧草
silence	〈U〉『静けさ』,音がしないこと / 〈U〉『沈黙』,無言 / 〈U〉音信のないこと,無沙汰(ぶさた) / 〈C〉沈黙(無沙汰)の期間 / 〈人・騒音など〉を静かにさせる / 〈反対など〉を沈黙させる,抑圧する / 黙れ,静かに
silencer	(機械・ピストルなどの)消音装置 / 《英》=muffler2 / 沈黙させる人(物)
silent	『音がしない』,静かな / 『沈黙の』,口に出さない;音をたてない・無口の・《補語にのみ用いて》(…について)意見を述べていない,触れていない《+『about』(『on』)+『名』》 / 活動していない・(映画が)無声の・(文字が)発音されない,黙字の・無声映画
silent partner	匿名社員(利益配当にはあずかるが業務担当をしない社員)(《英》sleeping partner)
silently	『静かに』 / 『黙って』
silhouette	影絵,シルエット(特に,黒く塗りつぶした人の横顔の絵) / (明るい背景に浮かぶ)黒い輪郭,影法師 / (一般に)輪郭,全体の姿 / 《受動態で》(…を背景に)…の影(シルエット)を見せる《+『against』+『名』》
silica	無水ケイ酸,ケイ土
silicate	ケイ酸塩
siliceous	ケイ酸を含む / ケイ酸質の土壌に生育する
silicon	ケイ素(非金属元素;化学記号はSi)
silicon carbide	炭化ケイ素(ケイ素と炭素の結晶化合物)
silicone	シリコーン(ケイ素と酸素の化合物で接着剤・潤滑械・人造ゴムなどに用いる)
silicosis	珪(けい)肺症,珪粉症(石工などがケイ酸の微粒子を吸い込むことによって起こる肺の病気)
silk	〈U〉『生糸』,絹糸 / 『絹織物』,絹布 / 〈C〉《しばしば複数形で》絹の衣服,絹物 / 〈C〉《複数形で》《米》競馬の騎手が着るはでな色の服 / 〈U〉トウモロコシの絹糸(めしべ) / 《英》勅選弁護士 / 絹の,絹製の,絹のような
silken	絹の,絹製の / (絹のように)柔らなか,すべすべした,つやのある(silky)
silkscreen	シルクスクリーン,孔版捺染(こうはんなっせん)法・…をシルクスクリーンで捺染する・絹紗スクリーン捺染法. ・= silk screen
silkworm	蚕 / (一般的に)繭(まゆ)を作るガの幼虫
silky	絹のような;柔らかな,すべすべした,つやのある
sill	(窓・戸などの)敷居
sillabub,syllabub	シラバブ(ミルクまたはクリームにぶどう酒やりんご酒と甘味・香料を加えた料理)
silliness	愚かなこと;〈C〉愚かな言動
silly	(人・人の用動が)『愚かな』,思慮のない,ばかな,おめでたい / 《話》(殴られたりして)目を回した,気絶した / おばかさん
silo	サイロ(牛馬の飼料として牧草(silage)を貯蔵する普通円筒形の建物) / サイロ(ミサイルを格納し発射する地下設備)
silt	(川底などの)沈泥 / 〈水路・港湾など〉を沈泥でふさぐ《+『up』+『名,』+『名』+『up』》 / 〈水路・港湾などが〉沈泥でふさがる,詰まる《+『up』》
silty	沈泥の;沈泥が詰まった
