silvan	=sylvan
silver	『銀』(金属元素;化学記号は『Ag』) / (商品・通貨基準としての)銀 / 『銀貨』(一般に銀白色の)硬貨 / 《集合的に》『銀(銀めっき)の食器類』,銀器 / 『銀製の』,銀めっきした / 銀色の,銀白色の / …に銀めっきする / 《文》…を銀色にする / 銀色になる
silver birch	シラカバ[の木]
silver iodide	沃化(ようか)銀
silver jubilee	25周年記念祭,25年祝典
silver lining	(不幸な境遇の中にもある)希望のきざし,明るい見通し
silver nitrate	硝酸銀
silver paper	(タバコや食物などを包む)銀紙,銀箔(ぎんぱく),すず箔
silver plate	銀製(銀めっき)食器類
silver wedding	銀婚式(結婚25年記念)
silver-tongued	説得力のある,雄弁な,弁のたつ
silverfish	セイヨウシミ(銀色の羽のない昆虫で本・壁紙などのりの付いたものを食べる)
silverside	牛のももの最上部の肉
silversmith	銀細工師
silverware	銀器;(銀白色の)食卓用刃物
silvery	(色・光沢が)銀のような,銀色の / (音が)銀の鈴を鳴らすような
simian	類人猿の,猿のような / 類人猿,猿
similar	(大体において)『似ている』,類似した同様の / (図形が)相似の
similarity	〈U〉類似,相似(resemblance) / 〈C〉類似点
similarly	類似して / 《文修飾語に用いて》同様に
simile	直喩(ちょくゆ)(like や as を用いて二つのものを直接比較する修辞法;たとえば[as]quick as thought(電光石火のごとく),pale like a ghost(幽霊のように青ざめた)など)
similitude	〈U〉類似,相似;〈C〉(…と)似た姿《+『of』+『名』》 / 〈C〉(たとえ話・直喩で用いられる)たとえ,比較
simmer	〈スープ・肉などが〉(たぎらない程度で)ぐつぐつ煮える / 〈人が〉(怒りなどで)今にも爆発しそうである《+『with』+『名』》 / …をぐつぐつと煮る / ぐつぐつ煮ること,ぐつぐつ煮えていること
simon-pure	本物の,正真正銘の
simonize,simonise	〈車〉をワックスでみがく
simony	(昔の)聖職売買[の罪]
simpatico	同じ性質の,気性の合った,親しみのもてる
simper	作り笑いをする / 作り笑い
simperingly	作り笑いをして
simple	『簡単な』,容易な,分かりやすい / (複合に対して)単一の / 『単純な』,込み入っていない / 『純然たる』,全くの / 『飾り気のない』,簡素な,地味な,質素な / 『もったいぶらない』;誠実な,実直な / お人よしの,だまされやすい / 《文》地位のない,普通の,平(ひら)の / 薬草,薬用植物
simple interest	(金利の)単利
simple machine	単純機械(作業を助ける基本的機械装置で,てこ,車輪と車軸,滑車,ねじ,くさび,斜面の6種のうちの一つ)
simple sentence	単文(一対の主語・述語動詞から成る文)
simple-hearted	(賢くはないが)純真な,無邪気な,誠実な
simpleminded	お人よしの,だまされやすい / 愚かな;精神薄弱の
simpleton	愚か者,あほう
simplicity	『簡単』,平易;(…の)容易《+『of』+『名』》 / 『飾り気のなさ』,簡素,地味,質素 / 実直,誠実
simplification	単純化,簡易化,単一化
simplify	…を簡単にする,平易にする,単純にする
simplistic	簡単に割り切った,安易な
simply	『簡単に』,分かり易く / 『飾り気なく』,簡素に;もったいぶらないで,率直に / 『単に』,ただ(merely, only) / 『全く』,ほんとうに(really);とても,非常に(very much)
simulacrum	幻影,面影 / 像,似姿 / にせ物
simulate	…のふりをする,を装う;simulate death死を装う / …をまねる,に似せる(imitate)
simulated	まねた,装った
simulation	〈U〉ふりをすること,見せかけること / 〈C〉まね,模擬実験(コンピューターで,経済,科学などの変化を予測するモデル実験)
simulative	まねる;偽る
simulator	シミュレーター(航空機,宇宙船などの訓練の模擬装置)
simulcast	〈番組〉をラジオとテレビで同時に放送する / ラジオとテレビの同時放送[番組]
simultaneity	同時に存在する(起こる,作用する)こと,同時性
simultaneous	同時の;(…と)同時に起こる《+『with』+『名』》
simultaneously	同時に
simultaneousness	同時性,同時に存在する(起こる)こと
sin	〈U〉(宗教・道徳上の)『罪』 / 〈C〉(宗教・道徳上の)『罪の行為』,罪悪 / 〈C〉《特におどけて》違反(過失)の行為 / (宗教・道徳上の)おきてを破る,罪を犯す / (…に)違反(過失)をする,背く《+『against』+『名』》 / sine
since	《通例完了形またはit is(was)と共に用いて》…『以後』[『ずっと』],…以来[ずっと] / …『ので』,…だから / …『以来』,…から[今まで] / 《完了形とともに用いて》『その時から現在まで』,それ以来ずっと / 《完了形とともに用いて》『その後』[『今までの間に』] / 《過去時制・完了形とともに用いて》(現在より)…前に
sincere	(感情・行動が)『偽りのない』,心からの,真剣な / (人が)『誠実な』,まじめな
sincerely	『真心込めて』,心から
sincerity	『誠実』,偽りのないこと,正直
sine	(数学で)正弦,サイン(《略》『sin』)
sine die	無期限に(=without fixing a day)
sine qua non	不可欠のもの,必要条件
sinecure	(実務はないが報酬のある)閑職
sinew	〈C〉〈U〉筋(きん),腱(けん) / 《複数形で》筋肉 / 活力,体力;力の源泉
sinewy	(肉が)筋の多い / 筋骨たくましい,がんじょうな
sinful	罪深い / 《話》けしからぬ,罰当たりな
sing	『歌う』;(…に)歌って聞かせる《+『to』(『for』)+『名』》;(楽器に合わせて)歌う《+『to』+『名』》・〈小鳥・虫などが〉『鳴く』,さえずる / 《文》(…を)詩(歌)にする,(詩(歌)を詠んで)賛美する《+『of』+『名』》・〈小川・風・弾丸・湯沸かし・耳などが〉歌うように鳴る・《米語》自白する;密告する・〈歌〉を歌う・《副詞[句]を伴って》歌って…を(…に)する・…を唱える,詠唱する・《文》…を詩(歌)にする,(詩(歌)に詠んで)賛美する・合唱の集い
sing.	singular
singe	…の表面を焼く,焦がす / 〈毛髪・糸など〉の先端を焼く / 焦げあと;焦がすこと,先端を焼くこと
singer	『歌う人』,(特に本職の)歌手
singing	〈U〉歌,歌唱,声楽 / 〈U〉歌うこと;歌声 / 〈U〉ヒューヒュー(ブンブンなど)と鳴る音
