sinusitis	洞炎,(特に)静脈洞炎
sion	=zion
sip	…を『ちびちび飲む』,すする / (…を)『ちびりちびり飲む』《+『at』+『名』》 / (…を)ちびりちびり飲むこと;(飲み物の)『一口』,一すすり《+『of』+『名』》
siphon bottle	サイフォンびん(炭酸水用のびん;ガスの力で水が流出する)
siphon,syphon	サイフォン,吸水管 / =siphon bottle / (水中動物の)吸管 / …をサイフォンで吸い上げる《+『off』(『out』)+『名,』+『名』+『off』(『out』)》 / サイフォンを通る
sir	《時にS-》《冠詞なしで》《男性の目上の人・見知らぬ人・店の客・上官・先生・議長などに対する敬った丁寧な呼び掛け語として》『あなた』,だんな,先生,(警官などが男性を呼び止めて)おい,君 / 《S-》〈U〉サー / 《しばしばS-》〈C〉《手紙の書き出しのあいさつに用いて》『拝啓』
sire	《S-》《冠詞なしで》《古》(国王などに対する呼び掛けで)陛下・〈C〉(動物,特に馬の)雄親 / 〈種馬が〉…を生む
siren	『サイレン』,『警笛』 / サイレン(ギリシア神話で美声で船人を誘い,殺したという半女半鳥の海の精) / 美声の歌い手;(男を惑わす)美女,妖婦(ようふ)
sirloin	サーロイン(牛の腰肉の最も美味な部分)
sirocco	シロッコ(北アフリカから南ヨーロッパ地方に吹きつける乾燥したほこりっぽい熱風) / (一般に)うっとうしい熱風
sirrah	おい,こら(目下の者・子供などに対する軽べつ的呼び掛け)
sirup	=syrup
sis	=sister / (呼び掛けて)お嬢さん
sisal	シサル麻(各種のロープ・敷物などに用いられる)
sissified	=sissy
sissy	めめしい少年(男),いくじなし,弱虫 / めめしい,いくじなしの,弱虫の
sister	(父母,またその一方が同じ)『~』,『妹』,女のきょうだい / (姉妹のように)親しい女の友(仲間) / (教会・クラブなどの)婦人会員 / (カトリック教会の)修道女,尼僧,シスター / 《英》看護婦長 / 姉妹のような関係にある
sister-in-law	義理の姉(妹),兄(弟)の妻
sisterhood	〈U〉姉妹の関係;(姉妹のような)友好関係 / (結びついた)集団,グループ / 〈C〉婦人の宗教団体,修道女会
sisterly	姉妹の;姉妹のような;仲のよい
sit	(…に)『座る』,座っている《+『at』(『on, in』)+『名』》・着席する《+『down』》・(…に)〈鳥などが〉『止まる』,休む《+『on』+『名』》・〈めんどりが〉卵を抱く,巣に就く / 《場所の副詞[句]を伴って》(ある場所に)『位置する』・ (画家・写真家のために)ポーズをとる・しっとしている,動かないでいる・(議員・委員などの)職に就いている《+『on』+『名』》・〈議会・法廷などが〉開会(開廷)される・(…に)負担となる,重荷となる《+『on』(『upon』)+『名』》・〈衣服などが〉(…に)合う,似合う《+『on』+『名』》・〈人〉を座らせる,着席させる《+『down』+『名,』+『名』+『down』》・〈馬〉に乗る・《英》〈試験〉を受ける
sit-down strike	座り込みストライキ
sit-in	(抗議のため公共の場所を占拠して行う)座り込み
sit-up	シットアップ(脚を伸ばしたままで手を使わずに起き直る腹筋運動)
sit-upon	尻(しり)
sitar	シタール(インド北部の弦楽器)
sitcom	=situation comedy
site	(町・建物などの)『場所』;敷地,用地 / 遺跡;(事件などの)現場 / 〈建物など〉を位置させる(locate)
sitter	〈C〉子供を預かる人;座っている人 / =baby-sitter
sitting	〈U〉座ること,着席・〈C〉(読書・モデル・その他の仕事などをするために)座ること,ポーズをとること;一座りの時間;一仕事 / 〈C〉(議会・法廷などの)開会[期間],開廷[期間] / 〈C〉(鳥の)巣ごもり,抱卵[期];1回に抱く卵 / 〈C〉(教会・劇場などの)座席 / 〈C〉(多人数に出す)1回分の食事の用意 / 座っている;(鳥が)卵を抱いている / (議会などで)現職の / 《英》(ある場所に)現住の
sitting duck	楽な目標,いいかも・格好の標的
sitting room	『居間』,茶の間
