speciality	=specialty
specialization, specialisation	特殊化,専門化
specialize, specialise	(…を)『専門にする』《+『in』+『名』(do『ing』)》 / 〈生物が〉(特別な環境に適応するように)特殊化(分化)する
specialized, specialised	専門化した,特製の
specially	(比較変化なし)『特に』,わざわざ / (普通ではなく)特別に / 並みはずれて,きわだって
specialty	専門,専攻 / 特色,特性 / 特製品,特別品
specie	(紙弊に対した)正金,正貨
species	〈C〉(生物分類上の)『種』(しゅ),種族(「属」(genus)の下の単位) / 〈C〉(…の)種類《+『of』+『名』》 / 《the ~》人類(mankind)
specif.	specific / specifically
specific	《名詞の前にのみ用いて》『特定の』,一定の・『明確な』,明白な・(そのものに)『特有の』,独特の《+『to』+『名』》・〈C〉(…の)特効薬《+『for』+『名』》・《複数形で》明細,細部(details)
specific gravity	比重
specific heat	比熱
specifically	明確に(clearly) / 特に,とりわけ / すなわち,言い替えれば(namely)
specification	〈U〉(…の)詳説,詳述《+『of』+『名』》 / 〈U〉明細事項,内訳 / (また《話》specs)〈C〉《通例複数形で》(明細な)仕様書,設計書
specificity	特性を持っていること;特質,特性
specify	〈物事〉を明確に述べる / (明細書の中などで)…を指定する,の名をあげる
specimen	(…の)『見本』,標本,実例《+『of』+『名』》 / (検査のため採取された,組織・血液・尿などの)『標本』 / 《話》《形容詞を伴って》…の人,…なやつ
specious	見かけのよい,もっともらしい
speck	『しみ』,汚点 / 《否定文で》(…の)小片,みじん《+『of』+『名』》 / …にしみをつける
speckle	(皮膚・毛皮などの)斑点,しみ,ぽつ・…に斑点(はんてん)をつける
speckled	まだらの
specs	=spectacles / =specification
spectacle	(特に印象的な)『光景』,ながめ,ありさま / 〈C〉(特に大規模な)見せ物,スメクタクル / (また《話》『specs』)《複数形で》『眼鏡』
spectacled	めがねをかけた / (動物が)めがね状の斑紋点のある
spectacular	見せ物的な,壮観の,めざましい / (テレビ・映画などの)超大作,特別ショー
spectator	『観客』,見物人,傍観者
specter, spectre	幽霊,お化け / こわいもの,恐ろしいもの
spectra	spectrumの複数形
spectral	幽霊の,お化けのような(ghostly) / スペクトルの(による)
spectrogram	(分光器によって得られる)スペクトル写真
spectrograph	分光写真機
spectrometer	分光計
spectroscope	分光器
spectroscopic	分光器の,分光器による
spectrum	スペクトル(光がプリズムを通過するとき生じる色の帯) / (電磁波・音波などの)範囲,スペクトル / (多様だが関連あるものの)連続[範囲]《+『of』+『名』》
speculate	(…について)『推測する』,思い巡らす《+『about』(『on, upon』)+『名』(do『ing』)》 / (株・土地などに)『投機する』《+『in』(『on』)+『名』(do『ing』)》 / 《『speculate』+『that節』》…と推測する
speculation	(…に関する)『推測』,考察《+『about』(『on, upon』)+『名』》 / (…への)投機《+『in』(『on』)+『名』》
speculative	(人・心などが)推測にふける,思索的な / 《名詞の前にのみ用いて》(考え・結論などが)理論にもとづく,観念的な / 投機の,思わく買いの
speculator	投機者,相場師 / 思索家,理論家
sped	speedの過去・過去分詞
speech	〈U〉話すこと,言葉・〈C〉演説,スピーチ・〈U〉(人の)話し方・〈C〉(役者の)セリフ・〈U〉話法
speech therapy	(言語障害者の)言語治療
speechify	演説をぶつ,長談義をする
speechless	《補語にのみ用いて》(感情のため一時的に)口のきけない《+『with』(『from』)+『名』》 / 《名詞の前にのみ用いて》(気持ちなどが)言葉に言い表せない / (人か)口のきけない,おしの
speed	〈U〉(運動・動作の)『速いこと』,速さ・〈C〉『速度』,速力(velocity) ・〈C〉(自動車などの)変速ギア・〈U〉〈C〉(写真で) / (フィルムの)感度,感光性 / レンズの明るさ・シャッター速度・覚醒(かくせい)剤,興奮剤 / ・『急ぐ』,疾走する・《通例現在分詞形で》制限速度以上で運転する,反則の速度で走る・〈仕事・車など〉の速度を上げる
speed trap	スピード違反検問[所] ねずみ取り区間 速度違反摘発装置
speedboat	高速モーターボート
speedily	速く;すぐに
speediness	敏速
speeding	スピード違反
speedometer	(自動車の)速度計
speedup	速力増加 / 生産能率の促進
speedway	〈C〉オートバイ(自動車)競走場 / 〈U〉(競走場での)オートバイレース / 〈C〉《米》高速道路
speedy	速い,敏速な / 即時の,速やかな
speleologist	洞穴(どうけつ)学者
speleology	洞穴学
spell	〈語〉を『つづる』,のつづりを言う(書く) ・〈…の文字が〉〈語〉の『つづりである』・(受動態にできない) ・(結果として)…を招く,意味する・語をつづる,語のつづりを言う(書く) / 『呪文』(じゅもん)まじない;魔法にかかった状態,呪縛(じゅばく) / 《単数形で》魅力,魔力 / しばらくの間,一時 / (ある天気の)『ひと続き』 / (病気などの)『ひとしきり』,発作 / ひと仕事,(仕事の)交替 / (…を)〈人〉と交替する《+『名』+『at』+『名』(do『ing』)》
spellbind	…を呪文(じゅもん)で縛る;を魅了する
spellbinder	(聴衆を魅了する,特に政治家の中の)雄弁家
spellbound	呪文で縛られた;魅せられた
spelldown	つづり字競技
speller	つづる人 / 《米》つづり字教本
spelling	〈U〉『語のつづり方』 / 〈C〉語のつづり
spelt	spellの過去・過去分詞
spend	(…に)〈金〉を『使う』《+名〈金〉+on(『for』)+『名』》 / 〈時〉を『過ごす』 / 《文》〈力など〉を使い果たす,〈自分〉の力を使い果たす / 金(財産など)を使う;浪費する
spender	(金を)使う人;浪費家
spending money	=pocket money 小遣い銭
spendthrift	金使いの荒い人,浪費家 / 金使いの荒い
spent	spendの過去・過去分詞 / 疲れきった / 使い尽くした
sperm	〈C〉精子 / 〈U〉精液
sperm oil	鯨油
sperm whale	マッコウクジラ
spermaceti	鯨(げい)ろう(マッコウクジラの頭から取れる白いろう状の物質;ろうそく・化粧品などになる)
spermatozoon	〈C〉精子,精虫
spew	〈水・煙など〉を噴出する / 《俗》〈へどなど〉を吐く(vomit) / 〈水・煙などが〉噴出する / 《俗》へどを吐く
sphagnum	ミズゴケ(沼の表面にはえる柔らかいコケ)
sphere	『球』,球体,球面 / (惑星・星などの)『天体』;天球;《詞》天,空 / (知識・活動・影響などの)『範囲』,領域《+『of』+『名』》 / (社会的)地位,階級
spherical	球形の,球状の / 天体の;天球の
spheroid	回転楕円体(面)
sphincter	括約筋(かつやくきん)
sphinx	〈C〉(古代エジプトの)スフィンクス;《the S-》(ピラミッド近くの)大スフィンクス / 《S-》(ギリシア神話で)スフィンクス(女の頭とライオンの胴に翼をもった怪物で,通行人になぞをかけ解けない者を殺したという) / 〈C〉不可解な人物,なぞの人
sphygmomanometer	血圧計,脈圧計
