spilt	spillの過去・過去分詞
spin	(羊毛などから)〈糸など〉を『紡ぐ』《+『名』+『out of』+『名』〈羊毛〉》,(糸などに)〈羊毛など〉を紡ぐ《+『名』〈羊毛〉+『into』+『名』》 / 〈クモ・カイコなどが〉〈糸〉を『吐く』;〈巣・繭〉をかける / …をくるくる回す / 〈物語など〉を作る,話す / 『糸を紡ぐ』;〈クモ・カイコなどが〉糸を吐く / 〈こまなどが〉くるくる回る / 〈車などが〉疾走する / 〈頭などが〉くらくらする / 〈C〉〈U〉くるくる回すこと;回転 / 〈C〉《単数形で》(車などの)一走り / 〈C〉(飛行機の)きりもみ降下 / 〈C〉《単数形で》(価値などの)急落
spin-dry	… を遠心力で脱水する
spin-off	副産物
spinach	ホウレンソウ / ホウレンソウの葉
spinal	背骨の / せき髄麻酔
spinal column	脊柱
spinal cord	せき髄
spindle	錘(つむ),紡錘(ぼうすい)(紡いだ糸を巻き付ける両端の細くなった丸い棒) / (機械の)軸,心棒;支軸 / 細長くなる / …を錘の形にする
spindle shanks	=spindlelegs
spindle-legged	細長い足の
spindle-shanked	=spindle-legged
spindlelegs	《複数扱い》細長く足 / 〈C〉《単数扱い》《話》細長い足の人
spindling	ひょろ長い
spindly	細長い,ひょろ長い
spindrift	(海の)波しぶき
spine	(またspinal column,《話》backbone)せき柱,背骨 / (書物などの)背 / (ヤマアラシ・サボテンなどの)針,とげ
spineless	背骨のない / とげ(針)のない / 意気地のない,決断力の欠けた
spinet	スピネット(ピアノの前身の小型ハープシコード) / 小型ピアノ
spinnaker	(ヨットの主帆の前に張って追い風を受ける)大三角帆
spinner	紡績工;紡績機
spinneret	(クモなどの)糸を出す器官,紡績突起
spinney	茂み,やぶ,雑木林
spinning jenny	(初期の)多軸紡績機
spinning wheel	(昔,糸を紡いだ)糸車,紡ぎ車
spinster	未婚婦人;オールドミス(old maid)
spinsterhood	(婦人の)独身,未婚
spiny	とげのある,とげだらけの / とげ状の,とげのような
spiracle	(こん虫の)気門,気孔;(鯨の)噴水孔
spiral	らせん(helix) / らせん状のもの;らせんばね;巻き貝 / (物価・賃金などの)らせん状上昇(下降) / らせん状の / … をらせん形にする / らせん形になる;らせん状に動く
spire	(教会などの)『尖塔』(せんとう);(尖塔の)とがり屋根 / 先のとがった物 / らせん;その一巻き
spirit	〈U〉『精神』,心 / 〈C〉(超自然の)『霊魂』,霊;幽霊,妖精 / 〈C〉《形容詞を伴って》(ある気資・性格をもった)人 / 〈U〉元気,活気 / 〈U〉《時にa ~》気立て,気質;意気,気概 / 《複数形で》『気分』,きげん / 〈U〉(団体などに対する)忠誠心,献心 / 〈C〉(全体に流れる)傾向,風潮 / 〈U〉《the ~》(法などの)精神 / 《複数形で》アルコール;強い酒 / (こっそりと)〈人〉を連れ去る,〈物〉を持ち去る《+『名』+『away』(『off』),+『away』(『off』)+『名』》
spirit level	アルコール水準器
spirited	元気のよい,活気ある
spiritless	元気のない
spiritual	『精神的な』,精神の / 超自然の,霊的な;崇高な,気高い / 『宗教上の』,神聖な,教会の / 黒人霊歌(Negro spiritual)
spiritualism	心霊主義;精神主義
spiritualist	心霊主義者;精神主義者
spiritualistic	唯心論的; 心霊術(的)
spirituality	(物欲に対し)精神的であること,精神性
spiritualize,spiritualise	〈人・心など〉を精神的にする,浄化する,高める /… に精神的な意味を与える
spiritually	精神的に
spirituous	アルコールを含む / 蒸留した(distilled)
spirochete	スピロヘータ,らせん状菌(梅毒・回帰熱などの病原菌)
spirt	=spurt
spit	〈つば・食べ物など〉を『吐く』,吐き出す《+『out』+『名』,+『名』+『out』》 / (…に)〈悪口など〉を吐き出すように言う《+『out』+『名』+『at』+『名』》 / (…に向かって)『つばを吐く』《+『at』(『in』,『into』,『on』,『upon』)+『名』》 / つば(saliva) / (焼き肉用の)くし,焼きぐし / (細長く海に突き出た)出州(です),砂州(さす);みさき / 〈肉など〉を焼きぐしに刺す
spitball	紙つぶて / スピットボール(野球でボールにつばをつけて投げる変化球;現在は反則)
spite	悪意,意地悪 / 《a ~》(…への)恨み《+『against』(『at』)+『名』》 / 〈人〉に意地悪をする,を困らせる
spiteful	意地悪い
spitfire	(特に少女・婦人の)かんしゃくもち,短気な人
spitting image	(…の)生き写し《+『of』+『名』》
spittle	つば(spit)
spittoon	=cuspidor
