sponge bag	スポンジバッグ(防水した化粧小物入れ)
sponge cake	スポンジケーキ[カステラ風のケーキの一種]
sponger	海綿採集人(船) / 《話》食客,いそうろう
spongy	海綿状の多孔質の;吸収性の
sponsor	(…の)『保証人』《+『for』+『名』》 / (提案などの)主唱者,発起人;支持者,後援者 / 教父,教母,(洗礼のとしの)名付け親 / (商業放送の)スポンサー,番組提供者,広告主 / …を保証する;…を支持する,後援する / 〈商業放送〉のスポンサーになる
sponsorship	保証人であること;発起;(商業放送の)スポンサーであること
spontaneity	〈U〉自然なこと,自発的なこと,のびのびした言動
spontaneous	(行動などが)『自然に起こる』,自発的な / (現象などが)自然[発生]の;(植物などが)天然の,自生の
spontaneous combustion	自然発火
spoof	…をだます,かつぐ(deceive) / …のまねをしてからかう,をひやかす(mock) / (軽く陽気に)ちゃかす / 人をだます(かつぐ)こと / (陽気で悪意のない)もじり,ちゃかし
spook	幽霊(ghost) / …をびっくりさせる,ぎょっとさせる / 〈幽霊などが〉…に出没する,出る
spooky	幽霊の出るような,気味悪い / 物おじする,おびえる
spool	《米》糸巻き(《英》reel) / (フィルムの)スプール;(タイプライターのリボンの)スプール;(録音テープなどの)リール / 糸巻1巻分の糸;リール1巻分のテープ(など) / 〈糸など〉を糸巻きに巻く
spoon	『スプーン』,さじ;さじ状のもの / (…の)スプーン1杯[の量](spoonful)《+『of』+『名』》 / 〈スープ・食べ物など〉をスプーンですくう《+『out』(『up』)+『名,』+『名』+『out』(『up』)》 / 《話》《まれ》愛撫(あいぶ)する,いちゃつく
spoon-feed	〈人〉にさじで食べさせる / (生徒などに)〈学科〉をかんで含めるように教える
spoonbill	ヘラサギ(長く平たいくちばしの渉禽(しょうきん)類の鳥)
spoondrift	=spindrift
spoonful	さじ1杯,一さじ分(の…)《+『of』+『名』》
spoor	(野獣の)足跡,臭跡
sporadic	ときどき起こる; / 散在する / (病気が伝染性でなく)散発の,特発性の
sporadically	時折;まばらに;散発的に
sporangium	(コケ植物の)胞子嚢(のう)
spore	胞子;胚種
spore case	=sporangium
spork	スポーク
sporran	スポーラン(スコットランド高地人がキルトの前につるす皮の袋)
sport	〈U〉《集合的に》『スポーツ』,運動競技 / 〈C〉(個々の)『スポーツ』,運動競技 / 《複数形で》《英》運動会,競技会 / 〈U〉『気晴らし』,慰め,娯楽 / 〈C〉《話》スポーツマンらしい人,さっぱりした人,いい人 / 〈C〉(動・植物の)変種(mutant) / スポーツの;スポーツ用の / (服装が)戸外の着用に適した,軽快な / 〈衣服など〉を見せびらかす / 《文》(気晴らしなどで)楽しむ,遊ぶ / からかう
sporting	《名詞の前にのみ用いて》スポーツの(に関する,用の) / スポーツマンらしい,正々堂々とした / 勝ち負け五分五分の,いちかばちかの
sportive	遊び戯れる,ふざける(playful)
sports	=sport{形}
sports car	スポーツカー
sports coat	スポーツジャケット(ふだんに着る替え上着)
sports editor	スポーツ欄編集主任
sportscast	スポーツ放送
sportsman	『運動家』,スポーツマン;運動好きの人 / 『スポーツマンシップのある人』,正々堂々とやる人
sportsmanlike	スポーツマンらしい,公明正大な
sportsmanship	スポーツマンシップ(精神)
sportswear	スポーツ着,スポーツウェア
sportswoman	女子運動(競技)家
sporty	スポーツマンらしい / (服装などが)はでな,いきな,軽快な
