spurn	〈申し出・人など〉をはねつける,相手にしない
spurt	〈液体などが〉噴出する,ほとばしる《+『out』》 / スパートする,力走(力泳)する / 〈液体など〉を噴出させる,ほとばしらせる / (液体などの)噴出,ほとばしり;(感情・エネルギーなどの)激発 / (レースの途中や最後の)力走,力泳,力闘
sputnik	スプートニク(旧ソ連の人工衛星) / (一般に)人工衛星
sputter	ブツブツ(パチパチ)音を立てる / (興奮して)口からつば(食べ物)を飛ばす / 早口に(せき込んで)しゃべりたてる / 〈つば・食べ物〉を口から飛ばす / …を早口で(せき込んで)言う / ブツブツ(パチパチ)いう音 / 早口
sputum	つば,たん
spy	『スパイ』,諜報員 / 『探偵』(たんてい),密偵 / (敵意をもって)(…を)『ひそかに見張る』(探る)《『+on』(『upon』)+『名』》 / (…について)調査する,せんさくする《+『into』+『名』》 / …を見つけ出す,探り出す《『out』+『名』,+『名』+『out』》
spyglass	小望遠鏡
sq.	square{名}5,{形}3
sqq.	sequentia以下(the following ones)
squab	(食用の)ひなバト
squabble	つまらない口論 / (…のことで)つまらないけんか(口論)をする《+『over』(『about』)+『名』》
squabby	ずんぐりした
squad	(軍隊の)分隊 / (一般に少人数の)班,団,組;(運動競技などの)チーム
squad car	=patrol car
squadron	戦車大隊;(昔の)騎兵大隊 / 小艦隊(fleetの一部) / 飛行大隊 / (一般に多数から成る)団体,群れ
squadron leader	(英空車の)飛行中隊長,空軍少佐
squalid	むさくるしい,ごみごみした,きたない(dirty) / 卑劣な,あさましい
squall	〈特に赤ん坊や子供が〉 / 泣きわめく声 / はやて,突風,スコール(しばしば雨・雪・みぞれを伴った局部的突風) / はやてが吹く
squally	突風の吹く,荒れ模様の / 《話》形勢が悪い;不穏な
squalor	不潔
squander	〈時間・金など〉を浪費する
square	『正方形』;四角な物;(チェス・チェッカーなどの盤の,正方形の)目,ます目 / (四角い)『広場』(街路の交差点にあって,しばしば中央に植木や芝などが植えてあり,小公園になっている);《おもに英》広場の回りの建物(街路)(《略》Sq.) / (四方を街路で囲まれた方形の)一区画,ブロック / 直角定規,かね尺 / (数の)『2乗』,平方(《略》sq.) / 《俗》旧式な人 / 『正方形の』,四角な,直角の,直角をなす / 角ばった,がっかりした / 『平方の』,2乗の(《略》『sq.』) / 《補語にのみ用いて》対等の,五分五分の(even);貸し借りにない / 正直な(honest),公正な(fair),正しい(just) / 率直な,はっきりした,きっぱりした(direct) / 実質のある,十分な / 《俗》しゃちほこばった / =squarely / …を正方形(四角)にする;直角にする / …を正方形(四角)に区切る《+『off』+『名』,+『名』+『off』》 / 〈肩・ひじなど〉を張る / (人と)〈勘定〉を決済する,清算する《+『名』〈勘定〉+『with』+『名』〈人〉》 / (…と)…を一致させる,適合させる《+『名』+『with』+『名』》 / 《受動態で》〈数〉を2乗する;〈ある形・図形など〉の平方積(面積)を求める / 〈人〉を買収する,抱き込む,…にわいろを使う / 〈試合の得点〉を同点にする / (…と)一致する,適合する《+『with』+『名』》
square bashing	《英話》(おもに軍隊行進などの)教練
square bracket	角かっこ(文章記号の[]の一方)
square dance	スクエアダンス
square deal	公平な取扱い(処置),公正な取引き
square knot	こま結び(《英》reef knot)
square measure	平方積
square root	(ある数の)平方根
square-built	肩幅の広い,がっしりした
square-dance	スクエアダンスをする
square-rigged	(帆船が)横帆式の
square-shaped	四角の,正方形の
squarely	直角に;正方形に / 《話》真正面に,まともに / 《話》正直に,公正に(fairly) / 《話》断然,きっぱりと
squareness	方形,四角;直角であること / 公正,正直;きちょうめん
squarish	正方形の,角ばった
squash	…を押しつぶす,ぐしゃぐしゃにする / (…の中に)…を押し込める,詰め込む《+名+into(in)+名》 / 〈暴動など〉を鎮圧する;《話》〈人〉をやり込めて黙らせる / つぶれる,ぺしゃんこになる / (…の中に)割り込んでいく《+『into』(『in』)+『名』》 / 《a~》雑踏,群衆(crowd) / 〈U〉押しつぶすこと;押しつぶされた状態;〈C〉ペシャッ[とつぶれる音],ペタン[と落ちる音] / 〈U〉《英》スカッシュ(果汁(かじゅう)をもとにした清涼飲料) / =squash rackets / (種々の)カボチャ
squash rackets	スカッシュラケット(壁に囲まれたコートでゴムボールを用い2人または4人でするテニスに似たゲーム)
squash tennis	スカッシュテニス(2人でするスカッシュラケットに似たゲームだが,ボールはより大きくよくはずむ)
squashy	つぶれやすい;(土地が)ぬかるみの;ぐしゃぐしゃの
squat	しゃがむ,うずくまる(crouch)《+『down』》 / 〈動物などが〉地に伏す,身をひそめる / (他人の土地に)無断で定住する / (所有権獲得の目的で政府の規制に従いながら)公有地に定住する / 《英話》座る(sit) / しゃがんだ / ずんぐりした / うずくまること;しゃがんだ姿勢
squatter	しゃがむ人,うずくまる動物 / (公有地,未開地の)無断定住者
squatty	ずんぐりした
squaw	(差別的表現で先住民・インディアン女性を表すが使用は避けるべき)
squawk	(鳥の)鋭い鳴き声 / 《俗》うるさい不平 / 〈鳥が〉鋭く鳴く / 《話》大声で不平を言う
