stark-naked	すっ裸の = stark naked
starkers	すっ裸の
starless	星(星明かり)のない
starlet	《米》新人若手女優(歌手) / 小さい星
starlight	星明かり,星の光 / =starlit
starling	ホシムクドリ(人家の近くに群生する鳴鳥)
starlit	星に照らされた,星あかりの
starry	星の多い,星あかりの / ぴかぴか光る,星のように光る / 星形の
starry-eyed	空想的な,非現実的な
start	(…から…に向かって)『出発する』《+『from』+『名』+『for』(『to』)+『名』》 / 〈事が〉『始まる』,発生する;(…で)始まる《+『with』+『名』》,(…から)生じる《+『from』+『名』》 / 〈人が〉『活動し始める』,〈機械などが〉動き始める;(…を)始める,(…に)着手する《+『in』(『on』)+『名』》 / 《しばしば副詞[句]を伴って》〈人が〉(…に驚いて)急に動く;《比喩(ひゆ)的に》ぎまりとする,ぎょっとする 《+『at』+『名』》 / 《しばしば副詞[句]を伴って》〈物が〉急に動く,飛び出る,噴出する / (試合の)先発メンバーになる / …を『始める』,開始する / 〈人〉に始めさせる / …を生じさせる,引き起こす / 〈機械など〉を『始動させる』 / …を使い始める / 〈獲物〉を狩り出す,飛び立たせる,先発メンバーしとて出す / 〈C〉『出発』,スタート;出発点 / 〈C〉(事業などの)『開始』,着手 / 〈C〉最初,初め,出だし / 〈C〉《a ~》はっと(びっくり)すること,びっくりして飛び上がること / 〈U〉《時にa ~》(…に対する)先発[権],優先[権];機先《+『on』(『over』)+『名』》
starter	出発合図係,スターター / (出発線の)競走馬,競走者 / 《修飾語を伴って》始める人 / 《話》皮切り,手始め / (機械の)始動機
starting block	(競走の)スタート台
starting gate	(競馬の)スタート門
starting point	出発点,起点
starting price	(競馬の)出走時の賭け率(配当率)
startle	…を『飛び上がらせる』,ぎょっとさせる / (…に)ぎょっとする,はっとする《+『at』+『名』》 / 突然の驚き,はっとすること
startling	驚くべき,びっくりさせる(surprising)
starvation	餓死;飢餓,窮乏
starve	『餓死する』 / (…を)切望する,(…に)飢える《+『for』+『名』》 / 《話》空腹である,ひもじい / …を飢え死にさせる / 〈人〉を飢えさせる,腹ぺこにさせる / (…を)…に切望させる,(…の)欠乏を感じさせる《+『名』+『for(of)』+『名』》
starveling	飢えてやせこけた人(動物) / 飢えた,やせこけた
stash	…を隠してしまっておく,取っておく《+『away』+『名』,+『名』+『away』》 / (秘密の)貯蔵物,蓄え
stat.	statue / statute
state	〈C〉(人・物事の)『状態』,ありさま,様子 / 〈C〉《a ~》《話》極度の緊張状態,異常な精神状態 / 〈U〉地位,階級,身分 / 〈C〉〈U〉《しばしばS-》『国家』,国,政府 / 〈C〉《時にS-》(アメリカ・オーストラリアなどの)『州』 / 《the States》《話》『米国』 / 〈U〉威厳;公式;堂々とした様子 / 国家の,国事に関する / 《しばしばS-》《米》州の,州立の / 公式の,儀式用の / …を『はっきり述べる』,公式に申し立てる / 〈当局が〉…を指定する,決める
state of the art	特定の分野またはある時点での科学・規術水準 = state-of-the-art
state's evidence	共犯証言(被告が自分の減刑のため行う他の共犯者に不利な証言)(《英》king's (queen's) evidence)
statecraft	政治的手腕(statesmanship)
stated	決まった,規定の;定期の / はっきり述べられた,明言された;公認された
statehood	国家(州)であること,国家(州)の地位
statehouse	(米国の)州議会議事堂 便所
stateless	国籍のない
stateliness	荘重,威厳
stately	『威厳のある』,荘厳な,堂々とした,品位ある
stately home	(由緒ある)いなかの大邸宅
statement	〈U〉『声明』(『供述』)『すること』 / 〈C〉『声明』(『供述』)[『書』] / 〈C〉(銀行などの)計算書,決算報告 / 〈C〉(音楽で)曲の主題の提示
stateroom	(船・列車の)専用室,特等室
