steamship	(蒸気)汽船,商船
steamy	蒸気から成る,蒸気のような / 蒸気の多い,湯気で曇った / 湿気の多い
steed	(特に乗馬用の)馬
steel	〈U〉『鋼鉄』,鋼(はがね)(炭素を含む鉄) / 〈U〉〈C〉『鋼鉄製品』;刀,剣;《文》武器 / 鋼鉄でできた / (色・堅そ・強さなどが)鋼のような / …に鋼鉄をかぶせる / (鋼鉄のように)〈心〉をかたくなにする,冷酷にする
steel wool	(研磨用の)鋼毛,鉄毛
steelwork	鋼鉄製品;鋼鉄部品
steelworker	製鋼所の工員
steelworks	製鋼所
steely	鋼鉄の;(色・堅さ・強さなどが)鋼鉄のような / がん固な;冷酷な
steelyard	さおばかり
steenbok,steinbok	(アフリカ東部・南部に多い)小カモシカ
steep	『傾斜の急な』,急勾配(こうばい)の / 《話》極端な,途方もない / (液体に)…を浸す,つける《+『名』+『in』+『名』》 / (悪などに)を染まらせる《+『名』+『in』+『名』》 / (液体に)浸っている《+『in』+『名』》 / 浸す(される)こと;つける液体
steepen	…を険しくする,急勾配(こうばい)にする / 険しくなる,急勾配になる
steeple	(教会・寺院の)『尖塔』(せんとう)
steeplechase	障害物競馬,クロスカントリー競馬
steeplejack	尖塔(せんとう)(煙突)修理(塗装)工
steer	〈船・車・飛行機など〉の『かじをとる』,を操縦する;《しばしば比喩(ひゆ)的に》〈人〉を操る / 〈進路・道〉を操縦して進む / …を導く,に道を教える / 操縦する / 進路をとる / 〈船・車などが〉かじ(ハンドル)がきく / 助言,忠告 / 去勢された食用の雄ウシ[の子]
steerage	操舵(そうだ),操縦 / (昔の)3等船室
steerageway	舵効(だこう)速力(かじがきく最低進航速度)
steeringcommittee	運営委員会
steeringgear	操舵(そうだ)装置
steeringwheel	(汽船の)舵輪(だりん);(自動車の)ハンドル
steersman	舵手(だしゅ),かじとり / (自動車などの)運転手
stegosaur	ケンリュウ(剣竜)(草食の古代恐竜)
stein	(陶器製の)ビール用コップ;ジョッキ;ジョッキ1杯の量(約0.5l)
stele	(文字や模様を彫刻した考古学上の)石柱,石碑
stellar	星の;星のような / スターの,花形の / 主要な;すぐれた
stem	(草の)『茎』,(木の)『幹』 / 葉柄,花梗(かこう) / 『茎状のもの』;(杯・グラスの)『脚』,(パイプ・さじの)柄,(時計の)りゅうず / (単語の)語幹,語根 / 船首;船首材 / …の茎(軸)を取り去る,へたをとる / (…から)生じる,(…に)由来する《+『from』+『名』(do『ing』)》 / 〈流れなど〉を止める / 〈風・水流など〉に逆らって進む,抵抗する / 〈攻撃・反対など〉をくい止める,抑える
stemmed	茎(柄,軸など)のある / 茎(柄,軸など)を取り去った
stemware	(飲物・デザート用の)脚付きのグラス[類]
stench	いやなにおい,悪臭
stencil	ステンシル,型紙,型板,刷り込み型 / (謄写版の)原紙 / (ステンシルを用いた)刷り込み / 〈文字・模様など〉をステンシルで刷り出す
steno	=stenographer / =stenography
stenograph	速記文字 / 速記用タイプライター / …を速記する
stenographer	速記者;速記タイピスト(《英》shorthand typist)
stenographic	速記の,速記術の
stenography	速記,速記術(shorthand)
stentorian	(声が)とても大きい,高い
