stickler	ささいなことにくどくど言う人,やかまし屋
stickpin	スティックピン(ネクタイや飾りどめに使うピン;《米》tiepin)
stickup	ピストル強盗
sticky	ねばねばした / 接着剤のついた / (天候が)蒸し暑い / 《話》(物が)扱いにくい,(人が)気むずかしい
sticky wicket	(クリケットで)雨あがりのぬかるみが乾き始めてプレーのやりにくいウィケット / 《英話》厄介な状況(立場)
stiff	(物が)『堅い』,しなやかでない / (首・肩などが)『硬直した』,凝った,こわばった / (態度・動作が)『堅苦しい』,不自然な,ぎごちない / (刑罰・要求などが)『厳しい』 / (値段などが)法外な / 困難な,骨の折れる / (半固体物質が)堅練りの / (機械などが)なめらかに動かない / (風・流れなどが)力強い,激しい / 《話》(アルコール分・薬効などの)強い / 死体 / 堅苦しいやつ / (一般に)人,やつ(person) / 全く,ひどく
stiff-arm	〈相手〉を腕を張って押しのける,突き飛ばす / 腕で押しのけること
stiff-necked	首が痛くて曲がらない / 手に負えない,がん固な,強情な
stiffen	…を堅くする / …を硬直させる,こわばらせる;〈体など〉を麻痺させる / 堅くなる / 硬直する / (態度などが)よそよそしくなる
stiffener	堅くする人(物);(表紙・えりなどの)芯(しん);〈U〉補強材
stiffening	(のり・にかわなど)固める物
stiffly	堅く;硬直して;堅苦しく
stiffness	堅いこと;硬直;堅苦しいこと
stifle	…を『息苦しくさせる』,窒息させる / 〈あくび・笑い声など〉を『抑える』,抑制する / あくび(笑い声)をかみ殺す / …を『抑圧する』,もみ消す / 息苦しくなる;窒息する
stifling	窒息するような,息苦しい;窮屈な
stigma	汚名,恥辱 / 柱頭(めしべの頂) / 《複数形で》聖痕(せいこん)(はりつけにされたキリストの体の傷と類似した傷跡)
stigmatize,stigmatise	〈人〉に汚名をきせる,を非難する
stile	踏み段(かき・へいなどにつけて人だけ通して家畜を通れないようにしたもの) / 回転木戸(turnstile)
stiletto	短剣 / (刺しゅう・裁縫用の)目打ち
stiletto heel	スチレットヒール(婦人用の金属製の細く高いかかと[の靴])
still	『静止した』,じっとした,動かない;風のない / (場所などが)『静かな』,音を立てない,人が黙っている / …を沈黙させる,静かにする / 〈不安など〉を静める / 静かになる,静まる / 〈U〉静けさ / 〈C〉(映画の)スチール写真 / 『まだ』,なお,従来通り / 《比較級を強調して》『なおさら』,いっそう / 『それでも』,やはり / それにもかかわらず,しかしながら / 蒸留器;蒸留酒製造所
still life	(絵画などの題材としての)静物;〈C〉静物画
still-life	静物の;静物画の
stillbirth	死産;〈C〉死産児
stillborn	死んで生まれた,死産の
stillness	静けさ,静寂
stillroom	酒類蒸留室 / (大邸宅の)食料品貯蔵室
stilly	静かな
stilt	《複数形で》竹馬 / セイタカシギ(水辺の鳥)
stilted	(文体など)誇張した,大げさな;堅苦しい
stimulant	刺激[するもの] / 興奮性飲食物
stimulate	…を『刺激する』,励ます,元気づける / 刺激[剤]となる
stimulating	刺激する;激励する,元気づける
stimulation	刺激,興奮;激励
stimuli	stimulusの複数形
stimulus	刺激[するもの]
sting	〈動植物が〉(針・とげなどで)…を『刺す』 / 〈神・舌など〉を『ひりひりさせる』,ちくちくさせる / 〈人〉の『心を苦しめる』 / 〈人〉を刺激して(…)させる,駆りたてて(…)させる《+『名』+『to』(『into』)+『名』(do『ing』)》 / 《俗》(…という大金を)〈人〉からだまし取る,ぼる,《+『名』〈人〉+『for』+『名』》 / 〈ハチなどが〉『刺す』 / 〈体の一部が〉刺すように痛む / 〈香辛料などが〉ひりひりした味がする / 苦しむ,いらいらする;〈つらい事などが〉心を苦しめる / 〈C〉『刺すこと』 / 〈C〉〈U〉『刺し傷』,刺された痛み / 〈C〉〈U〉(心・体の)激しい痛み / 〈C〉皮肉,あてこすり / 〈C〉(ハチなどの)針,(ヘビなどの)毒牙,(バラなどの)とげ
stinger	刺すもの(特に動植物);針,けん,とげ / 《話》痛打,痛撃
stingily	けちけちして
stinginess	けち,しみったれ,物惜しみ
stingo	強いビール
stingray	アカエイ(尾にとげのある魚で刺されると激痛を起こす)
stingy	けちな,しみったれの;(…を)出し惜しみする《+『with』(『of』)+『名』》 / 乏しい,わずかな
stink	悪臭を放つ;(…で)臭い《+『of』+『名』》 / 《話》鼻持ちならない,ひどく評判が悪い / 《話》非常に劣っている / 〈場所など〉をいやな臭いにする《+『up』+『名』》 / 悪臭 / 《米話》騒動,物議
stinking	悪臭を放つ,いやなにおいのする / 《俗》実にいやな,ひどい / 非常に,たいへん
stint	…を惜しむ,切り詰める;…を制限する / (…を)出し惜しみする《+『on』+『名』》 / 〈U〉惜しむこと,制限,節約 / 〈C〉割り当て仕事
stipend	(特に聖職者などの)給料,俸給(ほうきゅう) / (学生の)奨学金,給費
