stolid	ぼんやりした,鈍感な
stolidity	鈍感,無神経
stoma	気孔(葉・茎の表皮にあって気体の出入りに役立つ小さな穴)
stomach	〈C〉『胃』 / 〈C〉《話》『腹』,腹部(abdomen) / 〈U〉《しばしばa~》(…に対する)食欲《+『for』+『名』》 / 〈U〉《+『for』+『名』》・腹に入れる; 食べる, 消化する; 何とか我慢して飲み下す; (侮辱などを)がまんする
stomach pump	胃ポンプ,胃洗浄器
stomachache	『腹痛』,胃痛
stomacher	(昔の婦人用)胸飾り(宝石や刺しゅう飾りがある)
stomachful	(…の)(うんざりするほどの)胃(腹)一杯[分]《+『of』+『名』》
stomata	stomaの複数形
stomp	〈床・地面など〉を踏みつける / (力を込めて)〈足〉を踏みおろす / (力を込めて)踏みつける / ストンプ(力強いリズムとテンポの早い初期のジャズおよびそのダンス)
stone	〈U〉(物質としての)『石』,石材 / 〈C〉『小石』,岩石の小片 / 〈C〉《複合語を作って》(特定の目的に用いる)石材 / =precious stone / 〈C〉(形・堅さが)石に似たもの(あられなど) / 〈C〉(腎臓・膀胱(ぼうこう)などの)結石 / 〈C〉(果実の)種,核 / 〈C〉《英》(体重を表す重量単位の)ストーン(14ポンド(約5.35キログラム)に相当) / 『石造りの』,石の・石器製の / …に石を投げる,石を投げて殺す / …に石を取り付ける(張る,敷く),沿って石を並べる / 〈果実〉の種を取る
stone fruit	核果,石果(桃・梅など堅い内果皮のある果実)
stone less	(果実が)種のない
stone-blind	全く目の見えない
stone-deaf	全く耳が聞こえない
stonebreaker	砕石機,砕石職人
stonecutter	石工,石切り工;石切り機
stoned	酔った・マリファナを吸ってうっとりとした
stonemason	石工,石屋
stonewall	(クリケットで)慎重に球を打つ / 議事の妨害をする / (討議を長びかせたりして)〈議事など〉を妨害する
stoneware	炻器(せつき)(粘土製の堅い粗末な磁器の一種)
stonework	〈C〉石造物の集合 / 〈C〉石工場
stonily	石のように / 冷酷に
stony	『石の』,石の多い / 石のように堅い / 無情な,冷酷な,無表情な
stony-broke	一文なしの,すっからかんの = stone-broke = flat-ass-broke
stood	standの過去・過去分詞
stooge	(喜劇役者の)引き立て役,相手役,ぼけ役 / (一般に)引き立て役,だまされやすい人 / (…の)引き立て役をつとめる《+『for』+『名』》 / 《英俗》(あてもなく)ぶらぶらする;〈パイロットが〉飛び回る,旋回する《+『about』(『around』)》
stool	(ひじ掛け・背のない)『腰掛け』,スツール / 足台,ひざつき台 / 大便
stoolpigeon	おとりに使うハト / 《俗》(警察への)密告者,いぬ
stoop	『前かがみになる』 / 『前かがみである』,腰が曲がっている / 『身を落とす』 / 〈頭・背など〉をかがめる,曲げる / 前かがみ[の姿勢],ねこ背,腰の曲がり / 玄関口の階段
stop	〈動いているもの〉を『止める』 / 〈供給など〉を停止する / …を阻止する,やめさせる / 〈自分がしていること〉を『やめる』,中断する / 〈穴・口など〉をふさぐ,〈びんなど〉にせんをする / 〈相手の一撃など〉をかわす;〈相手〉を打ち負かす,ノックアウトする / 〈楽器の弦・穴〉を指で押さえる,〈音〉を指で押さえて出す / 〈動いているものが〉『止まる』,停止する,立ち止まる / 〈仕事・話などが〉『中断する』;〈雨などが〉やむ / 〈人が〉仕事(話など)をやめる,手を休める,一息つく / 《話》(…に)滞在する,とどまる《+『at』+『名』〈場所〉『,』+『with』+『名』〈人〉》 / 『止まること』,停止,中止,中断 / (旅先での)短期間の滞在,立ち寄り / (道路の)停留所 / (穴などを)ふさぐこと…(びんなどの)せん / (パイプオルガンなどの)ストップ,音栓 / 句読点,(特に)終止符 / (レンズの)絞り / 閉鎖音([p][b][k]など)
stopcock	コックのせん(turncock)
stopgap	一時のまにあわせの物(方法),当座しのぎ;代理[人] / 一時しのぎの,間に合わせの
stopgo	=stop-goストップゴーの政策(経済の拡大と引締めを交互に繰り返す財政政策) / ストップゴーの政策の
stoplight	《米》=traffic light / (自動車の)ブレーキランプ
stopover	旅行途上の短期滞在;立ち寄り先;途中下車
stoppage	中止,休止 / せき止める物,障害物 / 支払い停止 / 休業,スト
stopper	止める人(物) / (びん・パイプなどの)せん / …にせんをする,せんをつける
stopping	詰めること(もの)
stopple	(びんなどの)せん,詰め(stopper) / …に栓(詰め)をする
stoppress	= stop-press輪転機を止めてさし入れた最新記事,締め切り後の重大ニュース.
stopwatch	ストップウォッチ
storage	(倉庫などに)貯蔵すること,保管 / 貯蔵所,倉庫 / 保管料
storage battery	蓄電池;蓄電装置
store	〈C〉《おもに米》[小売]『店』,商店(《英》shop) / 〈C〉(…の)『蓄え』,貯蔵《+『of』+『名』》 / 〈C〉多量,多数,たくさん(の…)《+『of』+『名』》 / 《複数形で》必需品,備品,用品 / 〈C〉倉庫,貯蔵所 / (将来のために)…を『蓄える』《+『up』+『名』》 / …を『倉庫に保管する』 / (…を)〈ある場所など〉に供給する,用意する《+『名』〈場所〉+『with』+『名』》
storefront	商店の正面,店先,店頭
storehouse	倉庫;(知識などの)宝庫
storekeeper	店の経営者,店主(shopkeeper)
storeroom	貯蔵室,納戸(なんど)
storey	=story (家・建物の)階 階層
storeyed	=storied
storied	物語(伝説)に記された(で有名な)
storied,storeyed	「…階の」の意を表す
stork	コウノトリ
storm	『あらし』,暴風[雨],荒天 / (感情・言動などの)『あらし』,激発《+『of』+『名』》 / (一般に)激動,波乱,騒動 / (弾丸などが)雨あられと飛ぶこと《+『of』+『名』》 / 《itを主語にして》〈天候が〉『荒れる』 / 猛然と突進する;激しく怒る / …を強襲する,急襲する
storm center	暴風雨の中心,台風の目 / 騒動(もめ事など)の中心[人物]
storm cloud	あらし雲,しけ雲 / 《複数形で》(動乱などの)前兆
storm lantern	風防つきランプ
storm window	防風窓(あらしに備えて,普通の窓の外側にもう一枚余分につける窓)
stormbound	暴風(豪雪)に閉じ込められた,あらしで立ち往生の
stormily	あらしのように,激しく
stormy	『あらしの』,暴風雨の,あらしになりそうな / (感情・言動が)『激しい』
stormy petrel	ウミツバメ(大西洋・地中海に生息する鳥) / 紛争(もめ事)を引き起こす人
story	〈C〉(事実に基づいた)『話』,実話 / 〈C〉(架空の,人を楽しませる)『物語』,話 / 〈U〉(小説,詩,劇,映画などの)筋,プロット / 〈C〉(新聞などの)記事,事件の報道 / 〈C〉(ある人の言う)言葉,申し立て / 〈C〉《話》《子供が,また子供に対して用いる》うそ(lie)
story,storey	(建物の)『階』 / 《集合的に》同じ階の部屋全部
storybook	物語本,童話本 / (童話の結びのように)めでたしめでたしの
storyline	(映画・小説・劇などの)筋,構想(plot)
storyteller	物語をする人,物語作家 / (特に子供の)うそつき(liar)
stoup	聖水盤(教会堂の入口にあり,出入りの際指を浸して十字を切る)
stout	(物の造作が)『じょうぶな』,がんじょうな,強い(strong) / 勇敢な(brave);断固として / (人が)『でっぷりした』,ずんぐりした / (強い)黒ビール,スタウト
stouthearted	雄々しい,勇敢な
stove	『ストーブ』,暖炉 / 『料理用レンジ』(cooker) / staveの過去・過去分詞
stovepipe	ストーブの煙突 / 《話》シルクハット
stow	(場所・入れ物に)…をしまい込む,詰め込む《+『away』+『名』+『in』(『into』)+『名』》 / (…を)〈場所・入れ物〉にしまう,詰め込む《+『名』+『with』+『名』》
stowage	積み込み / 積み込みの余地 / 荷積み料
stowaway	密航者
strabismus	斜視,やぶにらみ
straddle	…にまたがる:straddle a horse(bicycle, chair)馬(自転車,いす)にまたがる / 〈ある問題〉にどっちつかずの態度をとる,ひより見する / 〈両脚〉を広げる / 両脚を広げて座る(立つ,歩く) / どっちつかずの態度をとる / 〈両脚が〉大きく開いている / またがること / ひより見
strafe	(飛行機から)…を機銃掃射する
straggle	《副詞[句]を伴って》ばらばらに広がる,散在する;ばらばらに行く(来る) / (行進などで)本隊からはぐれる;進路からそれる
