string band	弦楽団
string bean	《米》サヤインゲン,サヤエンドウ(《英》runner bean)
stringed	弦のある;《複合語を作って》;弦の
stringed instrument	弦楽器
stringency	(規則などの)厳格さ,厳重さ / (金融界の)切迫,金詰まり / (議論などの)説得力,もっともらしさ
stringent	(規則などが)厳しい,厳格な(strict) / (金融市場などが)金詰まりの,ひっ迫した
stringer	糸(ひも,弦)を張る人(物) / (漁夫・釣り人が用いる)魚をつるすひも / (建築の)水平材,横梁,(船の)けた・非常勤地方通信員・〔米〕…クラス[級,軍]の選手
stringiness	繊維状になっていること;糸をひいた状態
stringy	糸のような,細い / 繊維質の,筋の多い
strip	…を『裸にする』;(…を)…からはぎ取って裸にする《+名+of+名》 / (…から)…を『取り去る』,はぎ取る《+名+off(+off+名)+from+名》 / (権利・栄誉・持と物などを)〈人など〉から『奪う』,剥奪する《+名〈人〉+of+名》 / 〈ボルト・ギア・ねじなど〉のねじ山をすり減らす / 服を脱ぐ,裸になる《+off》 / (布・板・土地などの)『細長い一片』《+of+名》 / (飛行機の)滑走路(airstrip) / =comic strip
strip cartoon	=comic strip
strip lighting	線型照明(数個連ねた棒状蛍光灯による照明)
strip mine	露天鉱山
stripe	『筋,しま』 / 《複数形で》(軍服のそでにつける)記章,そで章(階級・勤続年数などを表す) / むち打ち / …にしまをつける
striped	筋のはいった,しまの模様の
stripling	青年,若者
striptease	ストリップショー
stripy	筋(しま)のある
strive	『大いに努力する』,励む / (…と)『戦う』,(…に)抵抗する《+against+『名』》
striven	striveの過去分詞
striver	努力する人,戦う人
strobe	=stroboscope
stroboscope	ストロボスコープ(断続的に光をあてて急速な回転や振動を続ける物体を観察する装置)
strode	strideの過去
