stuntman	スタントマン(映画などで危険な場面の代役をする人;女性はstunt woman)
stupefaction	感覚(知覚)を麻痺させること / 正気を失った状態,仰天,ぼう然自失
stupefy	…の感覚(知覚)を麻痺(まひ)させること / …を仰天させる,ぼう然とさせる(astound)
stupendous	びっくりするような,すばらしい,巨大な
stupid	(人が)『ばかな』,愚かな / (言葉などが)『ばかな』,愚かな,非常識な / (物事が)おもしろくない,たいくつな
stupidity	〈U〉愚かさ, 愚鈍
stupidly	愚かに[も]
stupor	意識もうろうの状態,ぼうっとした状態
sturdily	たくましく;がんじょうに;がん強に
sturdiness	たくましさ;がんじょう;がん強
sturdy	『たくましい』,強壮な(strong and firm) / 容易に屈しない,不屈の / がんじょうに建てられた,がっしりした
sturgeon	チョウザメ(この魚の卵が珍味とされる caviar)
stutter	どもる,口ごもる,どもりながら言う / …をどもりながら言う / どもり,口ごもり
stutterer	どもる人,口ごもる人
stutteringly	どもりながら
sty	豚小屋(=pigsty) / 汚い(不潔な)場所
sty,stye	(目にできる)ものもらい,麦粒腫(ばくりゅうしゅ)
style	〈C〉〈U〉(服装などの)『流行[型]』,スタイル / 〈C〉(衣服・物腰・ふん囲気などの)優雅さ,上品 / 〈C〉〈U〉(個人・集団・時代などに特有の)『様式』,型;文体,口調 / 〈C〉(商品などの)種類,形式 / 〈C〉称号,肩書き,呼び名 / 〈C〉鉄筆(stylus) / 〈C〉(植物の)花柱 / 〈U〉〈C〉印刷様式,体裁 / 〈服装・家具など〉を流行に合わせてデザインする(作る) / (特定の印刷様式に合わせるため)〈原稿など〉に手を加える / 《style+名+名〈補〉》(…と)…を呼ぶ,称する
styler	整髪用電気器具
styli	stylusの複数形
stylish	流行の,流行に合った;いきな
stylist	文章家,名文家 / 《複合語を作って》スタイリスト(服飾・室内装飾などのデザインやアドバイスをする人)
stylistic	文体の,文体論の;様式の
stylistically	文体上,文体的に;様式上
stylistics	文体論
stylize,stylise	〈芸術作品など〉を特定の様式に合わせる,様式化する
stylus	尖(せん)筆;(製図,エッチングなどの)鉄筆 / (レコードプレーヤーの)演奏用針
stymie	(ゴルフの)スタイミー(相手のボールが自分のボールとホール線上にある状態) / 〈相手・ボール・自分〉をスタイミーの位置にする / …のじゃまをする,妨害する
styptic	血止めの / (みょうばんなどの)止血剤
styrene	スチレン,スチロール(合成ゴムの原料)
suasion	勧告,説得
suave	(内心はともかく表面上は)人当たりのよい,もの柔らかな
suavity	(表面上の)人当たりのよさ,もの柔らかさ;《複数形で》もの柔らかな態度(言葉)
sub	=submarine / (おもにスポーツで)=substitute / =subordinate / 《英》=sublieutenant / =subeditor / 《英》給料の前払い分 / (…の)代役を勤める,代りとなる《+for+名》 / 《英》給料を前借り(前貸し)する / 〈給料〉を前借り(前貸し)する
sub judice	(訴訟事件などが)審理中で,未決で
sub marginal	限度以下の,最低基準以下の
sub rosa	秘密に,内密に,こっそりと
sub.	substitute / subscription / suburban
subaltern	《英》准大尉(captain(陸軍大尉)の下) / 下級(下位)の人 / 下級の,下位の
subatomic	亜原子の(原子より小さい電子・陽子など)
subatomic particle	=elementary particle
subcommittee	小委員会
subcompact	サブコンパクトカー(中型自動車(compact car)より一回り小さい車)
subconscious	潜在意識の,意識下の / ぼんやり意識している / 潜在意識
subcontinent	亜大陸(インド・グリーンランドなど)
subcontract	下請負,下請契約 / …の下請契約をする / 下請契約をする
subcontractor	下請人,下請契約者
subculture	(同一社会内の)異文化集団
subcutaneous	皮下の
subdebutante	まだ社交界に出ない少女
subdivide	…を[さらに](…に)細分化する《+名+into+名》 / [さらに]分かれる
subdivision	[再]区分,細分;〈C〉(細分した)一部分
subdue	…を『抑制する』 / …を『征服する』,に打ち勝つ / 〈光・色・音など〉を『和らげる』,弱める
subdued	(光・音・動きなどの強さが)抑えられた,和らげられた / (いつになく)おとなして,静かな
subedit	{動}《英》(原稿などを)校閲・編集する
subeditor	副主筆,編集次長
subheading	(新聞などの)小見出し
subhuman	人間以下の,(人間よりは)動物に近い / 人間に近い,類人の
subj.	subject / subjective
subject	(思考・議論・研究などの)『主題』,問題,議題,話題《+of+名》 / 『科目』,教科,学科 / (文法で)『主語』,主部 / 臣下,家来;(特に君主国の)国民,臣民 / (批判・実験などの)対象となる人(物) / (楽曲,特にフーガの)主題 / 『支配を受ける』,従属する / 《補語にのみ用いて》《be subject to+名》(…を)『受けやすい』,(…に)かかりやすい / 《補語にのみ用いて》《be subject to+名》(…に)『頼っている』,(…を)条件とする / (…に)〈国・人など〉を『従わせる』《+名+to+名》 / 〈人・物など〉に(いやなことなどを)『受けさせる』,経験させる《+名+to+名》
subject matter	(演説・書物・芸術などの)主題
subjection	(…を)支配すること,(…の)征服《+of+名》 / 支配されること,服従
subjective	(思想や感情が)主観的な,主観による / (芸術や芸術家が)主観的に表現する / (文法で)主格の
subjective case	(文法で)主格
subjectively	主観的に
subjectivity	主観性
subjoin	〈文など〉を追加する,終わりに付け加える《+名+to+名》
subjugate	…を支配下(統治下)に置く,征服する,制圧する
subjugation	征服,支配;服従
subjunctive	(文法で)仮定法の,叙想法の / 仮定法,叙想法(確かな事実ではなく,不確実なこと・願望・事実に反する仮定などを表す動詞の法) / 〈C〉仮定(叙想)法の動詞
sublease	(家・土地などの)また貸し / …をまた貸し(借り)する
sublet	〈家・土地など〉をまた貸しする(sublease) / 〈請負仕事の一部〉を下請けに出す,下請けさせる
sublieutenant	海軍中尉
sublimate	〈衝動〉を昇華させる(高尚を目標に転化する) / 〈固体〉を昇華させる / 《古》…を洗練(純化)する / 昇華した / (化学で)昇華物
sublimation	昇華,昇華作用
sublime	『高尚な』,気品のある,高潔な / 壮大な,雄大な,荘厳な / 《名詞の前にのみ用いて》《話》とほうもない,すごい / 高尚(雄大)なもの / (化学で)〈他〉を昇華させる / 昇華する
subliminal	意識下の,潜在意識の
sublimity	〈U〉荘厳さ,崇高さ;壮大さ,雄大さ / 〈C〉崇高な人
sublunary	月下の / 地球上の,この世の
submachine gun	小型軽機関銃(肩または腰にかまえて発射される自動式または半自動式の小銃)
submarine	『潜水艦』 / 『海面下の』
submarine pen	潜水艦待避所
submariner	潜水艦乗組員
submerge	…を水中に沈める,浸す / …を消し去る,おおい隠す / 水中にもぐる(没する)
submergence	水中に沈めること,水没,浸水
submerse	=submerge
submersible	水中に沈められる;水中用の / 潜航(潜水)できる / 潜水艦
submersion	=submergence
submicroscopic	(顕微鏡では見えないほど)極微小の
subminiature	超小型カメラ / 超小型カメラの / (電子装置の部品などが)超小型の
submission	服従,屈服,降伏 / 従順 / (考慮・決定を求めて書類などの)提出,提示《+of+名》
submissive	従順な
submit	(…に)『屈服する』,服従(降伏)する《+to+名(doing)》 / (…に)〈書類など〉を『提出する』《+名+to+名》 / 《submit+that節》〈弁護士などが〉…と意見を述べる,主張する
subnormal	普通(平均)以下の;(知能)が水準以下の,劣っている
suborbital	(人工衛星などが)軌道をはずれた,軌道に乗らない 眼窩下軟骨
subordinate	(…より)『下位の』,下級の《+to+名》 / 『従属的な』,捕助的な / 従属する人(物);部下,属官 / (…より)…を下位におく,(…に)…を従属させる《+名+to+名》
subordinate clause	(文法で)従属節,従節(dependent clause)
subordinate conjunction	(文法で)従位(従属)接続詞(従属節を導く語;that,if,whenなど)
subordination	(…より)下位に置くこと;(…への)従属,服従《+to+名》
suborn	〈人〉を教唆する,買収する / (金などを使って)〈人,特に証人〉に偽証させる
