subornation	教唆,買収 / (法廷における)偽証教唆
subplot	わき筋(戯曲・小説などで,中心となる筋に付随する筋)
subpoena, subpena	(法廷への)召喚状,呼び出し状 / …を召喚する,呼び出す
subscribe	(雑誌・切符などを)『予約する』《+to(for)+名》 / (…に)『寄付(出資)を約束する』,寄付(出資)する《+to(for)+名》,(…を)寄付する《+for+名》 / (書類などの終りに)署名する《+to+名》 / (…に)同意する,賛成する《+to+名》 / (…に)〈金〉の寄付(支払い)を約束する,を寄付する,支払う《+名+to(for)+名》 / 〈書類〉に署名する;〈自分の名前〉を書く(sign)
subscriber	予約者,定期講読者 / 寄付者,出資者 / (契約書,証明書などの)署名者 / 同意者
subscript	(A2Oの2のような)下つき文字(数字,記号)(inferior) / (文字など)下つきの
subscription	〈U〉(雑誌・切符などの)『予約』;(慈善事業などへの)寄付申込み《+to+名》 / 〈C〉(…への)『寄付金』,〈U〉寄付《+to+名》 / 〈C〉(募金によって集められた)資金,寄金 / 〈C〉《話》署名
subsequence	〈U〉続いていること,続いて起こること / 〈C〉続き,結果
subsequent	(時間・順序,位置などについて)『後の』,次の,(結果として)続いて起こる
subsequently	後て,次に,続いて,結果として
subservience	追従,従属 / 卑屈,へつらい / 役立つこと,貢献
subservient	卑屈な,こびへつらう;(…に)こびる《+to+名》 / 役立つ,重要な;(…に)役立つ《+to+名》
subset	(一組・一団などの一部を成す)小さな一組 / (数学の集合論で)部分集合
subside	〈洪水などが〉引く;〈建物,土地などが〉沈む,落ちこむ / 量が減る,勢いが弱まる / 《話》ぐったりと腰をおろす,沈みこむ
subsidence	沈下・減退,鎮静
subsidiary	補助の / 従属的な,二次的な / 助成金(補助金)の(による) / 補助物(者);付属物 / 子会社
subsidization,subsisation	補助金(助成金)交付
subsidize, subsidise	…に補助金(奨励金)を与える
subsidy	(国家・団体などの)補助金,助成金,奨励金
subsist	(特に,収入・食料が乏しいときに)(…に頼って)生きていく,暮らしていく《+on+名(doing)》;(…して)生きていく《+by doing》 / いまだに存在する,残っている
subsistence	生きていくこと,生活;暮らし,生計
subsistence crop	自家用農作物
subsoil	心土,底土(地表のすぐ下にある地層)
subsonic	亜音速の,音速以下の
subspecies	(生物分類学上の)亜種
subspecific	亜種の
subst.	substantive / substantively / substitute
substance	〈U〉『物質』,物 / 〈U〉《the~》(…の)『趣旨』,本音《+of+名》 / 〈U〉(スープなどの)濃さ,こく,中身[の詰まっていること] / 〈U〉『実質』,実 / 〈U〉《古》財産,資産
substandard	標準以下の,規格はずれの / (言語が)標準語以下の(俗語,卑語などのこと)
