supersonics	超音速学
superstar	(芸能・スポーツでの)スーパースター,超花形選手
superstition	『迷信』;〈C〉迷信的習慣(行為)
superstitious	迷信的な,迷信ぶかい
superstructure	(思想・体系など)ある基礎にもとづいて構成されたもの,上部構造;(建築・艦船などで土台・上甲板などより上の)上層建築
supervene	続いて起こる,付随して起こる / …に続いて起こる,付随して起こる
supervise	〈労働者・仕事など〉を監督する,管理する / 監督(管理)する
supervision	(…の)監督,管理,指揮《+of+名》
supervisor	監督者,管理人
supervisory	監督[者]の,管理[者]の
supine	あおむけに寝た / 怠惰な,無精な
supp.	supplement / supplementary
supper	『夕食』(一般に一日の最後にとる食事);(夜遅くとる)夜食,軽食 / 夕食のでる社交的集会,夕食会
supperless	夕食抜きの
supplant	…に取って代わる,…の地位を奪う
supplanter	取って代わる人(物)
supple	(物・身体などが)柔軟な,しなやかな / (人・心が)順応性のある,柔軟な
supplement	『補足』,追加 / 『増補』,補遺,(雑誌などの)付録 / (…で)…を補う《+名+with(by)+名(doing)》;…に増補(補遺,付録)をつける
supplemental	=supplementary
supplementary	補足の,追加の,付録の;(…を)補う《+to+名》
supplementary angles	補角(和が180°になる二つの角の関係)
supplementary benefit	(英国の社会保障制度による)補助給付金
suppliant	嘆願者,懇願者 / 嘆願する,懇願する
supplicant	嘆願する,懇願する / 嘆願者,懇願者
supplicate	…を嘆願する,懇願する / 〈神・人〉に嘆願する,懇願する / (…を)嘆願する《+for+名》
supplication	嘆願,懇願
supplier	(特に物資の)供給者,補充者
supply	(…に)〈不足物・必要物〉を『供給する』,与える《+名+to(for)+名》 / (不足物・必要物を)〈人・物〉に『供給する』《+名+with+名》;(…に)…を供給する《+名+to+名》 / 〈損害・不足など〉を補う,埋め合わせる,〈必要など〉を満たす / 〈U〉(…の)『供給』,支給《+of+名》 / 〈C〉《単数形で》(…の)『供給量』,在庫量,蓄え《+of+名》 / 《複数形で》(軍隊・探検隊などの)糧食,補給品 / 〈U〉(需要に対する)供給 / 《複数形で》必要品 / しなやかに,柔軟に
supply teacher	臨時教員
support	…を『支える』 / 〈家族など〉を『養う』,扶養する / 〈人・主義など〉を『支持する』,擁護する / (精神的に)〈人〉を力づける;(金銭的に)〈人〉を援助する / 〈見解など〉を立証する,裏書きする / …に耐える,がまんする / 〈U〉(…を)『支えること』,(…の)支持,援助《+of+名》 / 〈U〉(重さを支える)支柱,突っ張り / 〈C〉『扶養する人』;〈U〉生活費 / 〈U〉(精神的)支え,(経済的)援助
supportable	支えられる,支持できる;扶養できる,援助できる;勘忍できる
supporter	支持者,後援者;支え,支える物 / 扶養する人 / (運動選手が使う)サポーター
supporting part	(劇などの)わき役
supporting programme	(上映する映画に添える)短編映画(芝居などの)余り重要でない場
supportive	支える;維持する;扶養する
suppose	(議論のために)…と『仮定する』,考えてみる;…であるとする / …と『思う』,信じる,想像する / 《suppose+名+to do》《受動態で》(規則・義務・責任などにより)(…することを)〈人〉に予期する,条件づける / 〈物事が〉…を『前提[条件]にする』,必要条件とする,想定する
supposed	想像上の,推定上の,(誤って)そう考えられた
supposedly	想像上,おそらく
supposing	『もし…ならば』
supposition	〈U〉想像,仮定 / 〈C〉想定,憶測;(…という)仮定《+that 節》
suppository	座薬
suppress	〈反乱など〉を『鎮圧する』,…の活動を押える / 〈感情・欲望など〉を『抑制する』,抑える / …の発表を禁止する,伏せる
suppressant	抑制剤
suppression	(反乱などの)鎮圧;(感情・欲望などの)抑制;(活動の)制限;(発表の)禁止《+of+名》
suppressive	抑圧する,抑制する;禁止する
suppressor	抑圧する人,鎮圧者 / (ラジオ・テレビの)妨害電波(混信)防止装置
suppurate	〈傷が〉うむ,化膿する
suppuration	うみ,化膿
supra	上に(above) / (書物の)前の方に
supranational	超国家的な
supremacist	至上主義者(特定集団の優秀性を信じる人)
supremacy	最高,至上 / 主権;支配権,覇権
supreme	『最高位(権威)の』 / (程度・質が)『最高の』,最大の / できる限りの
supt.	superintendent
supvr.	supervisor
surcharge	追加料金,積み増し金 / (荷物などの)積み過ぎ / (郵便物に印刷された切手の)訂正金額 / 〈人〉に(…の)不足額を払わせる《+名〈人〉+on+名》 / 〈荷物〉を積み過ぎる(overload) / …に訂正金額を印刷する
surcingle	(馬の)上腹帯 / (法衣)帯
surcoat	(中世騎士のよろいの上に着る)陣羽織
surd	無理数(ルート3など)
sure	《補語にのみ用いて》(人が)『確信して』,自信をもって / 《補語にのみ用いて》(物事が)『確実な』 / (物事が)『確固とした』,確実な / (人が)『信頼のおける』,安心のできる / 確かに,全く / (返答で)いいとも,もちろん(certainly)
sure thing	《話》確実に起ること;確実にもうかるもの / 《米話》《間投詞的に》もちろん,よろしい
surefire	確かな,成功疑いなしの
surefooted	=footsure = sure-footed 足元の確かな 転ばない 確かな 着実な
surely	『確かに』,疑いもなく / 《否定文で用いて》まさか,よもや;《強意に用いて》きっと,絶対に / 着実に,安全に / 《おもに米》(返答で)いいとも,もちろん(certainly)
sureness	確実;確信;安全
surety	〈U〉確実,確かさ(certainty) / 〈U〉(出廷の)保証金;〈C〉保証人(物),身元引受人
surf	(海岸・岩に砕ける)寄せ波,岸打つ波 / (砕ける波の)白いあわ / 波乗りをする,サーフィンする / 投げ釣りの
surface	(物の)表面,外面;水面 / 《比喩的に》『うわべ』,見かけ / 『表面(水面)の,』表面(水面)に関する / 《比喩的に》『うわべだけの,』見かけだけの / 陸(水)上輸送の / (沈んでいたものが)表面に浮上する;《話》《おどけて》(寝ていた人が)起きる / (…で)…に表面をつける,〈道路〉を舗装する《+名+with+名》
surface mail	普通郵便,陸上便,船便
surface-to-air	(ミサイルなどが)地対空の
surfboard	波乗り板,サーフボード / 波乗りをする,サーフィンをする
surfboat	荒波乗り切り用の船,磯船
surfeit	(…で)〈人〉を食傷させる,うんざりさせる《+名〈人〉+with+名》 / (…の)過多,はんらん《+of+名》 / 食べ過ぎ,食傷 / あきあき(うんざり)すること
surfer	波乗りをする人
surfing	波乗り,サーフィン
surg	surgeon / surgery / surgical
surge	波のように押し寄せる,殺到する / 〈感情が〉こみあげる《+up》 / 急増する,〈株などが〉急騰する / (…が)押し寄せること,(…の)襲来,殺到《+of+名》 / (感情の)高まり,急増,急騰
surgeon	『外科医』 / 軍医
surgery	〈U〉外科医術 / 〈U〉手術 / 〈C〉診察室 / 〈U〉診察時間
surgical	外科の;手術用の / 《名詞の前にのみ用いて》(衣服などが)整形用の
surgical spirt	(傷口などをふく)消毒用アルコール
surlily	不きげんに,無愛想に
surly	(人・行為などが)不きげんな,無愛想な
surmise	…を『推測する』,推量する / 推測する,推量する / 『推測』,推量
surmount	〈困難・障害など〉に打ち勝つ,を克服する / …を乗り越える,(登って)越える / 《しばしば受動態で》…の上に存在する
surmountable	(困難・障害などが)克服できる;乗り越えられる
surname	姓,名字(family name, last name) / 《古》あだ名(nickname) / 〈人〉に名字をつける
surpass	(能力などが)…より『優れている』 / (量,程度が)…の『限界を越える』
surpassing	並みはずれた,卓越した
surplice	サープリス(聖職者,聖歌隊などが着る,そでの広い長い白の法衣)
surplus	余り,余剰 / 剰余金 / 余った,過剰の
