surreptitious	こそこそと行われる(行う)
surrey	《米》サリー(2座席4人乗りの遊覧用の屋根つき四輪馬車)
surrogate	(…の)代理人;代用品《+of(for)+名》 / 《米》(ある州での)遺言検認判事
surround	…を『囲む』,取り巻く / (…で)…に『囲いをする』《+名+with+名》 / (窓回りなどの)装飾的な枠取り;(じゅうたんと壁との間の)ほり敷物 / (ある区域・範囲を)取り囲む物
surrounding	『囲む』,周囲の,付近の
surroundings	(人を取り巻く自然の)『環境』
surtax	所得税,付加税
surtout	(フロックコート型の)男子用外とう;婦人用フード付きマント シュルトウ 部分的に他の紋章と重なる
surv.	survey / surveying / surveyor
surveillance	(特に容疑者・囚人などの)監視,見張り / 監督,指揮
survey	(全体的に)〈景色など〉を『見渡す』,〈情勢など〉を『概観する』 / (状態・価値などを確かめるため評細に)…を『調査する』,検分する / 〈土地〉を『測量する』 / 土地を測量する / 〈C〉〈U〉(…の)(詳細な)『調査』,検分《+of+名》 / 〈C〉(…を)『見渡すこと』,(…の)概観《+of+名》 / 〈C〉〈U〉(土地の)測量 / 〈C〉測量図
surveying	測量;測量学;測量の職員
surveyor	測量技師;建築物鑑定士;《しばしば Surveyor》検査官
survival	〈U〉(…が)生き残ること,(…の)生存,残存《+of+名》 / 〈C〉生存者,残存者;残存物,遺物
survival kit	救命用具(緊急時に必要な衣服・食糧・薬品など)
survive	…の後まで生きる, …より長生きする; 助かる; 耐える・生き残る; 残存する
survivor	生存者
susceptibility	〈U〉(…に)(感染し)やすいこと,敏感《+to+名》 / 《複数形で》(傷つきやすい)感情
susceptible	《名詞の前のみ用いて》感じやすい,多感な / 《補語にのみ用いて》《be susceptible to+名》 / 《補語にのみ用いて》《be susceptible of+名》
suspect	…らしいと思う,の気配を感じる / 〈人〉を『疑う』,に嫌疑をかける / (否定的な疑い)〈物事〉を『怪しいと思う』,疑う,信用しない / 《話》…と思う / 怪しいと疑う / 〈C〉容疑者 / 怪しい,疑わしい
suspected	疑われている
suspend	(…から)…を『つるす』,ぶら下げる《+名+from+名》 / 《受動態で》(つるしたように,空中・水中などに)…を静止させる,浮かせる / 〈法律・免状などの〉効力を当分停止する;…を一時止める / 《受動態で》〈人〉を停学(停職,出場停止)にする / 一時的に中止(停止)する
suspender	《複数形で》《米》ズボンつり,サスペンダー(《英》braces) / 《複数形で》《英》ガーター,靴下留め
suspender belt	(婦人用)靴下留め,ガーターベルト
suspense	未決定の(不確かな)状態 / (どうなるだろうかという)気がかり,不安,サスペンス
suspenseful	サスペンスに富む,はらはらさせる
suspension	〈U〉つるすこと,つるされた状態 / 〈U〉停学,停職;(法律・免状などの)一時停止,(判断などの)保留《+of+名》 / 〈C〉(液体の中に固体の微粒子のある)懸濁液;(液体・気体中の)浮遊物
suspension bridge	つり橋
suspensive	未決定の;不確かな / 不安な / 中止する,停止の
suspensory	(ひも・筋肉・包帯などが)懸垂式の / 中止の,停止の
suspicion	〈U〉〈C〉(…の)『疑い』,疑惑,嫌疑《+of+名》 / 〈C〉(…という)漠然とした感じ《that節》 / 〈U〉《しばしば a~》(…の)ほんの少し,気味《+of+名》
suspicious	(人物・話などが)『疑わしい』,怪しい / 疑い深い,人を疑う / 疑っている
suspiciously	疑い深く,うさんくさそうに;怪しげに,不審に
suspiciousness	疑惑,不審
sustain	…を『持続する』,続けてする / 〈人〉を『元気づける』 / 〈家族など〉を『養う』 / 《文》(物が下から)…を『支える』 / 〈損害・傷害など〉を『受ける』,こうむる / 〈苦難など〉に耐える,耐え抜く / (法的に)…を認める / …を立証する,確証する
sustained	持続した,一様の
sustenance	(養分としての)食物,栄養[物] / 生計,暮らし・扶養
sutler	(昔の)従軍商人,酒保商人(軍隊について歩いて品物を売る商人)
sutra	(仏教・バラモン教の)経典
suttee	〈U〉妻の殉死(昔インドで未亡人が夫の火葬の火の上に身を投じた風習から)
suture	〈U〉(傷口などの)縫合 / 〈C〉縫合糸;(傷口などの)縫い目
suzerain	(封建時代の)領主 / 宗主国(他国の外交に対して支配権を持つが,内政は許す)
suzerainty	宗主権;領主の地位(権力)
svc.,svce.	service
svelte	(特に女性が)ほっそりと美しい
svgs.	savings
swab	棒ぞうきん,モップ / (治療用・塗布用の)消毒綿;綿棒(耳かきなど) / …をモップで掃除する / (薬などを)…に綿棒で塗る
swaddle	…を包帯で巻く / (昔の風習で)〈赤ん坊〉を細長い布で包む / 細長い布;包帯
swaddling clothes	昔,新生児を包んだ細長い布
swag	《俗》略奪品,盗品 / 《オーストラリア》(放浪者の持ち歩く)身の回り品一式の入った袋
swage	型鉄 / …を型鉄で曲げる(型をつくる)
swagger	いばって歩く,ふんぞり返る / 自慢する(boast) / いばって歩く(ふんぞり返る)こと / 自慢すること
swaggerer	いばる人,ふんぞり返る人 / 《単数形で》いばった歩き方
swain	いなかの若者 / 恋人,求婚者
swallow	『ツバメ』 / 〈食物など〉を『飲み込む』 / 〈言葉など〉を取り消す / 〈感情など〉を表さない,抑える / …を我慢する / 《話》…をうのみにする / (特に,緊張して)つばを飲み込む / (…を)飲み込むこと《+of+名》 / (…の)一飲みする量《+of+名》
swallow dive	=swan dive
swallow-tailed	燕尾の;燕尾形の
swallow-tailed coat	〈C〉燕尾服(男子の正装)
swallowtail	〈C〉アゲハチョウ / 燕尾服の後ろの裾 / 燕尾旗 / ツバメの尾
swam	swimの過去
swami	ヒンズー教の学者(聖職者)(の尊称)
swamp	『沼沢地』,沼地,湿地 / 《しばしば受動態で》(困難なことや仕事などが)…に押し寄せる,を圧倒する / …を水浸しにする;〈船など〉を沈没させる / 圧倒される,窮地に陥る / 〈船〉が沈没する,浸水する
swamp fever	=malaria 1
swampy	沼地の,じめじめした
swan	『ハクチョウ』(白鳥),スワン / 《the S-》白鳥座 / ぶらりと出かける,気の向くまま旅に出る
swan dive	(飛び込みで)前飛び伸び型,スワン型飛び込み
swan's-down	白鳥の胸羽(化粧のパフに用いる) / 厚地のウール(綿)地
swank	〈U〉見せびらかし,気どり / 〈C〉きざな人,いばっている人 / いばって歩く(ふるまう),見せびらかす
swanky	いきな,しゃれた,いかす / きざな,もったいぶった
swansong	(白鳥が死ぬまぎわに歌うと想像された)美しい歌 / 《比喩的に》(詩人・音楽家などの)最後の作品
swap	《単数形で》(物と物の)交換,取り換え;交換物 / (と)…を交換する《+名+for+名》 / 交換する
sward	芝生
swarf	(金属やプラスチックなどの)削りくず
swarm	(大きな一団となって飛んで(動いて)いる昆虫などの)『群れ』《+of+名》 / (人・動物・物の)『群れ』,多数《+of+名》 / 〈ミツバチが〉巣分かれする,分封する / 『群れをなして動く』 / 〈場所が〉(で…)一杯になる,あふれる《+with+名》 / …に抱きついて登る《+up+名,+名+up》
swarth	=swarthy
swarthy	(皮膚が)黒ずんだ,浅黒い
swash	(水などが)バシャッ(ザブン)という音 / 〈水など〉をパシャッ(ザブン)とはねかける / (波などが)打ってバシャッと音を立てる
swashbuckler	(特に映画や物語の中で)向こうみずを自慢する人(冒険家,軍人など)
swashbuckling	{形}冒険的な / 勇ましい / 派手で威勢のよい
swastika	まんじ(古代から太陽や幸福のシンボルとして,また装飾として用いられた) / かぎ十字章,逆まんじ(ナチスドイツの表章)
swat	…をぴしゃりと打つ / (…を)ぴしゃりと打つ《+at+名》 / (…を)ぴしゃりと打つこと《+at+名》
swatch	(布地その他の)見本,小切れ / (一般に)見本(sample)
swath	(草刈り機で刈り取った後の)刈り草(刈り麦)の列 / (かまなどの)刈り幅
swathe	(…を)…に巻く《+名+with+名》 / …を包む,くるむ / 包帯,巻き布 / =swath
swatter	ぴしゃっと打つ人(物) / はえたたき
sway	『前後(左右)に動く,』揺れる / 《方向を表す副詞[句]を伴って》(一方に)『傾く,』かしぐ / …を『揺する,』揺り動かす / (方向を表す副詞[句]を伴って)…を傾ける / …に『影響を与える,』を左右する;《古》…を支配する / (…の)揺れ,動揺《+of+名》 / (…の)影響;支配,統治《+of+名》
swayback	(特に馬の)脊柱湾曲
swaybacked	(馬が)脊柱湾曲の
swear	(神などにかけて)『誓う,』宣誓する / (宣誓して)(…を)『証言する』《+to+名(doing)》 / 『罰当たりな言葉を使う,』(…を)ののしる《+at+名》 / (神などにかけて)…を誓う,誓って言う / 《話》《swear+that節》…だと断言する,主張する / (…を)〈人〉に誓わせる,宣誓させる《+名+to+名(doing)》
swearer	宣誓者 / ののしる者
swearword	悪口,のろい(ののしり)の言葉
sweat	〈U〉『汗』 / 〈U〉(一般に,物の表面にできる)湿気,露,水滴 / 〈U〉《しばしばa ~》発汗[状態];〈C〉発汗作用 / 〈U〉《しばしばa ~》《話》心配(いらだち,怒り)の状態 / 〈U〉《しばしばa ~》骨折り,つらい労働 / 『汗をかく』 / (一般に,物の表面が)湿気を帯びる,汗をかく / 《話》汗水流して働く / 〈水分〉を毛穴などから出す / …に汗をかかせる / 〈体重など〉を汗を流して減らす《+away(off)+名,+away(off)+名》 / …から水分を出させる / 〈人・馬など〉を汗水流して働かせる,酷使する
sweat gland	汗腺
sweatband	びん皮(帽子の内側に付ける汗よけの帯);(腕や額にまく)汗よけ用バンド
sweated	(比較変化なし)《名詞の前にのみ用いて》低賃金で重労働を強いられた
sweater	『セーター』
sweatshirt	(特に運動選手が着る)綿ジャージーの長袖のTシャツ
sweatshop	搾取工場(低賃金で長時間労働させる工場・仕事場)
sweaty	(人が)汗をかいている / 汗にまみれた,汗くさい / 汗ばむほど暑い / 骨の折れる
sweep	…を『掃く』,掃除する / (ほうきで掃くなどして)〈ごみなど〉を『取る』,集める《+away(up)+名》;(…から)…を取る《+away(up)+名+from(off)+名》 / (掃くように)…の『上をさっと通る』,…をさっとなでる(吹き抜ける);《副詞句を伴って》…を掃くように動かす / …を押し流す,吹き飛ばす《+along(away, off)+名》;(…から)…を押し流す《+『名』+『off(from)』+『名』》 / 〈選挙など〉に全面的に勝利をおさめる / 『掃く』,掃除をする / 《副詞[句]を伴って》(掃くように)『さっと通る(動く)』 / 《副詞[句]を伴って》〈山などが〉弓なりに伸びる / 《副詞[句]を伴って》〈人が〉堂々と通り過ぎる / (…を)『掃くこと』,掃除すること,(…か)一掃《+『of』+『名』》 / (…を)『さっと動かすこと』,一振り,(オールなどの)一こぎ《+of+名》 / (…の)湾曲,曲線,カーブ《+of+名》 / (…の及ぶ)範囲《+of+名》 / (物が)押し寄せること,突進 / 《話》掃除人,(特に)煙突掃除人 / 長いオール(かい) / 全面的勝利 / 《複数形で》=sweepstakes
