sweeper	掃除人;掃除機
sweeping	(広い範囲を)『一掃する』,大きくさっと動かす / 『広範囲の』,全面的な;決定的な / 《複数形で》掃き集めたもの,ごみ,くず / 〈U〉掃除
sweepingly	一掃して,広範囲に
sweepstake	=sweepstakes
sweepstakes	総かけ勝負(各人がかけ金を出し,そのかけ金はすべて勝者のものになる)
sweet	(砂糖のように)『甘い』;砂糖の入った / 心地よい,香りのよい,美しい,おいしい / 新鮮な,腐っていない / (性質などが)『人好きのする』,気だてのよい,優しい,親切な / (酒が)甘口の / 〈C〉《英》甘い料理,(特に)デザート / 《複数形で》《英》(ケーキ・キャンデーなどの)『砂糖菓子』(《米》candy) / 〈U〉《呼びかけで》あなた,おまえ / 《複数形で》《the ~》《文》(…の)喜び,楽しみ《+of+名》
sweet and sour	甘酢の sweet-and-sour
sweet corn	スイートコーン(食用のとうもろこし)
sweet pea	スイートピー 恋人
sweet pepper	甘とうがらし(ししとうがらし,ピーマンなど)
sweet potato	さつまいも
sweet tooth	甘いもの好き
sweet william	アメリカナデシコ
sweet-talk	おせじを言う,おだてる / 〈人〉をおだてる,〈人〉におせじを言う
sweetbread	(特に子牛・子羊の)すい臓,胸線(食用)
sweetbriar, sweetbrier	ピンクの花が咲き小さな赤い実のなる野バラの一種
sweeten	…を甘くする,の甘味を増す / 〈人・心など〉を優しくする,和らげる / 甘くなる,おいしくなる;気持ちよくなる,愉快になる
sweetener	(砂糖代用の)甘味料,人工甘味料
sweetening	甘くすること;〈U〉〈C〉(砂糖・サッカリンなどの)甘味料
sweetheart	〈C〉恋人,愛人 / 〈U〉(呼び掛けで)ねえ,あなた(君)
sweetheart contract	恋仲協定(不誠実な雇用主と組合指導者間のなれ合いで結ばれる労働契約)
sweetie	〈C〉《話》《女性が使って》いとしい人(もの) / 《複数形で》《英》キャンデー,砂糖菓子 / 《話》(しばしば親愛の気持ちをこめた女性に対する呼び掛けとして)ねえ,君
sweetish	やや甘い
sweetly	『甘く』,うまく;快く,心地よく / 愛らしく,親切に
sweetmeat	砂糖菓子,キャンデー,ボンボン;果物の砂糖づけ
sweetness	甘さ;快さ,心地よさ / やさしさ,親切
swell	〈物が〉『大きくなる』,ふくれる,はれる《+up》 / 〈帆などが〉『張り出る』,ふくらむ《+out》 / 〈数量・程度・力などが〉『増大する』,増える,強まる / 〈川などが〉増水する,〈海が〉うねる,〈土地が〉高まる / 《話》〈感情が〉高まる;(感情で)〈胸が〉いっぱいになる《+with+名》 / …を『ふくらます』,のかさを大きくする / 〈帆など〉を『張り出させる』,ふくらませる《+out+名,+名+out》 / …を『増大させる』,増やす,強める / 〈心・胸など〉をいっぱいにする / 〈U〉《時にa ~》ふくれる(増大する)こと;ふくれている状態 / 〈C〉土地の隆起部,なだらかな丘 / 〈U〉《単数形で》大波,うねり / 〈C〉音の高まり,音量の増減 / 〈C〉《古》《話》名士;(特に)流行の服を着た人 / 《米話》すばらしい,すてきな / 《古》《俗》いきな,しゃれた
swelled head	ひどいうぬぼれ,たいへんな思い上がり(《英》swollen head)
swellhead	うぬぼれ屋,思い上がった人
swellheaded	たいへんうぬぼれの強い,思い上がった
swelling	〈U〉ふくらむこと;膨張,増大 / 〈C〉(体の)はれもの,こぶ
swelter	暑さでまいる;汗だくになる / 炎暑,うだるような暑さ
sweltering	うだるように暑い / 暑さにぐったりした
swept	sweep (掃く, 払う, 掃除する) の過去・過去分詞
sweptback	(飛行機の翼が)後退角を持つ,(飛行機が)後退翼を有する / (髪を)オールバックにした
swerve	(…から)急にそれる,急に向きを変える,はずれる《+from+名》 / 〈他〉(…から)…の向きを急に変える,をはずれさせる《+名+from+名》 / 急にそれる(曲がる)こと;(球の)カーブ
swift	『速い』,快速の / (行動・反応などが)『即座の』,さっそくの;『す早い』,機敏な / 《おもに詩》つかのまの / 速く;す早く / アマツバメ(翼の長い鳥;高山や断崖に群棲)
swiftly	速く;す早く
swiftness	速やかさ,迅速
swig	(…の)がぶ飲み,痛飲《+of+名》 / 〈ビールなど〉を痛飲する,がぶがぶ飲む / 痛飲する,がぶがぶ飲む
swill	〈U〉(特に豚の餌にする)残飯 / 〈C〉《俗》(…の)がぶ飲み《+of+名》 / 〈U〉《a swillとして》すすぎ洗い / 《俗》…をがぶがぶ飲む / …を洗い流す《+out(down)+名,+名+out(down)》 / 《俗》がぶ飲みする,痛飲する
swim	『泳ぐ』,水泳をする / (水上・空中などに)浮かぶ / (水などの液体で)いっぱいになる,あふれる《+with+名》・(…に)浸る《+in+名》 / 〈物が〉ぐるぐる回るように見える;〈頭などが〉くらくらする / 〈河など〉を泳いで渡る,〈ある距離〉を泳ぐ / 《副詞[句]を伴って》〈人など〉を泳がせる;〈船〉を浮かせる / 『泳ぐこと』,
swimmer	『泳ぐ人』,水泳者
swimming	〈U〉『水泳』 / 〈C〉めまい
swimming bath	《英》(公共の)水泳プール(通例屋内のもの)
swimming costume	=swimsuit
swimming pool	『水泳プール』
swimming trunks	(男子用)水泳パンツ
swimmingly	すらすらと,順調に
swimsuit	水泳着,水着
swindle	〈人〉をだます,詐欺にかける;(金品を)〈人〉をだまして取る《+名〈人〉+out of+名》 / (人から)(金品)をだまし取る《+名(物)+out of+名〈人〉》 / かたり,詐欺,いかさま(fraud) / 《話》まやかし物,くわせ物
swindler	ペテン師,詐欺師,いかさま師
swine	《米》《集合的に》豚(pig)
swineherd	(昔の物語で)豚飼い,養豚者
swing	(一定の動きで)…を『振る』,揺り動かす / (一点を軸にして)…を『回転させる』,ぐるりと回す / 〈棒など〉を『振り回す』 / …を向きを変える / 〈物〉を『つるす』,掛ける / 《米話》〈取引きなど〉をうまく処理する,思いどおりに操る / (…から別の意見・立場などに)…を変える《+from+名+to+名》 / 《副詞[句]を伴って》(一定の動きで)『揺れる』,揺れ動く;ぶらんこに乗る / (一点を軸にして)『回転する』,ぐるりと回る / (大きく弧を描くように)(…を)打つ《+at+名》 / (…の方に)向きを変える《+on(onto,to,into)+名》 / のびのびと調子よく歩く,活動的になる / 《話》(…のことで)絞首刑になる《+for+名》 / (別の意見・立場などに)変わる《+to(toward)+名(doing)》 / 《話》〈音楽が〉スイング風である(に演奏する) / 〈C〉〈U〉(一定の動きを伴う)揺れ,振動;(ある方向への)揺れ動き《+toward+名》 / 〈C〉振幅 / 〈C〉『ぶらんこ』;ぶらんこ遊び / 〈U〉《しばしば a~》リズミカルな動き(歩き方) / 〈C〉(…を)大きく振ること,打つこと《+of+名》 / 〈U〉活動の自由 / 〈U〉スイング(1930‐40年代のジャズのリズム) / 〈C〉各国・各大陸を飛び歩く
swing shift	(工場などの)半夜勤(午後4時ごろから真夜中までの作業割当て)
swing wing	可変後退翼[機] / 可変後退翼のある = swing-wing
swinge	…をむち打つ,罰する
swingeing	非常に大きい;(金額などが)ばく大な,大幅の 巨大な 強い / 《話》すぐれている,一流の
swinger	揺れる人(物) / 《俗》陽気で若々しく現代的な人
