syll.	syllable / syllabus
syllabary	音節[文字]表(日本語の五十音図など)
syllabi	syllabus の複数形
syllabic	音節の(に関する);音節から成る / 音節主音の(母音の助けを借りずに音節を形成する子音) / 音節主音(母音と音節主音の子音)
syllabicate	〈語〉を音節に分ける
syllabication	音節に分けること,分節法
syllabification	=syllabication
syllabify	=syllabicate
syllable	音節,シラブル / 《通例否定語と共に用いて》一言,一語
syllabub	=sillabub
syllabus	(講義などの)要項,概要 / (学期・学年などの)学習指導計画
syllogism	〈C〉三段論法 / 〈U〉演えき的推論
syllogistic	三段論法の;演繹(えんえき)的な
sylph	空気の精 / ほっそりした美しい女
sylphlike	空気の精のような,ほっそりして優美な
sylvan	(またsilvan)《おもに文》森の,森の中の;森のある
sym.	symbol / symmetrical / symphony
symbiosis	共生(2種の異なる生物が相互に利益を得て生活すること)
symbiotic	(生物が)共生の
symbol	(…の)『象徴』,シンボル《+of+名》 / (化学・数学・音楽などに用いられる)(…を表す)『記号』,符号《+for+名》
symbolic, symbolical	象徴の(に関する);象徴(記号)によって表された
symbolism	《しばしば S-》(芸術上の)象徴主義,象徴派 / 記号で表すこと,象徴的表現
symbolist	象徴主義者
symbolization, symbolisation	象徴化,記号(符号)で表すこと
symbolize, symbolise	…を象徴する,の象徴となる / …を記号で表す,象徴化する
symmetric, symmetrical	(左右)相称的の,対称的な / 均整(つりあい)のとれた
symmetry	(左右の)対称,相称 / (型の)つりあい,調和
sympathetic	『同情的な』,思いやりのある / 気に入った,好意的な,共鳴する / 《まれ》気性に合った,気心の合った
sympathetically	同情して,好意的に,同情的に
sympathize, sympathise	(…のことで…に)『同情する』《+with+名+about+名(a person's doing)》 / (他人の気持ち・考えなどに)共鳴する,賛成する《+with+名(doing)》
sympathizer, sympathiser	同情する人 / (ある主義・運動の)共鳴者,シンパ
sympathy	〈U〉『共感』,思いやり / 〈U〉《時に複数形で》(…に対する)『同情』,哀れみ《+for(with)+名》 / 〈U〉《時に複数形で》(…に対する)弔慰,お見舞《+for+名》 / 〈U〉《時に複数形で》(…に対する)『共鳴』,賛成,好意《+with+名(wh-節)》
