T	tritiumの化学記号
T,t	英語のアルファベットの第20番目の文字 / T字形[のもの]
T-bar lift	(スキー場の)T字型リフト
T-bone	T字形の骨つき上肉ステーキ
T-intersection	T字路(《英》T-junction)
T-man	(財務省の)特別税務調査員
T-shirt	ティーシャツ(丸首の半そでシャツ)
T-square	T 定規(T 字形をした製図用定規)
T.	tablespoon; tablespoonful / Territory / Testament / true / Tuesday
T.M.O.	telegraph money order 電信為替
T.O.	telegraph office 電信局
T.U.C.	Trade Union Congress [英国]労働組合会議
TB,T.B.	tuberculosis 結核
TC	Teachers College 教員養成大学
TD	touchdown; touchdowns / Treasury Department
THC	テトラヒドロカンナビノール(マリファナの最有効成分)
THI	temperature-humidity index
TKO	technical knockout
TM	trademark
TN	Tennessee
TNT,T.N.T.	trinitrotoluene
TT	《略》 teetotal; teetotaller; tuberculin-tested
TV	television
TV dinner	テレビ食(冷凍食品で,レンジで温めさえすれば食べられる)
TVA	Tennessee Valley Authority テネシー川流域開発公社
TWX	teletypewriter exchange
TX	Texas
Ta	tantalumの化学記号
Tabasco	タバスコ(商標名;とうがらし入りの強い香りのソース)
Tacoma	タコマ(米国 Washington 州の Puget 湾に臨む港市)
Taft	タフト(William Howard Taft;1857‐1930;米国第27代大統領1909‐13)
Tagalog	〈C〉タガログ族の人(フィリピン諸島の原住民族) / 〈U〉タガログ語(フィリピン共和国の国語)
Tahiti	タヒチ島(南太平洋のフランス領の島;タヒチ島を中心とする諸島)
Tahitian	〈C〉タヒチ人 / 〈U〉タヒチ語 / タヒチ島の;タヒチ人の;タヒチ語の
Taipei	タイペイ,台北(台湾の首都)
Taiwan	台湾
Taj Mahal	タジマハール(インドのAgraにある霊廟)
Tallahassee	タラハシー(米国 Florida 州の州都)
Talmud	タルムード(ユダヤの口伝律法の集大成)
Tamil	〈C〉(南インドとセイロン島の)タミル人 / 〈U〉タミル語
Tammany	タマニー派(ニューヨーク市の私物化をたくらんだ民主党の政治団体)
Tampa	タンパ(米国フロリダ州西部の港市)
Tanganyika	タンガニーカ(アフリカ東部にあった旧国家;現在は Tanzania の一地域) / タンガニーカ湖(Lake~;アフリカ中部にある世界最長の淡水湖)
Tanzania	タンザニア(アフリカ東部の共和国;首都 Dares Salaam)
Taoism	道教(老子の教えによる中国の宗教)
Tartar	〈C〉(中世のタタール)ダッタン族[の人] / 〈C〉(その子孫である現在の)タタール人;タタール語 / 〈C〉《tartar》乱暴で手に負えない人
Tasmania	タスマニア(オーストラリアの南東の島でオーストラリア連邦の一州)
Tatar	Tartar
Taurus	(星座の)雄牛座;金牛宮
Taylor	テーラー(Zachary~;1784‐1850;米国第12代大統領1849‐50)
Tb	terbium の化学記号
Tc	technetium の化学記号
Tchaikovsky	チャイコフスキー
Te	tellurium の化学記号
Te Deum	感謝頌(神に対する賛美の歌) / それを歌う礼拝
Teflon	テフロン(熱に強い樹脂の商標名)
Teheran, Tehran	テヘラン(イランの首都)
Tel Aviv	テルアビブ(イスラエル最大の都市)
Tell	テル(William~;14世紀のスイスの伝説的英雄)
Telstar	テルスター(通信衛星の商標名)
Temperate Zone	温帯
Ten Commandments	十戒(旧約聖書でモーセがシナイ山頂で神から授かった)
Tenn.	Tennessee
Tennessee	テネシー州(米国南東部の州;州都はNashville;州の住民をTennesseanという;《略》『Tenn.,TN』) / 《the ~》
Tennyson	テニスン(Alfred Tennyson;1809‐92;英国の詩人)
Territorial Army	国防義勇軍
Tertiary	(地質時代の)第三紀の / 《t-》第3[位]の / (地質時代の)第三紀
Test.	Testament
Teut.	Teuton / Teutonic
Teuton	チュートン人 / ドイツ人
Teutonic	チュートン人(語)の / ドイツの;ドイツ人の / チュートン語
Tex.,TX	Texas
Texas	テキサス州(米国西南部の州;州都は Austin;《略》Tex.,TX)
Th	thorium の化学記号
Th.	Thursday
Th.D.	Doctor of Theology 神学博士
Thai	{形}タイの / タイ人の / タイ語の / 〈C〉タイ人 / 〈U〉タイ語
Thailand	タイ(東南アジア中部の王国;首都は Bangkok)
Thailander	=Thai 2
Thames	テムズ川(英国南部の川;ロンドン市内を流れる)
Thanksgiving Day	感謝祭(《米》では今は11月の第4木曜日,カナダでは10月の第2月曜日;turkey(七面鳥)やpumpkin pie(カボチャのパイ)などの料理で祝う)
Theban	(ギリシア・エジプトの)テーベの / (ギリシア・エジプトの)テーベ人
Thebes	古代ギリシアで栄えたナイル河畔の都市
Thibet	Tibet
Thibetan	Tibetan
Thimphu, Thimbu	ティンブー(ヒマラヤのブータン(Bhutan)の首都)
Third World	《the ~》《しばしば t- w-》第三世界(非同盟中立のアジア・アフリカの国々)
Thor	(北欧神話の)トール(雷神)
Thousand Islands	《the ~》サウザンド諸島(米国とカナダの国境のSt. Lawrence 川にある約1,700の島;米国領およびカナダ領)
Thousand and One Nights	《the~》=Arabian Nights' Entertainments
Thu.	Thursday
Thur.,Thurs.	Thursday
Thursday	『木曜日』(《略》Thu,Thur.,Thurs.)
Ti	titanium の化学記号
Tiber	テベレ川(ローマ市を流れ地中海に注ぐ川)
Tibet	チベット(中国南西部の自治区;首都は Lhasa)
Tibetan	チベットの;チベット(語)の / 〈C〉チベット人 / 〈U〉チベット語
Tigris	チグリス川(メソポタミアの平野を流れユーフラテス川と合流したペルシア湾に注ぐ)
Timothy	テモテ(聖パウロの弟子) / (新約聖書の)テモテへの第一(第二)の手紙(聖パウロがテモテに与えた書簡)
Tin Pan Alley	ティンパンアレー (ニューヨーク市Manhattan区の音楽関係の業者が多い地域)
