tantalize, tantalise	〈人・動物〉をじらす
tantalizing, tantalising	じれったがらせる,じらして苦しめる
tantalum	タンタル(希有金属元素;化学記号は Ta)
tantamount	(…と)同等の,(…に)相当した《+to+名》
tantrum	かんしゃく,むかっ腹
tap	…の(…を)『軽く打つ』;(…に)…をトントン(コツコツ)と打ちつける《+名+on+名》 / …をトントン(コツコツ)とたたいて作る《+out+名,+名+out》 / (…を)『軽く打つ』,トントンたたく《+on+名》 / 『軽く打つこと』;(…を)トントン(コツコツ)と打つ音《+on+名》 / (靴の裏の)張り替え革;(タップダンス用に)つま先やかかとに付けた金具 / 《複数形で》(米軍隊の)消灯ラッパ / 〈酒だるなど〉に飲み口をつける / 〈たるなどの中の液体〉を出す / 〈幹〉に刻み目をつけ樹液を採る / 〈電話・電話線など〉を秘密に接続する;〈人・通話〉を盗聴する / 〈鉱山・土地など〉を開発する / (たるの)飲み口,栓 / (水道などの)蛇口,栓 / タップ(電気回路の中間接点)
tap dance	〈C〉タップダンス
tap dancer	タップダンサー
tap-dance	タップダンスを踊る
tap-dancing	タップダンス
tape	〈U〉(細長い紙・布などの荷造り用)『テープ』,ひも / 〈C〉(決勝線用の)テープ / =tape measure / 〈C〉〈U〉録音用テープ / =tape recording / =tape measure / …をテープをくくる,テープをくっつける / =tape-record / …を巻き尺で測る / 《しばしば受動態で》《米》…に包帯をする(《英》strap) / =tape-record
tape deck	テープデッキ,テープ装置(アンプとスピーカーが付いていないテープレコーダー)
tape measure	巻き尺
tape player	録音テープ再生機
tape recorder	『テープレコーダー』
tape-record	…をテープに録音する / テープ録音をする
tape-recording	テープ録音;録音テープ
taper	小さい先細のろうそく / しだいに先細になること / …に先細にする;…を次第に少なくする《+off+名,+名+off》 / だんだん細くなる,だんだん少なくなる《+off》
tapestry	つづれ織り,ゴブラン織り(図案を手で織り込んだ厚い布;壁掛け,家具・ピアノカバーなどに用いる)
tapeworm	サナダムシ(回虫)
tapioca	タピオカ(カサバ(cassava)の根から採った食用でんぷん)
tapir	バク(中南米・東南アジア産の有蹄動物)
taproom	=barroom
taproot	(植物の)直根,主根
tar	タール(石炭・木材を乾留するとできる黒い溶液で,coal tarはこの一種) / …にタールを塗る / 水夫(sailor)
tarantella	タランテラ(2名で踊る活発なイタリア南部の踊り);〈C〉〈U〉タランテラの曲
tarantula	舞踊グモ(南欧産の多毛の毒グモ)
tarboosh	タブーシュ(イスラム教徒男子のかぶるおわん形の帽子)
tardily	のろのろと
tardiness	緩慢;遅刻
tardy	《米》遅れた,遅刻した;(…に)遅れた《+for(at,in,to)+名》 / 遅い,遅々とした;(…が)遅い《+in(at)+名(doing)》
tare	カラスノエンドウ(牧草) / 《通例複数形で》有毒な雑草(新約聖書「マタイによる福音書」から) / 風袋(品物の容器・包装材料など中身を除いた重量) / (積荷を除いた)車体重量
target	(鉄砲などの)『標的』,的,攻撃目標 / (批評・軽べつなどの)的,種《+of+名》 / (行為などの)目標,到達目標
tariff	(…に掛かる)関税《+on+名》 / (関税の)税率表 / (ホテル・レストランなどの)料金表
tarmac	〈U〉タールマック(道路舗装用のタール) / 〈C〉《単数形で》(滑送路などの)タールマック舗装路
tarn	山中の小さな湖(池)
tarnish	〈光っているもの〉を曇らせる / 〈名声など〉を汚す / 曇る,汚れる / (金属などの)曇り,変色;(銀器などの)曇った被覆
taro	タロイモ(南洋諸島のサトイモの一種)
tarot	タロカード(22枚一組の占い用のカード)
tarpaulin	(タールなどを塗った)厚い防水布,防水シート
tarpon	ターポン(大西洋岸で釣れるイセゴイ科の大きな魚)
tarragon	タラゴン;タラゴンの葉(芳香がありサラダなどの香味料として用いられる)
tarry	ぐずぐずする,遅れる(delay) / 滞在する(stay) / タールの,タール状の;タールを塗った
tarsal	足首の / 足根骨
tarsier	メガネザル(インドネシア産;長い尾と大きな目を持つ小形の猿)
tarsus	(7本の骨から成る)足根,足首
tart	(味が)ぴりっとした,すっぱい / (気質・表現など)しんらつな,厳しい;(返事など)つっけんどんな / 〈C〉タート,タルト(果物・カスタードなどの入った小さなパイ) / 〈C〉〈U〉《英》果物入りのパイ
tartan	〈U〉タータン(スコットランド高地人の格子じまで織られた毛) / 〈U〉タータンチェック(格子じま模様)
tartar	酒石(ぶどう酒が発酵する時にたるの内側に沈殿する) / 歯石
tartar sauce	タルタルソース(マヨネーズに野菜類を刻んで混ぜたソース)
tartaric	酒石の
task	(つらく骨の折れる)『仕事』,(課せられた)務め / 〈仕事などが〉…を苦しめる,酷使する
taskforce	(特殊任務を帯びた)軍の機動部隊 / (一般に)対策本部,対策委員会
taskmaster	(特に)厳しい仕事を割り当てる人
tassel	(糸・ひもなどの束ねて作った)飾り房,房状のもの / (トウモロコシの)穂花 / …に飾り房を付ける
taste	〈C〉〈U〉『味覚』 / 〈C〉〈U〉(…の)『味』,風味《+of+名》 / 〈C〉《単数形で》(食物などの)一口,一なめ《+of+名》 / 〈C〉《単数形で》(…の)ちょっとした経験《+of+名》 / 〈C〉〈U〉(…の)『好み』,趣味《+in(for)+名》 / 〈U〉趣,品 / 〈U〉鑑賞力,審美眼,センス / …を『味わう』,試食する,試飲する / …を食べる,口にする / …の『味の感ずる』 / …を経験する / 『味がする』《taste+形〈補〉》…の味がする / 〈人が〉味を感じる
taste bud	味蕾(みらい)(舌の味覚器官)
tasteful	趣味の良い,上品な
tasteless	味のない,まずい;おもしろみのない / 趣味の悪い
taster	(ワイン・紅茶などの)味きき,味の鑑定人
tasty	(特に塩味が)おいしい,味が良い / 《話》(特に情報が)おもしろい,興味がある
tat	〈レース〉をタッチング(tatting)て作る / タッチングをする / tit
tata	ばいばい,あばよ
tatter	〈C〉(1片の)ぼろ,ぼろ切れ / 《複数形で》ぼろ服 / …をぼろぼろに破る
tatterdemalion	ぼろを着た人
tattered	ぼろぼろの / ぼろをまとった
tattersall	タッターソール(格子じま模様の毛織物)
tatting	タッチング(ボード形の編具(shuttle)を使うレース編み) / タッチング編みのレース
tattle	(特に,子供たちの間で)(…の)秘密をしゃべる,告げ口をして(…を)裏切る《+on+名》 / おしゃべりする / …をぺちゃぺちゃしゃべる / 〈秘密など〉を漏らす
tattler	おしゃべりな人;他に秘密をもらす人
tattletale	他人の秘密を漏らす人
tattoo	(軍隊の)帰営ラッパ / (軍隊の)夜間軍楽行進 / トントン(コツコツ)たたく音;(心臓の)ドキドキいう音 / 入れ墨[の模様],彫りもの / 〈肌など〉に入れ墨をする / 〈絵など〉を入れ墨で書く
tattooist	入れ墨師
tatty	《おもに英話》うすぎたない,みすぼらしい,ぼろの
tau	タウ(ギリシア語アルファベットの第19字Τ,τ;英語のT,tに相当)
taught	teachの過去・過去分詞
taunt	〈人〉を軽べつして非難する,ばかにする:《taunt+名(人)+with+名(a person's doing)》…といって人をばかにする / あざけり,あざ笑い,ののしり
tauntingly	あざけって,あざけるように,ののしって
taupe	暗灰色(茶・黄・紫色がかった灰色) / 暗灰色の
taut	(ロープなど)ぴーんと張ってある / (顔・神経などが)緊張した;張りつめた
tautological	(同じ意味の言葉が)重複した,類語反復の
tautology	類語反復(同じ意味を別の言葉で不必要に繰り返すこと)
tavern	居酒屋 / 《古》宿屋(inn)
taw	はじき玉,びー玉 / (はじき玉遊びの)基線
tawdrily	けばけばしく
tawdriness	けばけばしさ,安ぴか
tawdry	安ぴかの,けばけばしい
tawny	黄褐色の
tax	〈C〉〈U〉(…に対する)税,税金《+on(upon)+名》 / 〈C〉《単数形で》(…にとっての)『重荷』,過酷な要求《+on(upon)+名》 / 〈物品・人〉に『課税する』,税金をかける / …に『重荷を負わせる,』負担をかける / (…の理由で)〈人〉を責める《名(人)+with+名(doing)》
tax collector	徴税吏
tax haven	租税逃避地(課税のない,または安い地域)
tax shelter	所得税のがれの投資
tax-free	無税の(で),免税の(で)
taxable	税金がかかる;課税できる
taxation	課税,徴税;税制 / (支払うべき)税金,課税額
taxi	『タクシー』(taxicabの略) / タクシーで行く / 〈飛行機が〉(ゆっくりと地上・水上を)滑走する / 〈飛行機〉に誘導滑走させる
taxi driver	タクシーの運転手
taxi rank	=cab rank
taxi stand	=cab rank
taxicab	タクシー(taxi)
