taxidermist	剥製(はくせい)師
taxidermy	剥製(はくせい)術
taximeter	タクシーの料金メーター
taxonomic	分類の, 分類学上の
taxonomy	分類学;分類法
taxpayer	納税者,被課税者
tbs.,tbsp.	tablespoon / tablespoonful
tea	〈U〉『茶』,(特に)紅茶 / 〈U〉(乾燥した)茶の葉;茶の木 / 〈U〉茶に似た飲料,煎じ茶 / 〈C〉〈U〉『午後のお茶』 / 〈C〉〈U〉『お茶の会』(午後の軽食を出すパーティー)
tea bag	ティーバッグ(1人前の茶の葉を入れた紙や布の袋)
tea break	(午前・午後の中ごろの)お茶の時間
tea caddy	(小型の)茶筒
tea chest	茶箱
tea cloth	小テーブル掛け
tea cozy, tea cosy	(保温用)紅茶ポットカバー
tea dance	お茶と軽食が出る午後のダンスパーティー
tea party	お茶の会(teatime の社交的会合)
tea service	茶器セット
tea strainer	茶こし
tea towel	食器用ふきん(dish towel)
tea tray	茶盆
tea trolley	=tea wagon
tea wagon	茶器を運ぶワゴン(《英》tea trolley)
teacake	茶菓子
teach	〈物事・学科など〉を『教える』,〈人〉に教える / (…で)『教師をする』,教える《+at+名》
teach-in	= teach inティーチイン(政治・社会問題などに関する大学における長時間の意見交換会)
teachable	(学科などが)教えることができる;(人が)よく教えを聞く
teacher	『先生』,教える人,教師
teacher's pet	先生のお気に入り
teaching	〈U〉『教えること』,教授,授業 / 〈C〉〈U〉《おもに複数形で》教え,教訓(instruction)
teaching hospital	医科大学付属病院
teaching machine	教育機器
teacup	紅茶わん / 茶わん1杯の量
teagarden	屋外軽食堂 / 茶畑
teahouse	(日本や中国の)茶屋
teak	チークの木(東インド産で材質を堅いので造船・家具に用いる);〈U〉チーク材
teakettle	湯沸かし,やかん
teal	マガモ・カルガモの類(飛ぶのが速い)
tealeaf	茶の葉;茶がら / 《英俗》泥棒
team	(スポーツの)『チーム』 / (共に仕事などをする)『一団』,一組 / (荷車を引く2頭以上の牛馬などの)一組 / 〈動物〉を一組にする / …を一組の動物で運ぶ / (…と)『チームを作る』,チームを組む,協力する《+up with+名》
team spirit	団体(共同)精神
teammate	チーム仲間
teamster	一連の牛馬などの御者 / 《米》大型トラックの運転手
teamwork	協同作業
teapot	(紅茶を入れるときに使う)きゅうす,ティーポット
tear	…を『裂く』,破る,引き裂く / 〈穴など〉を『破って作る』 / (…から)…を『引きはがす』,もぎ取る,引き離す《+away(down, off, out, up)+名+from(out of, off)+名》 / 《受動態》で…を裂いて(破って)分ける《+名+apart》 / 裂ける,破れる / 《副詞[句]を伴って》激しく(大急ぎで)動く,突進する / 涙
teardrop	涙の一しずく
tearful	涙ぐんだ,涙でいっぱいの / 悲しい,涙を誘う
teargas	催涙ガス
tearjerker	(物語・劇・映画などの)お涙ちょうだいもの
tearless	涙を流さない,泣けない,目にしみない
tearoom	喫茶店(室)
tease	〈人・動物〉を『いじめる』,からかう / 《米》(逆にくしを入れて)〈髪〉を逆立てる / 〈布〉に毛羽を立てる / (紡ぐため)〈羊毛など〉をすく / 人(動物)をしつこくいじめる(からかう) / いじめる人,からかう人
teasel, teazel, teazle	ラシャカキグサ(アザミの類;昔,その頭状花で布のけばを立てた)
teaser	いじめる人,からかう人 / 《俗》難問,難題
teaspoon	(紅茶・コーヒー用などの)『茶さじ』,スプーン / =teaspoonful
teaspoonful	(…の)茶さじ1杯[分](tablespoonful の3分の1の量)《+of+名》
teat	(哺乳瓶の)乳首 / (哺乳類動物の)乳首(nipple)
teatable	= tea table 茶をたてる小テーブル,茶卓
teatime	(午後の)お茶の時間
teazel, teazle	=teasel
tech.	technical
technetium	テクネチウム(マンガン属の元素;化学記号は Tc)
technic	=technique
technical	『専門の』,専門的な / 『工業の』,工芸の / 技術の,技術上の
technical knockout	(ボクシングで)テクニカルノックアウト(《略》TKO)
technicality	〈C〉専門にわたる点(細部),専門的事項;専門用語 / 〈U〉専門的であること
technically	専門的に,技術的に;専門語で
technician	(科学・職業上の)専門家,専門技術者 / (音楽・美術などの)技巧派
technicolor	天然色映画法,テクニカラー(商標名が普通名詞化したもの)
technique	〈U〉(科学・芸術などの)『技巧』,技術 / 〈C〉(技術・技巧を示す)『手法』,表現方法;腕前
technocracy	〈U〉テクノクラシー,技術家主義(専門技術者に産業の支配・統制を任せようという理論);〈C〉技術家集団 / (C)技術家主義の国家
technocrat	技術家政治[論]の主唱者 / 技術系の高級行政官
technological	科学技術の(に関する)
technologist	科学技術者,工業技術者
technology	科学技術,工業技術・科学(工業)技術的な方法(過程)・文明の環境利用(開発)・応用科学; 専門用語
tectonics	構造学 / 構造地質学
teddy bear	縫いぐるみのクマ
teddy boy	テディボーイ,ちんぴら
tedious	『退屈な』,飽き飽きする
tedium	退屈
tee	(ゴルフの)ティー(最初のボールを打つときに地面に刺して載せる小さな台くぎ;また最初のボールを打つ場所) / 〈ボール〉をティーにのせる《+up+名,+名+up》
tee shirt	=T-shirt =tee-shirt
teem	(…に)〈人・物が〉たくさんいる,群がる(abound)《+in+名》 / (…で)〈場所などが〉いっぱいである,満ちる(be full of)《+with+名》 / 雨がどしゃぶりに降る
teeming	(森・川などが)(生物で)満ちあふれている《+with+名》
teen	=teenage / =teenager
teenage, teen-age	(数字が ‐teen で終わる)13歳から19歳までの,10代の(に特有な)
teenager, teen-ager	ティーンエージャー(13歳から19歳までの少年・少女)
teens	(数字が‐teen で終わる)13から19までの数 / 《one's~》(人の)13から19歳までの期間,10代
teeny	=tiny
teeny-weeny	ちっちゃな
teenybopper	ティーニーボッパー(ロックやファッションに熱狂する少女)
teepee	=tepee
teeter	(…で)ふらふらする,ぐらぐらする,動揺する《+on+名》 / ふらつき,動揺
teeter totter	= teeter-totter = seesaw
teeth	tooth の複数形
teethe	(幼児の)歯が生える
teetotal	絶対禁酒[主義]の
teetotaler, teetotaller	絶対禁酒主義者
tegument	おおい,外被(integument)
tektite	テクタイト(天然のガラス質物質)
