textual	原文の,本文の
texture	織り方,織り目,織り地 / (皮膚・木・石などの)きめ,手触り
textured vegetable protein	(大豆原料の)食肉代用植物性蛋白
thalamus	(眼の)視床
thalidomide	サリドマイド(鎮静・睡眠薬)
thalidomide baby	サリドマイドベビー(サリドマイド服用が原因の奇形児)
thallium	タリウム(金属元素;化学記号はTl)
thallophyte	葉状植物
than	《比較級の後に用いて》…『より[も]』,に比べて / 《関係代名詞的に用いて》…『よりも』 / 《other,otherwise,else,different などの後に用いて》…より(ほかの,ほかに) / 《rather,sooner などの後に用いて》…『よりむしろ,』…するくらいなら / 《話》《hardly, scarcely の後に用いて》=when,before / 《文》《通例 than whom の形で》…より[も] / 《話》《比較級の後に用いて》…より,に比べて
thane, thegn	(古英史で)軍功により国王から封地を与えられた公民 大豪士(貴族の下の階級) / (スコットランド史で)王の封地を保有した豪族 (王領)領主
thank	(…のことで)〈人〉に『感謝する,』礼を言う《+名+for+名(doing)》
thank-you	感謝の,感謝を表す / 感謝の行為,お礼
thankful	(人が)『感謝している;』(心・言動が)感謝に満ちた
thankless	(人が)感謝しない,恩知らずの / (事・物が)感謝されない,割に合わない
thanks	ありがとう / (…に対する)感謝の言葉(気持ち)《+for+名〈物・事〉,+to+名〈人〉》
thanksgiving	〈U〉(神への)感謝,謝恩;〈C〉感謝祈とう[式] / 《T-》《米》=Thanksgiving Day
that	《人・物・事・時などを指して,あるいは述べたこと全体を受けて》『あれ,それ,』あの(その)こと(人,物,時) / 《前に述べた語・句・節を繰り返すことを避けて》(…の)『それ』 / 《後に述べる語・句・節を指して》 / 《this と対照させて二つのもののうち遠いほうを指して》『あれ』,そちら,あちら;(this の後者に対して)『前者』 / 《関係代名詞 which の先行詞に用いて》(…するところの)『もの,こと』 / (…する,…した)『ところの』 / 《it is(was)…that…の強調構文に用いられて》…『のは』 / 《関係副詞的に用いて》…『ところの』 (when,at(in) which) / 『あの,その』 / 《this と対照的・相関的に用い,二つのもののうち遠いほうを指して》『あの』,その,あっちの / 《関係詞の先行詞の前に付いて》(…する)『あの』 / 《名詞節を導いて》『…ということ』 / 《主語節を導いて》 / 《補語節を導いて》 / 《動詞・形容詞・前置詞の目的語節を導いて》 / 《同格節を導いて》 / 《it is(was)…that…の強調構文に用いられて》『…のは』… / 《副詞節を導いて》 / 《原因・理由・判断の根拠を表す節》『…だから』,とは,の故に / 《目的・意図を表す節》『…するように』,するために / 《so(such)と相関して結果を表す節》(とても)『…なので』,…の結果 / 《範囲・制限を表す節》『…する限りでは』(so far as) / 《願望・感情を表す節を導いて》《文》『…であれば[よいのだが]』,…とは[驚いた] / 『それほど』,それだけ(so)
that's	that is の短縮形
thatch	〈U〉(屋根ふき用の)わら,よし,かや / 〈C〉(わら,かや)ぶき屋根 / 〈C〉《話》《おどけて》ふさふさした頭髪 / 〈屋根〉をわら(かや)でふく
thatched	草ぶきの
thatcher	屋根を葺く人・屋根葺き職人
thaw	〈氷・雪などが〉『解ける』《+『out』》 / 冷えた体が暖かくなる《+out》 / 《it を主語にして》暖かくなる,氷や雪が解ける気候になる / 〈人・態度などが〉打ち解ける,和らぐ / 〈氷・凍りついたものなど〉を『解かす』 / (氷などが)解けること,雪解け / 雪解けの季節,解氷期 / (心が)打ち解けること
