thermionic valve	=thermionic tube
thermionics	熱イオン学
thermodynamic	熱力学の,熱量の
thermodynamics	熱力学
thermoelectric	熱電気の
thermoelectricity	熱電気
thermograph	自記温度記録計
thermometer	『温度計』,寒暖計
thermonuclear	熱核融合の
thermoplastic	熱可塑形の / 熱可塑性物質(合成樹脂)
thermos	=thermos bottle
thermos bottle	魔法瓶
thermosetting	熱硬化性の
thermosphere	温度圏(温度が高さとともに上昇していく地上80Kmより上部の大気圏)
thermostat	サーモスタット(暖房器具などの自動温度調節器)
thesaurus	(特定分野の)知識の宝庫,宝典・シソーラス, 類義[反義]語辞典
these	『これら』,これ,こちら / 『これらの』,この,こちらの
theses	thesisの複数形
thesis	(論証のための)陳述,主張;論題,主題 / (卒業・学位の)論文
thespian	演劇の / 俳優
theta	テータ,シータ(ギリシア語アルファベットの第8字Θ,θ;英語の th に相当)
thews	筋肉 / 筋力,体力
they	『彼らが(は)』,彼女らが(は),それらが(は) / (一般に)『人々』,世間の人
they'd	they had(would)の短縮形
they'll	they will(shall)の短縮形
they're	they are の短縮形
they've	they have の短縮形
thiamine	vitamin B1
thick	『厚い』,分厚い;『太い』 / 《数量を表す名詞の後に用いて》『厚さ…の』,太さ…の / (液体・気体が)『濃い』,濃厚な / 『密な』,密生した,密集した / (なまりが)著しい,ひどい / (声が)はっきりしない,かすれた / (頭が)重い,ぼんやりした / 《話》ばかな,愚かな / 《話》親密な;(…と)親して《+with+名》 / 《補語にのみ用いて》(…で)いっぱいの,満ちた《+with+名》 / 『厚く』,分厚く,濃く,密に / 《the ~》(…)最も厚い(太い,濃い,密な)部分《+of+名》 / 《the ~》(活動などの)たけなわ,まっただ中《+of+名》
thick-skinned	皮の厚い;鈍感な
thicken	…を厚くする;…を濃くする / 厚くなる;濃くなる / 〈話の筋などが〉複雑になる
thickener	〈C〉増粘剤
thickening	厚くする(なる)こと / 厚くなった部分 / 濃縮材料
thicket	『低木の茂み』,やぶ
thickheaded	頭の鈍い,まぬけな(stupid)
thickly	厚く,太く,密に,濃く
thickness	〈U〉〈C〉厚さ,太さ,濃さ,密集,繁茂 / 〈C〉層,重ね(layer)
thickset	(生け垣などが)生い茂った,密集した / (体などが)ずんぐりした
thief	『泥棒』,(特に)こそどろ,空き巣
thieve	〈物〉を盗む(steal) / 盗む,空き巣を働く
thievery	thieving
thieves	thiefの複数形
thieving	盗み / 盗癖のある,盗みを働いた
thievish	盗癖のある;泥棒のような;こそこそやる
thigh	『もも』,大腿(だいたい)部
thighbone	大腿(だいたい)骨
thimble	(裁縫用の)指ぬき(金属またはプラスチック製の小さなサックで,中指の先にかぶせて使う)
thimbleful	(液体の)ほんの少量《+of+名》
thin	『薄い』 / 細い / 『やせた』,やつれた / (液体・気体が)『薄い』,希薄な / まばらな,密集していない / 内容のない,見え透いた / (音・声が)『か細い』 / 薄く,細く,まばらに / …を薄くする,細くする,まばらにする / 薄くなる,細くなる,まばらになる
thin-skinned	《しばしば軽べつして》感じやすい;怒りっぽい
thine	《thouの所有格》なんじの / 《thouの所有代名詞》なんじのもの(yours)
thing	〈C〉(形のある)『物』,物体;(生物に対しての)『無生物』 / 〈C〉(形のない)『もの』,事,事柄,でき事 / 《複数形で》事情,事態,状勢,状況 / 《複数形で》(すべての)事物,事柄 / 《通例 the~》(努力・活動などの)目的,目標 / 〈C〉衣服,衣類・《one's things》持ち物,所持品,身の回り品 / 《複数形で》道具,用具・〈C〉《親愛・哀れみ・軽べつなどの感情をこめて》人,者,やつ / 《the~》《話》(…の)流行《+in+名》
thingamajig, thingumajig	(名前を忘れたり,知らないものに対して)なんとかさん,なんとかいうもの
think	…を『考える』,心に抱く,想像する,思い描く / …と『思う』,信じる,判断する:《think+that 節》…であると思う / …を『企てる』,もくろむ / 《英》…を予期する / 《しばしば think oneself の後に形容詞・副詞[句]を伴って》考えて…の状態にする / 『考える』,思う;思案する,熟考する;予期する / (…について)考えること,一考《+about+名》 / 思考の,思考を促す
think tank	頭脳集団(各分野の学者から成る総合的研究組織)
thinkable	考えられる,想像がつく,ありうる(conceivable)
thinker	考える人;思想家,思索家
thinking	『思考力のある』,考える;思慮深い / 考えること,思考,思索 / 考え,意見,判断
thinly	薄く,まばらに
thinner	(ペンキなどを)薄める液,シンナー
thinness	希薄,細さ,貧弱
third	《the ~》『第3番目の』,3番目の / 3分の1の / 《the ~》『第3』,3番目[のもの],(月の)『3日』 / 〈C〉『3分の1』 / 〈C〉(音楽で)3度[音程] / 〈U〉(自動車などの)サード(第3速)[ギア] / 第3に,3番目に
third base	(野球の)3塁
third baseman	(野球の)3塁手
third class	(乗り物の)3等(普通いちばん低いクラス) / 《米》第3種郵便(新聞・雑誌以外の印刷物)
third degree	(特に警察の)きびしい尋問,拷問
third dimension	第三次元
third party	(事件などに偶然巻き込まれた)第三者
third person	《the ~》(文法で)第三人称(he,she,they,a dog,these houses など)
third rail	第3軌条(送電用の鉄道のレール)
