thunderstorm	大雷雨,雷を伴ったあらし
thunderstruck	びっくり仰天した
thundery	雷の来そうな,雷鳴のする;夕立模様の;形勢が穏やかでない
thurible	香炉
thus	『このように』,かくかくして / 『従って』,だから
thwack	=whack
thwart	〈計画など〉を阻止する,じゃまする / (ボートのこぎ手の)腰掛け
thy	なんじの
thyme	タイム(ハッカの類の植物;芳香のある葉を香味料にする)
thymine	(胸腺のDNAからとる)白色結晶ピリミジン チミン
thymus	胸腺(脊椎動物にある内分泌器官)
thyroid	甲状腺 / 甲状腺の
thyroid cartilage	甲状軟骨,のどぼとけ
thyroid gland	甲状腺
thyroxin, thyroxine	甲状腺ホルモン
thyself	《thou の再帰形または強意形》なんじ自身(yourself)
ti	シ(全音階の第7音)
tiara	(宝石をちりばめた)婦人用頭飾り / (ローマ教皇の)三重冠
tibia	脛骨
tic	(眼・手足の)けいれん
tick	(時計まどの)カチカチ[という音] / 《英語》瞬間 / 照合(点検)済みの印(✓の印),チェック / 〈時計などが〉カチカチ音がする《+away》 / 〈時が〉過ぎる,経過する《+by(away)》 / 《話》〈人が〉行動する,〈機械などが〉動く / 〈C〉(ふとん・まくらなどの)表布 / ダニ
tick fever	ダニ熱(ダニが媒介する熱病)
tick-tack	(時計・心臓などの)カチカチ,ドキドキ[という音]
tick-tack-toe, tick-tac-toe	チックタックトウ(縦横三つずつ,計九つの区画に交互に○と×を記入し,先に同じ符号を三つ1列に並べたほうが勝ちというゲーム)
ticker	カチカチ音を出すもの / 株式相場表示器(取引所からの電信を自動的に印写する受信機) / 《俗》心臓
tickertape	株式相場表示機(ticker)から刻々出てくるテープ
ticket	『切符』,乗車券;入道券;(宝くじなどの)券,礼 / 正礼,値札,(品質・サイズなどの)表示札 / 《米》(政党の)公認候補者名簿 / 《話》交通違反者の呼び出し状 / 《the~》《話》必要なもの / 《the ~》《古・話》正しいこと,適切なこと / 〈商品〉に正礼(品質標示礼など)を付ける,〈荷物など〉に礼を付ける / 《米》…に交通違反の呼び出し状を渡す
ticking	(ふとん・まくら・テント用の)じょうぶな綿布
ticking off	しかること
tickle	〈人・身体の一部など〉を『くすぐる』,むずむずさせる / 〈人の心・気持ち〉をくすぐる,くすぐってうれしがらせる(楽しませる) / くすぐったい,むずむずする / くすぐったい(むずがゆい)感じ
tickler	くすぐる人(物) / 《米》備忘録 / 《話》難問
ticklish	(人が)くすぐったい,くすぐったがる / 怒りっぽい,神経質な / (問題などが)扱かいにくい,微妙な
tidal	潮の;潮の作用を受ける;潮の干満のある
tidal wave	(海底地震・強風などによる)津波,高波 / (感情などの)大きなうねり
tidbit	うまいものの一口 / おもしろいニュース,(物語・うわさなどの)さわり部分
