time lag	時間のずれ,遅れ
time limit	制限時間,時限,日限
time schedule	(学校などの)時間表,時間割り
time signal	(ラジオ・テレビの)時報
time signature	拍子記号(楽曲の初めにその拍子を指定する記号)
time switch	タイムスイッチ
time zone	時間帯《経度15゜の間隔を置いて地球を24の時間帯に区分し,各区域では同一の標準時(standard time)を採用している》
time-honored, time-honoured	昔ながらの,由緒ある
timecard	(また time sheet)タイムカード,就業時間記録カード / 列車時刻表
timeframe	予定されている期間
timekeeper	(競技・作業などの)時間記録係,計時員 / 時計
timeless	無限の,永久の / 特定の時間を示さない,時を超越した
timeliness	時宜にかなっていること
timely	時宜を得た
timeout	タイム[アウト](試合の一時中止);休憩
timepiece	時計(柱時計・腕時計を含めて)
timer	(作業・競技などの)時間記録係,計時員 / 秒時計,ストップウォッチ / ある決められた時間に機械,器具などが動くように制御する装置,タイマー
times	…掛ける
timesaver	時間節約装置(方策)
timesaving	(方法・方策などが)時間節約の
timeserver	日より見主義者
timeserving	日より見主義の;時勢に便乗する / ご都合(便乗)主義者の言動
timesharing	(電算機の)タイムシェアリング,時分割[方式]
timesheet	timecard
timetable	時間表,時間割り;(鉄道の)時刻表 / (…のために)…の計画表(時間割り)を作る《+名+for+名》;(…するように)…の計画表を作る《+名+to do》
timework	時間給の仕事
timeworn	年月を経て古びた;使い古した / 陳腐な,ありふれた
timid	『おくびょうな』,びくびく(おどおど)した
timidity	おくびょう,小心;内気
timidly	おくびょうに,びくびく(おどおど)して
timidness	おくびょう・びくびく(おどおど)していること
timing	時間の調節;時間を測定[記録]すること
timorous	きわめておくびょうな,非常に気の小さい
timothy	オオアワガエリ(イネ科の多年生草本)
timpani	ティンパニー
timpanist	ティンパニー奏者
tin	〈U〉錫(金属元素;化学記号はSn) / 〈U〉ブリキ(tin plate) / 《英》=can {名}2 / 錫製の;ブリキの / …に錫めっきをする;…に錫を張る(かぶせる) / 《英》=can {動}
tin can	ブリキ缶 空き缶 潜水艦 水中機雷
tin god	尊大ぶる人,おうへいな人 / おだてられていい気になっている人
tin hat	(兵隊がかぶる)鉄かぶと
tin opener	=can opener
tin-pan alley	(流行歌をつくる)音楽関係[業]者
tincture	チンキ(薬をアルコールに溶いたもの) / 〈U〉《しばしばa~》(…)気味,(…な)ところ《+of+名》(trace) / 色;色合い / …を着色する,染める / …に味をつける,風味を与える
tinder	火口(昔,点火に用いた燃えやすい物質)
tinderbox	火口箱(火打ち石など点火用の品を入れた箱)
tine	(くまで・フォーク・シカの角などの)鋭くとがった先
tinfoil	(巻きたばこ・チョコレートなどを包む)錫はく,銀紙
ting	…をチリンチリン(リンリン)と鳴らす / チリンチリン鳴る宴
ting a ling	(小さい鈴などの)チリンチリン鳴る音 = ting-a-ling
tinge	(…の)『薄い色合い』《+『of』+『名』》 / 『ほんの少し』(の…),(…の)気味《+of+名》 / (…で)…を『薄く色づける』《+名+with+名》 / (…で)…に軽く味(におい)をつける
tingle	ずきずき(ひりひり)する(痛む);〈耳などが〉がんがんする;(頭・耳の中で)〈人の言葉などが〉鳴り響く / (興奮などで)ぞくぞくする,うずうずする《+with+名》 / ずきずき(ひりひり)する痛み / ぞくぞくする気持ち,興奮
tinker	〈C〉(回って歩く)鋳掛け屋 / 〈C〉よろず修理屋 / 〈C〉へたな職人 / 〈U〉《時にa ~》へたな修繕 / 鋳掛けをする / (…を)不細工に修繕する,へたにいじり回す;(…を)遊び半分にいじくる《+at(with)+名(doing)》
tinkle	《単数形で》チリンチリン(鈴などの鳴る音) / 〈鈴などが〉チリンチリンと鳴る / …をチリンチリンと鳴らす
tinniness	錫(すず)を含んでいること,ブリキかんをたたいたような音がすること
tinny	錫(すず)の;錫(ぶりき)のような / 錫(ぶりき)のような色(音)の
tinplate	ブリキ
tinsel	(金属片・ひもなどの)ぴかぴかした飾り(舞台衣装・クリスマスツリーなどに使う) / 安ぴか物 / 金糸銀糸の入った織物 / はくを散らした,金ぴかの;見かけ掛しの / …を金ぴか物で飾る
tinsmith	ブリキ屋,錫(すず)細工師
tint	(色の)『濃淡』,色合い《+of+名》 / 『ほのかな色』,(赤み・青みなどの)…み / …に薄く色をつける;(…で)…を薄く染める《+名+with+名》
tintack	すずメッキしたびょう
tinter	色づけする物(人)
tintinnabulation	(鈴などの)チリンチリンと鳴る音
tinware	すず(ブリキ)製品
tiny	『とても小さい』,ちっぽけな
tip	(…の)『先』,はし,先端《+of+名》 / 『先端に付ける物(部分)』 / …に先を付ける / …の先をおおう(飾る) / 『チップ』,心付け,祝儀 / (…に関する,特に専門家からの)内報,秘密情報《+for(on)+名+from+名》 / (…についての)(役に立つ)ヒント,助言《+on+名(wh-句)》,(…という)ヒント《+that 節》 / 〈人〉に『チップをやる』 / (…について)〈人〉に内報する,秘密の情報を与える《+off+名(+名+off)+about+名》 / チップをやる / …を傾ける / …をひっくり返す《+over(up)+名,+名+over(up)》 / (あいさつのために)〈帽子〉を持ち上げる,にさわる / 《英》(容器から…に)…をあける(empty)《+名+out of+名+into+名》 / 傾く / ひっくり返る《+over》 / 傾けること;傾斜 / 《英》ごみ捨て場
tip-off	有用な情報;警告
tipper	チップを与える人
tippet	首または首と肩に掛けて,両端を前に垂らすえり巻き / ずきんやそでの長く垂れ下がる部分
tipple	〈酒〉をちびちび飲み続ける / (常習的にまたは少し度を過ごして)酒を飲む / 酒
tippler	飲んべえ,飲んだくれ
tipsily	ほろ酔いで,千鳥足で
tipsiness	ほろ酔い,千鳥足
tipstaff	法廷警吏
tipster	(競馬・相場などの)予想屋,内報屋
tipsy	ほろ酔いの,千鳥足の
tiptoe	(用心して,こっそりと)つま先で歩く / つま先
tiptop	頂上,絶頂 / 気上の,飛び切り上等の(first-rate) / 申し分なく
tirade	長くて激しい非難攻撃の演説
tire	〈人など〉を『疲れさせる』,疲労させる / 〈人など〉を『飽きさせる』,うんざりさせる / 疲れる / (…に)飽きる《+of+名(doing)》
tire chain	タイヤチェーン(雪上などで滑り止めに用いる)
tire, tyre	『タイヤ』
tired	『疲れた』 / 《補語にのみ用いて》『飽きた』,うんざりした;(…に)飽きた《+of+名(doing)》 / (文句などが)陳腐な
tiredly	疲れて;飽きて
tiredness	疲労;けん怠
tireless	疲れない,疲れを知らない
tiresome	『飽き飽きさせる』,うんざりさせる(tedious) / やっかいな,うるさい
tiro	=tyro
tissue	〈U〉〈C〉(生物体の)『組織』 / 〈U〉〈C〉『薄織物』 / 〈U〉〈C〉水を吸収する柔らかな薄紙 / 〈C〉カーボンコピー用薄紙 / 〈C〉《a ~》(…を)織り交ぜて作ったもの《+of+名》 / =tissue paper
tissue paper	薄葉紙(果物など傷みやすいものを包んだり本のさし絵などを保護するために使う透明に近い薄紙) ティッシュペーパー
tit	軽打 / しっぺ返し / =titmouse / 乳首;乳房
titanic	巨大な,大力無双の / 《Titanic》タイタン(Titan)の
titanium	チタン,チタニウム(金属元素;化学記号は Ti)
titbit	=tidbit (うまい物の)ひと口; おもしろいニュース
tithe	《しばしば複数形で》十分の一税(教会の維持費や牧師の生活費にあてるため,土地などから上がる年間収益の10分の1を教会に献金する,または義務として納めること,またその金額) / 10分の1 / 《否定語とともに用いて》(…の)ほんのわずか《+of+名》 / …の十分の一税を納める / …に十分の一税を課する
titian	赤褐色,金褐色
titillate	…を快く刺激する,そそる
titivate, tittivate	〈特に,自分〉を飾る / めかす,おしゃれする
title	〈C〉(…の)『題名』,題目,題《+of(to)+名》 / 〈C〉『肩書き』,称号,爵位 / 〈C〉(スポーツの)選手権,タイトル / 〈C〉〈U〉(家屋・土地の)『所有権』;権利書;権限《+to+名》 / 〈C〉〈U〉正当な権利 / …に表題を付ける;…に称号(肩書き)を与える
title deed	(不動産などの)権利証書
title page	とびら,表題紙(題名・著者名・出版社の名と所在地などを記したページ)
