tone arm	トーンアーム(先端にピックアップを付けるレコード・プレーヤーの腕)
tone language	音調(声調)言語(中国語などのように音調の変化によって語の意味が変わる言語)
tone poem	音詩(詩的情念・情景や物語などを描こうとする器楽曲)
tone-deaf	音痴の
toneless	抑揚のない,色彩のない
tong	在米中国人の友愛団体
tongs	ものをはさむ道具,…はさみ
tongue	〈C〉『舌』 / 〈C〉〈U〉(食用の牛などの)舌,タン / 〈C〉『言葉』,言語(language) / 〈C〉『言葉遣い』,言い回し / 〈C〉話す能力 / 〈C〉(形・位置・働きが)舌に似たもの / 〈C〉細長い岬 / 〈C〉(靴の)舌革,べろ
tongue twister	早口言葉
tongue-lash	〈他〉…をきつくしかる / きつくしかる
tongue-tied	舌のもつれる;(恥ずかしさ・恐怖のため)思うことが言えない
tonic	強壮剤;養毛剤,ヘアトニック / (精神的に)元気付けるもの / =tonic water / 主音(音階の中心となる第1音) / 強壮にする,元気付ける / 音調の / (音楽で)主音の
tonic sol-fa	階名法(ドレミファ…の頭字で音調を表記する) トニックソルファ 記譜法
tonic water	トニックウォーター(ジントニックなどを作るときに混ぜる炭酸キニーネ水)
tonight	『今晩』,今夜 / 『今夜[は]』
tonnage	(排水量または容量で測る船舶の)トン数 / (積み荷や生産物の重量を測る)トン数 / (一国の船舶の)総トン数 / トン税(積荷のトン数に応じて支払う税金)
tonne	=metric ton メートルトン
tonneau	トンノー(昔の自動車の後部座席)
tonsil	扁桃腺(へんとうせん)
tonsillectomy	扁桃腺摘除術
tonsillitis	扁桃腺炎
tonsorial	理髪師の,理髪の
tonsure	剃髪(ていはつ)(司祭職に就くため,または修道士になるため頭髪全部またはその一部をそること) / 頭髪をそり落とした部分 / …を剃髪する
too	…もまた,その上 / 『あまりにも』,過度に,必要以上に / 『非常に』,大変,はなはだ(very, extremely) / 《話》《相手の否定の言葉に,肯定で応じて》ところがどうして
took	take の過去
