toxic	毒性の,有毒な / 毒による
toxicity	毒性,有毒性
toxicologist	毒物学者(専門家)
toxicology	毒物学
toxin	(特にバクテリアの)毒素
toy	『おもちゃ』,玩具 / 小さくてちゃちな物 / 《名詞の前にのみ用いて》 / おもちゃの,愛玩用の / (…を)いじくり回す,もてあそぶ《+with+名(doing)》
toyshop	おもちゃ屋
tp.	township
tpk.	turnpike
tr.	transitive / translated, translation, translator / transpose, transposition / treasure / troop / trill
trace	〈C〉〈U〉(過去に存在した人・物・事件などの)『跡』,形跡,痕跡;(人・動物・車などの通った)跡,足跡《+of+名》 / 〈C〉(…の)かすかなきざし,気味,微量《+of+名》 / 〈C〉(記録計器の描く)線 / …の『跡をつける』,を追跡する,〈足跡など〉をたどる / (…まで)…の由来(起源,原因など)をさかのぼる《+名+back(+back+名)+to+名》 / (複写紙などを使って)…を『[線をたどって]書き写す』 / 〈線・図形〉を『描く』《+out+名,+名+out》 / 〈文字〉をていねいに書く / …を捜しあてる,見つけ出す / (…に)『さかのぼる』《+back to+名》 / (馬車や荷車などに馬や牛などをつなぐための)引き革,引き綱
trace element	(生化学で)微量元素,痕跡[性]元素
traceable	(…まで)跡をたどることができる,さかのぼれる;(…に)起因する《+to+名》 / 見分けられる,描くことができる
tracer	追跡者(物) / 《米》紛失品(行方不明者)捜索係;行方不明者・紛失郵便物などに関する問い合わせ状 / 透写用器具,トレーサー / 曳光弾 / 追跡子(人体内などでの物質の行動を追跡するのに用いる放射性物質など)
tracery	狭間飾り(ゴシック建築の窓などの上部に飾る格子(網目)模様,または繊細な透かし彫り)
trachea	気管
tracheotomy	気管切開術
trachoma	トラコーマ,トラホーム(眼の伝染病)
tracing	跡を追うこと,追跡;透写,複写 / 〈C〉 / 透写(複写)によってできたもの(地図・図案など),透写図
tracing paper	透写紙,トレーシングペーパー
track	《しばしば複数形で》(車・船などの)『通った跡』,(人・動物の)『足跡』 / (人・獣などが通ってできた)『小道』 / 進路,航路 / (行動において)採るべき道,方針,人生航路 / 線路 / (競走のために設けられた)走路,トラック;《集合的に》トラック競技 / (録音テープの)音帯 / …の『跡をつける』,〈足跡〉をたどる;〈動物〉の臭跡を追う / 〈記録計の針が〉…の進路(軌道)を観察記録する;〈カメラが〉〈被写体〉を追いかけて写す / 〈泥・雨など〉の跡を付ける;〈床など〉に足跡を付ける《+up+名,+名+up》
track and field	(室内・野外での)陸上競技
track lighting	軌道式照明法(天井や壁に取り付けた軌道を移動させる)
trackage	鉄道線路;軌道延長
tracker	野生動物の足跡をたどる人,狩猟者
tracking station	(人工衛星などの)追跡部,観測局 追跡ステーション 追跡基地 追跡地上局 飛行観測ステーション
tracklayer	線路工夫(《英》platelayer)
trackless	道のない人,人跡未踏の,(雪などで)道の跡が消えた
tracksuit	トラックスーツ(運動選手用の保温着)
tract	広大な土地(地域),(土地・海・空などの)広がり《+of+名》 / (器官の)管,(神経の)索 / (おもに宗教・政治などの宣伝用の)小冊子,パンフレット
tractable	細工しやすい・従順な,御しやすい・扱いやすい
tractate	論文
traction	けん引(道路などの表面に沿って乗り物などを引くこと) / けん引された状態,引っ張られた状態 / けん引力
traction engine	(重い物を引っ張るための)けん引自動車
tractor	(農業用の)トラクター,(一般に)けん引[自動]車 / (トレーラーを引くための運転手台だけの)けん引用トラック
trad	トラッド(1920年代にニューオリンズに発生したジャズの一形式)
