trite	(表現・思想などが)ありふれた,陳腐な
tritium	トリチウム(水素の同位元素;化学記号はT)
triumph	(…に)『勝利を収める』,勝つ《+over+名》 / 勝利を喜ぶ,勝ち誇る / 〈C〉(…に対する)『勝利』,成功,功績《+over+名》 / 〈U〉勝利(成功)の喜び,勝ち誇り,得意の色
triumphal	凱旋(がいせん)の,勝利の
triumphant	勝った,成功した / 勝ち誇った,得意になった
triumphantly	勝ち誇って,大得意で,意気揚々
triumvir	(古代ローマの)三執政官の一人
triumvirate	(古代ローマの)三頭政治;三執政官の職(任期) / (一般に)三人委員会(役員会) / 三人組
triune	三者一体の;(体に神が)三位一体をなす
trivalent	(原子価が)3価の
trivet	(鉄製の)三脚ごとく / (食卓用の)小型金属台(熱いものなどをのせる,短い脚がついている)
trivia	ささいなこと,つまらないこと
trivial	『ささいな』,取るに足らない,つまらない / 平凡な,普通の,ありふれた
triviality	〈U〉取るに足らないこと;〈C〉つまらないもの
trivialize, trivialise	…をささいなものにする,平凡にする
trivium	(古代ローマの)三学科(七教養科目のうち文法・修辞学・論理学を指す)
trochaic	(詩の韻律で)強弱格の,長短格の
troche	トローチ,錠剤
trochee	強弱格,揚抑格;長短格(詩の各行の構成単位である)脚(foot)が強・弱(または長・短)の2音節でできていること
trod	treadの過去・過去分詞
trodden	treadの過去分詞
troglodyte	(有史前の)穴居(けっきょ)人 / 隠者(hermit)
troika	トロイカ(ロシアの3頭立て馬車またはそり) / (協調関係にある)三者グループ;三頭制
troll	輪唱する / (魚を)流し釣りする《+for+名》 / 〈歌〉を輪唱する / 輪唱歌 / (流し釣り用の)釣り糸[につける擬似餌] / トロール(北欧神話で洞穴または山中に住む巨人または小人)
trolley	(2輪または4輪の)手押し車 / (軌道上を手押しする)トロッコ / 触輪(電車のポールの先端にあり,架線に接する) / 《米》=trolley car / 《英》(食事などを運ぶ)手押し車,ワゴン
trolley car	路面電車,市街電車(street car)
trolleybus	トロリーバス
trollop	だらしのない女 / 自堕落な女,身持ちの悪い女
trombone	トロンボーン(高音を出す金管楽器)
trombonist	トロンボーン奏者
tromp	踏む(足で地面を踏みしめる)
troop	(特に,移動中の人・野生の動物の)『群れ』,一団《+of+名》 / 騎兵大隊,装甲車大隊 / 《複数形で》『軍隊』;警官隊;武装団 / ボーイ(ガール)スカウトの分隊(16‐32人で編成する) / 群れをなして動く / 〈軍旗〉を先頭に立てて分列行進をする
troop carrier	軍隊輸送機(船)
