tunneler, tunneller	トンネルを掘る人(機械)
tunny	=tuna
tup	雄羊
tuppence	=twopence
tuppenny	=twopenny
tuque	トーク(カナダで冬用に用いる毛糸の筒形の帽子)
turban	(アラブ・インドの男が頭に巻く)ターバン / (婦人用の)ターバン
turbaned	ターバンを巻いた
turbid	(液体が)濁った,不透明な / (煙・雲などが)濃い・厚い / (感情・思考などが)混乱した
turbidity	混濁 / 濃密
turbine	タービン(水・蒸気・ガスの力によって回転する原動機):(a steam turbine:蒸気タービン)
turbofan	ターボファン(ジェット推進機関の一種)
turbojet	タービン式噴射推進機関(turbojet engine) / ターボジェット機
turboprop	ターボプロペラエンジン / ターボプロップ[航空]機
turbot	ヒラメの一種(ヨーロッパ産);〈U〉その肉
turbulence	荒れ狂うこと,激動,混乱;動乱,騒動 / 乱気流
turbulent	荒れ狂う,混乱した / 不穏な,騒がしい,動乱の
turd	《禁句》糞,くそ / 《俗》いやなやつ
tureen	(スープなどを入れるふたつきの)深いさら
turf	芝土,芝地 / 〈C〉(移植用などに切り取った)芝土の一片 / 〈C〉(燃料用の)泥炭塊 / 《the ~》競馬場,競馬 / 〈地面〉を芝でおおう
turf accountant	(競馬などの)呑屋,賭元(bookmaker)
turgid	ふくれた,はれあがった(swollen) / (文体など)大げさな,誇張した
turgidity	はれ,ふくれ / (文体などの)誇張
turkey	〈C〉『シチメンチョウ』(七面鳥) / 〈U〉シチメンチョウの肉 / 〈C〉《話》失敗作,だめなもの,だめな人,いやなやつ
turkey buzzard	ヒメコンドル(米国南部・中南米産のはげた頭の鳥)
turmeric	ウコン(東インド産のショウガ科の多年生植物) / ターメリック(ウコン根茎の粉;香辛料・薬用)
turmoil	騒ぎ,混乱,動揺
turn	…を『回す』,回転させる / 〈角など〉を『曲がる』,迂回(うかい)する / …を『ひっくり返す』,裏返す / …の『向きを変える』,を方向転換させる / …を向ける / …を『変化させる』,変質(変色)させる / …を行かせる,追い払う / 〈ある年齢・時刻・数量など〉を越す,過ぎる / 《副詞[句]を伴って》…を乱す,めちゃめちゃにする / 〈胃〉をむかつかせる;〈心・頭など〉を混乱させる,狂わせる / …を折る,曲げる,ねじる;〈足首〉をくじく / …に丸みをつける;(旋盤・ろくろで)…を作る / …をきれいに形作る;〈文・曲など〉をうまく作る / 〈商品・資金〉を回転させる;〈利益〉をあげる / 〈土・畑など〉を掘り返す(plow) / (何かを軸・中心にして)『回る』,回転する / (…に)『進路を変える』;〈道路などが〉(…に)曲がる;折れる;〈風などが〉(…に)向きを変える《+to(toward)+名》 / 〈人が〉(…に向かって)ふり向く《+toward+名》,(…から)そらす《+from+名》 / 〈人が〉ころがる,寝返りを打つ / 〈物が〉さかさになる,裏返しになる / (…に)心(注意など)を向ける《+to+名》;(…から)心(注意など)をそらす《+from+名》 / 変わる,なる / 〈木の葉などが〉変色する;〈牛乳などが〉変質する,腐敗する / 〈胃が〉むかつく;〈心・頭が〉混乱する,変になる;〈頭が〉ふらつく / 〈パイプなどが〉曲がる,たわむ / 〈C〉『回転』,回ること / 〈C〉『方向転換』,曲がること,折り返し / 〈C〉曲がり目;曲がり角,折り返し点 / 〈C〉《a turn》(状況などの)変化,転機;《the turn》(…の)変り目,転換期《+of+名》 / 〈C〉『順番』,番 / 〈C〉《a turn》一回りの散歩(ドライブ);一仕事 / 〈C〉行い,行為 / 《a turn》言い回し,言葉遣い / 〈C〉(…の)性向,気質;素質,才能《+『for』+『名』(do『ing』)》 / 〈C〉形,格好 / 〈C〉《話》(めまい・吐き気などの)発作《+of+名》 / 〈C〉《話》ショック,はっとすること / 〈C〉必要,急場 / 〈C〉見方,解釈;くふう,ひねり(twist) / 〈C〉《おもに英》(寄席などの)出し物,演芸
turnabout	変節,転向;裏切り[行為]
turnaround	(自動車などの)方向転換[できる場所] / (売上げなどの)好転 / =turnabout
turnbuckle	引き締めねじ,締め金具
turncoat	裏切り者
turncock	(水道の)給水栓,元栓
turndown	(えりなどが)折り返しの
turner	とんぼ返りをする人 / ろくろ師;旋盤工・(調理用)フライ返し
turning	(…への)曲がり角《+to+名》
turning point	転換点,転機
turnip	〈C〉カブ(アブラナ科の植物) / 〈C〉カブの根
turnkey	〈C〉一括で設置・運用するシステム
turnoff	(大きな道路から分岐する)わき道
turnout	〈C〉(集会の)出席[者] / 〈U〉《しばしば a~》生産高,でき高(output) / 〈C〉《米》(道路の)車の待避所 / 〈C〉身じたく,装い / 〈C〉(部屋,引き出しなどの)大掃除
turnover	〈C〉(車などの)転覆,転倒 / 〈U〉《しばしば a…》(一定期間内の)総取り引き高,売り上げ高 / 〈U〉《しばしば s…》(一定期間内の)補充労働者の総数(割合) / 〈U〉《しばしば a…》(一定期間内の)商品の回転率 / 〈C〉〈U〉(半円形または三角形の)折り重ねパイ
turnpike	有料高速道路
turnstile	回り木戸,回転式木戸(回転する4本の腕木から成る)
turntable	転車台(機関車などを載せてその向きを変えるための回転台) / (レコードプレーヤーの) 回転盤
turnup	《英》=cuff / 《話》予期せぬでき事
turpentine	〈U〉テレピン油
turpitude	邪悪,卑劣
turquoise	〈C〉〈U〉トルコ石(青緑色の準宝石) / 〈U〉青緑色 / 青緑色の
turret	(大きな建物や城の上部の角に取りつけた)小塔,やぐら / (軍艦・戦車などの)回転砲塔
turreted	小塔のある;砲塔のついた
turtle	海ガメ
turtledove	コキジバト(柔らかな鳴き声と夫婦仲がむつまじいので有名)
turtleneck	(また polo neck)タートルネック,とっくりえり / タートルネックのセーター
tush	ちぇっ(非難を含む不満を表す)
tusk	(象などの)きば / きばのような歯(突出物) / …をきばで突く(掘り返す)
tusker	(きばのある)象
tussle	激しい格闘,つかみ合い / (…と)激しく格闘する,つかみ合う《+with+名》
tussock	草むら,茂み
tut	ちぇっ,しっ(じれったさ・軽べつ・非難などを表す)
tut-tut	=tut
tutelage	保護,後見 / 《時に a~》保護(後見)を受けていること;保護(後見)の期間
tutelar	tutelary
tutelary	(人・物の)保護者(後見人)の地位にある,保護(後見)の
tutor	(個人あるいは少人数を教える,時に住み込みの)家庭教師・《米》(大学でinstructorの下位の)講師 / ・《英》(大学生の)個別指導教官(教授) ・〈人〉に(…の)家庭教師をする,個人教授をする《+名〈人〉+in+名》・…をしつける,仕込む・家庭教師をする
tutorial	家庭教師の;個人指導の / (大学)個人指導時間
tutti-frutti	(アイスクリーム・菓子に使う)刻んだ果物の砂糖づけ
tutu	チュチュ(バレーダンサーが着るひだのついた短いスカート)
tux	=tuxedo
tuxedo	タキシード(男子用略式礼服で晩さん会用)
twaddle	むだ口,たわごと;くだらない著作,駄作 / むだ口をきく
twain	二つ(二人,2個;対)
twang	(弦楽器・鉄線などをはじいた時の)鋭く響く音,ブーンと鳴る音 / 鼻にかかった声,鼻声 / …に鋭い振動音を出させる,をブーンと鳴らす / 〈弦などが〉ブーンと鳴る
twat	いやなやつ
tweak	〈耳・鼻〉をつまむ,ひねる / (耳・鼻を)引っ張ること,ひねること
twee	かわいい,きどった ことさらにすました
tweed	ツイード(一種のスコッチ織りの布地) / 《複数形で》ツイードの服
tweedy	ツイード製の,ツイードに似た / (気楽な生活のしるしとして)ツイードを着た / 気楽な生活を好む,堅苦しくない
tweet	(小鳥の)さえずり,チュッチュッ / さえずる,チュッチュッと鳴く(chirp)
