twin set	ツインセット(同色にカーディガンとセーターのアンサンブル)
twine	『より糸』,よりひも;麻糸,麻ひも / より合わせ,編み合わせ;からみつき / …を『より合わせる』,編む;(…に)…をより合わせる《+名+into+名》 / (…に)…をからみつかせる《+名+around(about)+名》 / (…に)『からむ』《+around(about)+名》
twinge	(体・心に感じる)ずきんとする痛み
twinight	(野球の試合で)ダブルヘッダーの 名詞は「twinighter」
twinkle	『きらきら光る』 / 〈目が〉(喜びなどで)輝く《+with+名》 / 〈まぶたが〉ばちばち動く,〈踊る人の足などが〉ちらつく / (…の)『きらめき』,ちらつき《+of+名》 / (…の)輝き《+of+名》 / =twinkling
twinkling	きらきら光る / またたく間,瞬間
twirl	…をくるくる回す,振り回す / …をひねくり回す,いじくり回す / くるくる回る / くるくる回すこと;くるくる回すこと
twirler	(バトンなどを)くるくる回す人
twirp	=twerp
twist	〈糸・なわなど〉を『よる』,より合わせる,(糸・なわなどに)…をよる《+名+into(in)+名》 / …をよって(より合わせて)作る,なう;(…から)…をよって作る《+名+from(out of)+名》 / (…に)…を『巻きつける』,からませる《+名+around(《英》round)+名》 / …をねじる,よじる,しぼる / 〈足首・関節など〉をくじく,ねんざする / 〈顔など〉をゆがめる,しかめる;…をゆがめて(…に)する《+名+into+名》 / 〈言葉・文章など〉の意味を曲げる,を曲解する / …を回す,の向きを変える / よじれる,ねじれる,ゆがむ / 身をよじる,体をくねらせる / 縫うように進む,曲がりくねる / 〈C〉『より合わせること』;より,ねじれ,ゆがみ / 〈C〉より合わせて(よって)作ったもの(より糸,なわ,ねじりパンなど) / 〈C〉(意味などを)ねじ曲げること,曲解,こじつけ / 〈C〉(道・流れなどの)曲がり,くねり / 〈C〉(性質・態度などの)癖,かたより,ゆがみ / 〈C〉(事件などの)意外な急変 / 〈C〉〈U〉(野球で)カーブ,曲球 / 《the ~》ツイスト(1960年代に流行した体をひねって踊る強烈な踊り)
twist drill	ねじれきり(ドリル)
twister	(他人をだます)不正直者 / むずかしい仕事,難問 / 《米話》旋風,つむじ風 / ツイストを踊る人 / (野球で)曲球
twisty	曲がりくねった
twit	(…のことで)〈人〉をあざける,からかう《+名〈人〉+about(on,with)+名》 / 《英俗》ばか,あほう
twitch	(無意識に)ぴくんと動く / (…を)急にぐいと引く《+at+名》 / 〈体の一部〉をぴくっと動かす / …を急にぐいと引く(引っ張る) / (無意識に)ぴくぴく動くこと,(筋肉の)けいれん / (…を)ぐいと引くこと《+at+名》
twitter	〈鳥が〉さえずる / (神経質に興奮して)(…について)ぺちゃぺちゃしゃべる《+on(about)+名》 / くすくす笑う / 《the ~》(鳥などの)さえずり,さえずる声 / 《a ~》(興奮による)身震い,そわそわ
twittery	よくさえずる / 震える,身震いする
two	〈C〉(数の)『2』,2の記号 / 〈U〉2時,2分;2歳 / 《複数扱い》二人;2個 / 〈C〉二つ(二人,2個)1組のもの / 〈C〉(カードゲーム)2の札,(さいころの)2の目 / 2の;二人の;二つの,2個の / 《補語にのみ用いて》2歳の(で)
two bits	《米話》25セント(twenty-five cents, quarter) つまらないもの つまらないこと 言い分 少額
two step	ツーステップ(2拍子で踊る社交ダンス) = two-step
two-bit	《米俗》取るに足らない,つまらない
two-edged	(剣などが)両刃の / (議論などが,良くも悪くも)両方の意味にとれる
two-fisted	強くて元気のよい
two-handed	両手で使う / (特に道具などが)二人用の / 両手のある,両手のきく
two-piece	ツーピースの(服が上下から成る) / ツーピース
two-ply	(ベニヤ板などが)2層の;(トイレット用紙などが)2重の;(織物が)2重織りの / (より糸などが)2本よりの
two-seater	二人乗りの自動車(飛行機)
two-time	《話》〈男友だち・女友だち〉を裏切る / 恋人をだます
two-timer	裏切り者,密通者
two-tone	《名詞の前にのみ用いて》2色の,ツートンカラーの
two-way	両面交通の / (ラジオなど)(送信・受信)2方向の
twofaced	2面ある / 裏表のある,偽善的な
twofer	(劇場の入場券が1枚で2人分買える)割引クーポン券
twofold	2倍の,2重の / 2倍に,2重に
twopence	〈U〉2ペンス[の金額] / (またtow penny piece)〈C〉2ペンス青銅貨
twopenny	2ペンスの / 安っぽい,つまらない
