unchaste	身持ちの悪い,不貞な,ふしだらな
unchecked	抑制(阻止)されない / (答案などが)調べて(検査して)いない
unchristian	(宗教が)キリスト教でない / キリスト教的精神に反する
uncial	アンシアル書体の / アンシアル書体(4‐8世紀にギリシア・ラテンの写本に用いられた)
uncircumcised	割礼を受けていない / ユダヤ人でない,異邦人の / 異教[徒]の
uncivil	無礼な,不作法な
uncivilized, uncivilised	未開の,野蛮の
unclad	unclotheの過去・過去分詞形 / 裸の,着物を着ていない
unclasp	…の留め金をはずす;〈留め金〉をゆるめる
uncle	『おじ』 / おばの夫 / 《話》(年輩者に)おじさん,おっさん
unclean	汚い,不潔な / (道徳的に)汚れた
uncleanly	不潔な;汚らわしい(発音に注意:アンクレンリです) / 不潔に;汚らわしく
uncleanness	不潔[さ]
unclear	はっきりしない
unclench	〈堅く締めたもの〉を開く / 開く
uncloak	…の外とうを脱がせる / …をあばく,暴露する
unclog	…から障害を除く,のじゃまをなくす
unclose	…を開く,あける / …を現す,あばく / 開く,あく
unclothe	…の衣服を脱がす,を裸にする
unclouded	澄み切った,かげりのない
uncoil	〈巻いたもの〉をほどく,解く / ほどける,解ける
uncolored, uncoloured	色のついていない / 誇張されていない,ありのままの
uncomfortable	(物が)『心地よくない』 / (人が)『不愉快に感じる』
uncomfortably	心地よくなく,不愉快に
uncommitted	拘束されていない / 未遂の;約束
uncommon	『普通でない』,めったにない,並はずれた
uncommunicative	打ち解けない,話したがらない,無口な
uncompromising	妥協(譲歩)しない;がんこな
unconcern	無関心,むとんじゃく / (心配事に)平気,平然
unconcerned	《補語にのみ用いて》《be unconcerned with+名》(…と)かかわりがない / 《補語にのみ用いて》(…に)興味がない,無関心な《+with+名》 / (…を)心配しない,気にしない《+about+名》
unconditional	無条件の,絶対な
unconditioned	無条件の,絶対の / (心理学で)生来の,本来の
unconnected	連結されていない,離れた,別々の / 関係のない,関連のない
unconquerable	征服(克服)できない
unconquerably	征服(克服)できないほどに
unconscionable	良心のない,恥ずべき(shameful) / 不当な,不合理な,法外な
unconscionably	非良心的に,不謹慎にも / 不当に,不合理に
unconscious	(一時的に)『意識を失った』,人事不省の / 《補語にのみ用いて》(…を)『気付いていない』,知らない《+of+名(doing)》 / (動作などが)無意識の,何気なしの / (精神分析で)無意識
