unheeded	注意されない,顧みられない,無視された
unhinge	〈ドアなど〉のちょうつがいをはずす / 〈人・心〉を乱す,狂わせる
unhitch	〈馬など〉を解き放す;〈連結してあるもの〉をはずす
unholiness	不浄,不道徳,汚れ,不信心
unholy	神聖でない,不浄の / 罪深い,不道徳な / 《話》ひどい,とんでもない
unhook	…のホック(留め金)をはずす,をかぎからはずす / 〈ホックやかぎが〉はずれる
unhoped-for	思いがけない,予期しない,意外な
unhorse	〈人〉をくら(馬)から落とす,落馬させる
unhurt	けが(傷)のない
unicameral	(議会が)一院制の
unicellular	単細胞の
unicorn	一角獣(想像上の動物) / (紋章として使われるライオンの尾をした)一角獣
unicycle	(スポーツまたは曲芸用の)一輪車
unidentified	未確認の,正体不明の
unidirectional	一方だけに作用する,一定方向の
unification	(…の)統一,合一《+of+名》
uniform	(標準・状態などが)『不変の』,一定の / (形・型などが)『同一の』,一様な,画一的な / (特に学校・警察・軍隊などの)『制服,』ユニフォーム / …に制服を貸与する(着せる) / …を同一(一様)にする
uniformed	制服を着た,制服姿の
uniformity	〈U〉一定,不変;〈C〉一定の物 / 〈U〉同一性,画一性;〈C〉画一的な物
uniformly	変わらずに,一様に,一律に,むらなく
unify	…を一つにする,統一する,結束させる(unite) / …を同一(一様)にする
unilateral	一方の,片側だけの
unilateral disarmament	一方的軍備廃棄,一方的軍縮
unimaginable	想像できない,思いもつかない
unimaginative	想像力のない,独創性に欠ける
unimpeachable	非難(疑問)の余地がない,申し分のない
unimpeachably	申し分なく,疑わしくなく
unimportant	『重要でない』,取るに足りない
uninformed	情報が不十分な,知らされていない・知識のない・十分な知識[情報]をもたない(でする) ・〈人が〉知らされていない・無知の
uninhabitable	住居に適さない,住めない
uninhabited	人の住まない,無人の
uninhibited	(特に言動が)抑制されない,拘束のない,おおっぴらの
unintelligent	理解力(知性)に欠ける,愚かな
unintelligible	(話し方・文章などが)理解できない,訳の分からない
unintelligibly	分かりにくく,理解しがたく
unintentional	故意でない,わざとしたのではない
unintentionally	わざとでなく,無意識に
uninterested	無関心な;(…に)興味をいだかない《+in+名》
uninterrupted	とぎれない,連続した
uninvited	招かれていない;差し出がましい
union	〈U〉(…の,の間の)『結合』,合同,合併;調和,一致《+of(between)+名》 / 〈C〉『結合したもの』,結合体,統一組織 / 《the U-》アメリカ合衆国;(南北戦争時に)連邦政府側についた北部諸州 / 《the U-》英連合王国(1706年イングランドとスコットランドが合併) / 〈C〉『労働組合』,同盟,ユニオン / 〈C〉〈U〉結婚[生活] / 〈C〉連合旗章(米国国旗の白星;英国国旗の3本十字の三国連合旗章など) / 〈C〉(機械の部品をつなぐ)接合管
union shop	ユニオンショップ(全従業員が労働組合に加入する制度の企業体)
unionism	(特に)労働組合主義 / 《U-》(特に米国南北戦争時の)連邦主義 / 《英》連合主義(大英帝国時代に全属領を中央政府に統合しようとした政策)
unionist	労働組合員,労働組合主義者 / 《U-》《米》(南北戦争のとき南北分離に反対して)連邦主義者 / 《U-》《英》(アイルランド独立に反対した)統一党員
unionize, unionise	…を労働組合に組織する;…を労働組合に加入させる / …を労動組合の規約に従わせる
unique	『ただ一つしかない』,唯一[無二]の / 『比類のない』,無比の,卓絶した / 《話》『珍しい』(rare);独特の,特異な
unisex	(デザイン・スタイルなどが)男女両方の共通の / 男女両用であること
unisexual	(動植物が)単位の,雌雄いずれかの器官しかない
unison	(…との)一致,調和《+with+名》 / ユニゾン,同音;斉唱
unit	《集合的に》『構成単位』;(学習の)『単元』;(全体を構成する)部門,部隊 / (特定用途の)設備[一式],器具[一そろい] / (測定基準としての)『単位』;(…の)単位《+of+名》,(…する)単位《+for doing》 / 正の最小整数(1)
unit pricing	単位価格表示
unit trust	投資信託会社
unite	…を『結合させる』,一つにする / (結婚によって)…を結びつける《+名+in+名》 / 〈性質・才能などを〉兼ね備える,あわせ持つ / 結合する
united	一致協力した,協調の / 共同した,提携した,団結した / 連合した,合併した
unitize, unitise	…を一つ[の単位]にまとめる,単一体(統一体)にする
unity	〈U〉『単一性,統一性』;〈C〉単一体,統一体 / 〈C〉〈U〉(古典劇構成での)一致 / 〈U〉(…との)『協調』,調和《+with+名》
univ.	universal / university
univalent	(化学で)一価の
univalve	単殻軟体動物(カタツムリなど)・単殻の
universal	『すべての人々の』,万人共通の;全世界の / 普遍的な,一般的な,全般的な
