unsaturated	(有機化合物が)不飽和の / (一定温度で)さらに溶解可能の
unsavory, unsavoury	いやな味(におい)がする,まずい,うまくない / (道徳的に)悪い,不快な
unsay	〈言ったこと〉を取り消す,撤回する,言わなかったことにする
unscathed	無傷の,けがをしていない
unschooled	教育(訓練)を受けていない,無学の
unscientific	非科学的な,科学的でない
unscramble	〈混乱したもの〉を元どおりにする,整頓する / 〈混線した通信など〉を分かるようにする,〈暗号〉
unscrew	…のねじを抜く(緩める),を回してはずす / ねじが抜ける(緩む)
unscripted	(ラジオ・テレビ放送で話題・談話が)台本なしの,草稿なしの
unscrupulous	善悪をわきまえない,無節操な,破廉恥な
unseal	…の封を切る,を開封する;…を開く(open)
unseasonable	時候(季節)はずれの,不順の / 時を得ない,その場にふさわしくない
unseasonably	時候(季節)はずれに;時(場所)をわきまえず
unseat	(馬が)〈騎手〉を[くらから]振り落とす(unsaddle) / …を免職(失格)させる;〈議員〉の議席をなくす
unseeing	目で見ていない,気づいていない
unseemly	時(場所)をわきまえない,無作法な / 時期(場所)をわきまえずに
unseen	気づかれない,見られていない / 目に見えない / 下調べしていない,即席の
unselfish	利己的でない,私心のない,寛大な
unselfishness	無私,無欲
unserviceable	(壊れたり使い古して)使用できない,役に立たない
unsettle	〈人心〉を動揺させる,不安にさせる / 〈固定・安定した物〉をぐらぐらにする,不安定にする
unsettled	『落ち着かない』,不安定な / 『未決定の』;未解決の / 未払いの,清算していない / 人のいない,定住民のない
unsex	…を性的能力を奪う,〈特に女性〉を女らしくなくする
unsexed	(ひなが)雌雄に選別されていない
unshackle	…をかせをはずす;…を解放する
unshakable	揺り動かすことのできない,揺るぎない,確固とした(firm)
unshaken	揺れない,びくともしない
unshaved	陰のない;(絵画が)陰影をつけない / 日よけ(おおい)のついていない;(電気スタンドなどが)シェードのついていない
unsheathe	〈刀など〉をさやから抜く
unshod	《文》(人が)靴をはいてない,はだしの / (馬が)蹄鉄を打ってない
unshorn	(羊などが)毛を刈取られていない
