unutterable	言いようのない,言語に絶する / 発音できない
unutterably	言語に絶するほどに,非常に
unvarnished	ニスを塗ってない / (言葉・描写などが)飾りのない,ありのままの
unveil	…のベールを取る,おおいをはずす / …を明らかにする,打ち明ける / ベールを脱ぐ;正体を明らかにする
unversed	(…を)経験していない,(…に)熟達していない《+in+名》
unvoiced	声に出さない,口に出さない / 無声の,無声音の
unwanted	要求されない,不必要な
unwarranted	正しいと認められない,是認されない,不当な
unwary	油断した,不注意な
unwed	(特に女性が)結婚していない,未婚の
unwelcome	歓迎されない,喜ばれない
unwell	(特に短い時間)体の具合が悪い,気分がすぐれない / 月経中である
unwholesome	体に悪い,健康に害がある / (道徳的に)有害な,不健全な
unwieldiness	扱いにくいこと / ぶかっこうな(見苦しい)こと
unwieldy	(形・大きさの点で)持ちにくい,扱いにくい,動かしにくい / ぶかっこうな
unwilling	気が進まない,いやいやながらの,不本意の
unwillingly	いやいやながら,しぶしぶ
unwind	〈巻いたもの〉をほどく / 〈もつれ〉を解く / 〈巻いたものが〉ほどける / 《話》緊張がほぐれる
unwise	分別のない,思慮が足りない,ばかな
unwitting	知らず知らずの,無意識の
unwonted	いつにない,まれな
unworthy	『価値のない』,つまらない / 《補語にのみ用いて》(…に)『ふさわしくない』,あるまじき《+of+名》
unwound	unwind の過去・過去分詞
unwrap	〈包んだ物〉をあける;…の包装を解く / 開く
unwritten	書かれていない,記録されていない;口頭の / (成文化されてなく)慣習による
unyielding	(人・性格が)屈しない,がん固な;(物が)曲がらない,堅い
unzip	…のチャック(ジッパー)を開ける / チャック(ジッパー)が開く
up	《上への動作》『上へ』,上のほうへ / 《上の位置》『上に』,上のほうで / 『起こして』,立てて,直立して / (地図・紙面などの)『上へ(に)』,北のほうへ(に) / (遠くから)『近くへ,中心へ』;(周辺から)中心へ;(川下から)川上へ;(地方から)都会へ / (大きさ・量・価値・地位などが)『上のほうへ』,高く / (話者,話題の場所へ)『近づいて』,追いついて / 『活動して』,活動状態に / (物事・人が)現れて・起こって / 『すっかり』,完全に,終わって,…し尽くして / 保管(貯蔵)して;くるんだ(閉ざした)状態に / 《動詞を省略した命令文で》 / (野球・クリケットで)打席へ / (競技で)勝ち越して / (対抗の競技で)おのおの / 《移動・位置》『…の高いほうへ』,をのぼって;…の上のほうに / (川の)『上流へ』;(流れ・風)に逆らって;…の内陸(奥地)のほうへ / (自分が今いる所,またはある地点から前方へ)『…に沿って』 / 『上へ向かう』,(列車などが)上りの;上り坂の,(情勢などが)上向きの / 上り,上昇,上り坂 / 上昇気運,向上,幸運 / 上りの列車(バス・エレベーターなど) / 値上がり / …を持ち上げる / …を増大する,〈賃金・物価など〉を引き上げる / 〈人〉を昇進させる / 立ち上がる,起き上がる / 《and を伴って》急に(突然)…する
up and up, up-and-up	正直な 信用できる 公正な
up-and-coming	(人が)成功しそうな,有望な,将来性のある
up-to-date	『最新の』,最新流行の,当世ふうの
up-to-the-minute	最新の 最新情報を採り入れた = up to the minute
upbeat	(音楽で)上拍,弱拍 / 陽気な,楽天的な
upbraid	(…で)〈人〉をひどくしかる;〈人〉を非難する《+名〈人〉+with(for)+名(doing)》
upbringing	(子供の時に受けた)教育,しつけ
upchuck	吐く,もどす / …を吐く,もどす
upcoming	なって来る,やがて起こる(現れる),まもなく公開される
upcountry	内陸の,奥地の(から来た) / 内陸に(で),奥地へ(で)
update	…を最新のものにする / 最新情報
updraft	上昇気流,上向き通風
upend	…を逆さまにする,逆さまに立てる / 《話》〈人〉をやっつける
upfront	先行投資の;前もっての / 人目をひく,顕著な / 率直な
upgrade	上りこうばい,上り坂 / 上り坂の,上り坂にある / 〈人〉を昇格させる / …の品質を改良する
upheaval	(地面の)隆起 / (社会状態などの)大変動,激変
upheld	uphold の過去・過去分詞
uphill	上りの,上り坂の / 丘(坂)の上へ;上の方へ
uphold	…を『支える』,持ち上げる / …を『支持する』,弁護する(support) / 〈判決など〉を確認する,支持する(confirm)
upholder	支持者,後援者
upholster	〈いす・ソファー〉に詰め物をする,クッション(おおい)を取り付ける / 〈部屋〉にじゅうたん(家具)を取り付ける
upholsterer	いす張り職人;室内装飾人
upholstery	いす張り業(技術);室内装飾業 / 《集合的に》(いす張り用の)詰め物,掛け布;(カーテン・じゅうたん・いすなどの)室内装飾品
upkeep	(土地・家屋・機械などの)維持 / 維持費
upland	高地,台地 / 高地の
uplift	…をあげる,持ち上げる / 〈精神〉を高揚する,〈意気〉を盛んにする / (社会的・道徳的・知的に)…を向上させる / 持ち上げること;(道徳的・社会的・知的)向上;精神的高揚 / (土地の)隆起
upmost	最高の 最上の 一番の 最重要の 真っ先に =uppermost
upon	『…の上に』
upper	(場所・位置が)『上のほうの』,上部の / 『上級の』,上位の / 奥地の,上流の / 靴の甲皮(こうがわ)(かかとより上の部分) / 覚醒剤(これの反意語はdowner:鎮静剤)
upper class	上流階級(社会) =upperclass =upper-class
upper crust	〈C〉〈U〉最上流階級, 貴族階級 / 〈U〉《the~》《単数・複数扱い》《話》
upper hand	優勢,優位,支配
uppercase	大文字[活字] / 大文字の(で印刷された)
upperclass	上流の,上流階級の / (米国高校・大学で)上級の
upperclassman	(大学・高校の)上級生(3年生または4年生)
uppercut	(ボクシングで)アッパーカット / …にアッパーカットを食わせる
uppermost	最上の,最高の / 最優先の,最有力の / 最高に,最上に;まっ先に
uppish	高慢な,生意気な
uppity	=uppish
upraise	《おもに文》…を持ち上げる,起こす / 〈地層〉を隆起させる
upright	『まっすぐに立った』,直立した / 『心のまっすぐな』,正直な / まっすぐなもの,(建築の)直立材 / (上方に)まっすぐに,直立して
upright piano	竪型ピアノ
uprising	暴動,反乱
uproar	大騒ぎ,騒動;騒音
uproarious	騒々しい,騒然たる / 爆笑させる,ひどくおかしい
uproot	…を根こそぎ引き抜く / …を根絶する / (慣れ親しんだ場所から)〈人〉を追い立てる
ups and downs	上がり下がり 上下 高低 浮き沈み 好調と不調 栄枯盛衰 良い時と悪い時 気持ちの浮き沈み
upscale	収入と学歴が平均以上と見なされる階層
upset	…を『ひっくり返す』,転覆させる / 〈計画など〉を『だめにする』,だいなしにする,狂わす / 〈人〉の『心を乱す』,をろうばいさせる / 〈体など〉の調子を狂わせる / 《米》(競技などで)〈相手〉を思いがけなく負かす / ひっくり返った / (計画などが)だいなしの,狂った / 《補語にのみ用いて》(精神的に)混乱した,ろうばいした / (体などの)調子がおかしくなった / 〈U〉〈C〉『転倒』,転落 / 〈C〉(計画・心などの)『混乱』,乱れ;(体の)不調 / 〈C〉《話》けんか / 〈C〉《米》(競技などでの)番狂わせ
upshift	(自動車の)ギアを高速伝動に入れる / ギアを高速伝動に入れること シフトアップ シフトアップする
upshot	結果,結末,結論(outcome)
upside	上側,上部,上方
upside-down	『さかさに』,転倒して / 混乱して,ごたごたと= upside down / さかさまの,転倒して / 混乱した,乱雑な
upsilon	ユプシロン(ギリシヤ語アルファベット第20字Υ,υ;英語のU,uまたはY,yに相当)
upstage	舞台の奥へ(で) / 舞台の奥の / 《話》お高くとまった / 〈他の俳優〉から観客の注意をそらす,を食う,の人気をさらう
upstairs	階上へ(で),2階へ(で) / 階上の,2階の / 階上;2階;(…の)上の階《+of+名》
upstanding	直立した;りっぱな体格の / (性格が)まっすぐな,りっぱな,正直な
upstart	(成功したことを鼻にかけている)成り上がり者 / 成り上がりの
upstate	州の北部の,中心都市から離れた / 州の北部へ(で)
upstream	上流に,流れをさかのぼって / 上流の
upstroke	(特に)上へ向けた筆使い,(運筆の)はね
upsurge	(波・感情などの)わき上がり,高まり
upswing	(振り子などの)上振れ / (…での)著しい上昇,発展,躍進《+in+名》
uptake	〈U〉《the uptake》《話》理解,了解 / 〈C〉(鉱山などで空気や煙の)吸い上げパイプ
uptick	(株価などの)上昇 上向き
uptight	緊張した、いらいらした;(…を)気に病んでいる《+about+名》
uptown	(都心から離れた)山の手,住宅地域 / ({名}{副}とアクセントの違いに注意)山の手の / 山の手へ(で)
upturn	(価格などの)上昇;(事業などの)好転《+in+名》
upturned	先が上を向いた / 《名詞の前にのみ用いて》ひっくり返った,掘り返された
upward	『上のほうへ』,上向きに / (地位・階級などが)『上位へ』 / (数量などが)…以上,さらに多く / (…から)以降 / (大都市・水源・内陸)のほうへ / 『上向きの』,上昇する
upward mobility	経済的・社会的な地位向上に傾向(可能性)
upwards	=upward
