V	vanadium の化学記号
V sign	Vサイン(人さし指と中指を立ててV字形を作り勝利を表す)
V,v	〈C〉英語アルファベットの第22字 / 〈C〉V字形をしたもの / 〈U〉(ローマ数字の)5
V-1	V1号[ロケット爆弾](第二次世界大戦中,ドイツ軍が英国攻撃用に使った)
V-2	V2号[ロケット爆弾](第二次世界大戦末期に,ドイツ軍が英国攻撃用に使った)
V-One	=V-1
V-neck	ネック(V 字形のえりぐり)
V-two	=V-2
V.	vice / village
V.G.	very good / Vicar-General 司教総代理
V.P.	Vice-President
VA	Veterans Administration 在郷軍人局 / Vice Admiral
VADM	Vice Admiral
VAT	value-added tax
VC	Victoria Cross
VD,V.D.	venereal disease
VI	Virgin Islands
VIP,V.I.P.	重要人物
VOA	Voice of America
VSTOL	vertical short takeoff and landing 垂直短距離離着陸
VTOL	vertical takeoff and landing 垂直離着陸
Va.,VA	Virginia
Vac	大学の休暇[vacation の略]
Valencia	バレンシア(スペイン東部の港のある都市)
Valentine's Day	聖バレンタインの祝日(2月14日;聖バレンタイン殉教の日;この日に男女とも異性に贈物やカードを贈る風習がある)
Valhalla	バルハラ(チュートン神話で Odin の殿堂;戦死した英雄の霊が祭られている)
Van Allen belt	ヴァンアレン(放射)帯
Van Gogh	バン・ゴッホ(Vincent Van Gogh;1853‐90;オランダの画家)
Vancouver	バンクーバー(カナダの British Columbia 州の南西部にある港市) / バンクーバー島(バンクーバーの南西海岸の沖にある島)
Vandyke	(またVan Dyck)バンダイク(Sir Antony Vandyke 1599‐1641;オランダの肖像画家) / (またVandyke beard)〈C〉バンダイクひげ(先の細くとがったあごひげ)[バンダイクの描いた肖像画によくこの形のひげがあることから]
Vaseline	ワセリン(石油から作る油性物質・軟膏の商標名)
Vatican	バチカン宮殿(ローマ教皇の宮殿でバチカン市内にある) / ローマ教皇庁;教皇権,教皇政治
Vatican City	バチカン市国(ローマ教皇が統治する独立国;ローマ市内にありバチカン宮殿・聖ペテロ寺院を有する)
Veda	ベーダ(ヒンズー教の宗教文献,聖典)
Vedanta	ベーダンタ(インド哲学の主流である観念論的一元論)
Vega	織女星(琴座の一等星)
Ven.	Venerable / Venice
Venetian	ベニス(Venice)の,ベニスふうの(式の);ベニス人の / ベニス人
Venetian blind	ベニスふう板すだれ(窓に取り付け,ひもで開閉するブラインド)
Venezuela	ベネズエラ(南米北部の共和国;首都は Caracas)
Venice	ベニス(イタリア北東部の港市)
Venus	ビーナス(ローマ神話の愛と美の女神;ギリシア神話では Aphrodite) / 金星 / 〈C〉(ビーナスのような)絶世の美女
Venusian	金星の / (想像上の)金星人
Verdi	ベルディ(Giuseppe Verdi 1813‐1901イタリアの歌劇作曲家)
Vergil	=Virgil
Vermont	バーモンド州(米国北東部の州;州都はMontpelier;《略》VT,Vt.)
Versailles	ベルサイユ(フランス北部の都市,ルイ14世の宮殿がある)
Very light	ベリー式信号光
Vespucci	ベスプッチ(Amerigo Vespucci;1451‐1512;イタリアの航海家;Americaは彼の名にちなむ)
Vesta	ベスタ(ローマ神話の火と炉の女神;ギリシア神話のHestiaに当たる)
Vesuvius	ベスビアス火山(Mount Vesuvius;イタリア南西部の活火山)
Veterans' Day	《米国で》復員軍人の日(第一次世界大戦の休戦記念日で以前はArmistice Day といった;11月11日;現在《米》では10月の第4月曜日に第二次世界大戦の軍人も含めて記念行事を行っている)
Veterinary surgeon	veterinarian
Vic	Vicar / Victoria
Vic.	vicinity
Vice-chancellor	(英国の)大学副総長
