variety meat	《米》《遠回しに》臓物(offal)
variety store	低価格雑貨店
variform	種々の形の[ある]
variorum	校異版(本);集注版(本)諸家の注を収めた, 集注の 原典の異本を収めたラテン語「異なった(編者)の」の意
various	『互いに異なる』,いろいろな,さまざまの / 《名詞の前にのみ用いて》『いくつかの』;多くの
variously	『いろいろに』,さまざまに / 違う名前で,別名で
varlet	ならず者,悪漢
varmint	害を及ぼす動物,害虫 / めんどうを起こす者,いやなやつ;いたずら小僧
varnish	〈U〉〈C〉(木工品・家具などに塗る)『ワニス』,ニス / 〈U〉《the ~》ニスを塗った表面,光沢面 / 〈U〉《時にa ~》(…の)見せかけ,うわべの飾り《+of+名》 / 〈木工品・家具など〉にニスを塗る / …をうわべの飾りで隠す,見せかけでごまかす《+over+名,+名+over》
varsity	《米》(大学などの,特にスポーツの)代表チーム / 《the ~》《しばしば V-》《英話》大学(特にケンブリッジ,オックスフォード両大学についていう)
vary	(…から…に)『変わる』,変化する《+from+名+to+名》 / (…の点で)『互いに異なる』,いろいろである《+in(on)+名》 / …を『変える』,変更する / …に変化をつける,を変化に富ませる
vascular	(血液・樹液などを運ぶ)管の,導管の,血管の
vase	『花びん』;(装飾用の)つぼ
vasectomy	精管切除[術],パイプカット
vassal	封臣,領臣(封建時代,君主に仕えて土地を与えられた) / 家来,しもべ;奴隷 / 家臣の,家来の;隷属(れいぞく)した
vassalage	(封建時代の)封臣(領臣)の身分 / (家臣に要求される)忠誠心 / (君主から与えられた)封土 / 従属,隷属(れいぞく)
vast	『広大な』,広範囲な / (数・量・程度などにおいて)ものすごい,ばく大な
vastly	広々と,広範囲に / 大いに,非常に
vastness	〈U〉 広大さ,ばく大 / 〈C〉《複数形》広大な広がり
vasty	=vast
vat	(醸造・染色などで使う液体貯蔵用の)大おけ,大だる
vatic	予言者の,予言的な
vaudeville	ボードビル(歌・踊り・コメディ・手品などからなる演芸)
