ventriloquism	腹話術
ventriloquist	腹話術師
venture	〈C〉〈U〉(生命や金をかける)『危険な企て,冒険』,(特に)商売上の冒険,投機 / 〈C〉投機の対象;冒険に賭(か)けた金(物) / 〈反対されるようなこと,ばかだと思われるようなこと〉を『あえて言う』,《文》…をあえてする / 《文》(…に)〈生命・財産など〉を『危険にさらす』《+名+on(upon)+名》 / 《文》…の『危険をおかす』,に思い切っていどむ / (…に)あえて危険を冒す,(…を)思いきって進む《+on(upon)+名》
venturer	冒険者;投機家
venturesome	(また venturous) / (人が)大胆な,向こう見ずな(daring) / (行為が)冒険的な,危険な(risky)
venturous	=venturesome
venue	行為地(犯罪・不法行為などの発生地) ・現場 / 裁判地(裁判の行われる場所)会合場所; 開催地,予定地; (仕事などの)場所 〈米〉立場、意見 「a change of venue」で「会合場所の変更・ 裁判地の変更」
ver.	version
veracious	(人が)真実を語る,正直な / (話などが)正確な,ほんとうの
veracity	真実を語ること,正直さ / (事実・陳述の)真実性,正確さ
veranda, verandah	(屋根のある)ベランダ,縁側
verb	『動詞』
verbal	語の,言葉の;(意味とは関係なく)言葉の上だけの,語句だけの / 口頭の,口上の(oral) / 逐語的な,文字通りの / 動詞の,動詞的な / 準動詞(不定詞・分詞・動名詞の総称) / 《英話》自白 / 《英話》《おどけて》口げんか
verbal noun	動詞状名詞
verbalize,verbalise	…を言葉に表す
verbally	口頭で / 動詞として
verbatim	言葉通りに,逐語的に / 言葉通りの;逐語的な
verbena	バーベナ(クマツヅラ属の観賞用植物)
verbiage	必要以上に言葉を使うこと,冗長
verbose	(人・表現が)言葉数の多すぎる,くどい,冗長な
verbosity	くどいこと,冗漫,冗長
verboten	(法律によって)禁止された
verdant	緑色の,青青とした;緑の草木でおおわれた
verdict	(陪審員の)『評決』 / 《話》(一般に)判断,決定,意見
verdigris	緑青
verdure	(草木の)新緑 / 緑の草木
verge	縁,へり,端 / (…に)接する,近づく《+on(upon)+名》 / (…に)傾く,向かう《+to(toward)+名》
verger	聖堂番 《教会堂の掃除をしたり礼拝者を座席に案内する》《英》 (大聖堂・大学などで主教・副総長などを先導する)権標捧持者
veriest	very の最上級 / まったくの,この上ない
verifiable	証明できる,実証できる
verification	立証,証明
verify	〈できごと・事実などが〉…を『立証する』,…の真実を証明する / (真実・正確であるかどうか)…を確かめる,調べる / 〈証拠物件〉を立証する
verily	ほんとうに,まことに
verisimilitude	真実らしさ;〈C〉ほんとうらしく見えるもの(聞こえること)
veritable	ほんとうの,真の
veritably	ほんとうに,真に
verity	〈U〉真実,真実性 / 〈C〉《複数形で》真実なもの,真理
vermeil	朱色 / 金めっきした銀(青銅)
vermicelli	バーミセリ(スパゲッティーに似たもっと細いめん類)
vermiculite	バーミキュライト,ひる石(熱するとふくれ,防音・断熱材として用いられる)
vermiform	(形が)虫状の
vermiform appendix	虫垂
vermifuge	駆虫剤,虫下し
vermilion	朱,朱色 / 朱の,朱色の
vermin	害獣,害鳥,害虫 / 世を毒する者,ならず者
verminous	ノミ(シラミなど)がたかった:verminous children シラミのわいた子供たち / (病気が)ノミやシラミなどによる / (人が)いやらしい,卑劣な
vermouth	ベルモット酒(薬草で味を付けた白ぶどう酒)
vernacular	(言葉が)その土地(国)の,その土地特有の / 土地言葉の,土地言葉で書かれた / 自国語;(標準語に対して)地方語 / 職業語,仲間言葉
vernal	春の,春に起こる / 青春の,生き生きとした
vernal equinox	〈C〉春分 / 春分点 /(秋分はautumnal equinox)
vernalize,vernalise	〈植物〉の開花結実を促進させる
vernier	(また vernier scale)副尺,遊尺(精密測定用の補助の物差し) / (精密器機を調整するための)補助装置[1の発明者,フランスの数学者の名から]
veronal	ベロナール(睡眠薬の商標名)
verruca	(特に足の裏の)たこ,いぼ
versatile	(人が)多才の,多芸な,なんでもじょうずな / (道具などが)用途が広い,万能の
