villus	絨毛(小腸内壁の粘膜の表面にある虫状の血管の多い小さな突起)
vim	精力,活力,元気
vincible	征服(克服)できる
vindicable	正当化できる,立証しうる,弁護できる
vindicate	〈人〉のけん疑を晴らす,〈非難〉を晴らす / 〈権利・主張など〉を擁護する,守る / …を立証する,の正しいことを立証する
vindication	(…の)弁護,擁護《+of+名》 / 《しばしば a~》立証(弁護)するもの
vindictive	復しゅう心のある,恨みをいだく,執念深い
vine	(ツタ,キュウリなどの)『つる植物』 / =grapevine 1
vinegar	『酢』,食用酢
vinegary	酢のような,すっぱい / (人が)意地悪い,気むずかしい
vinery	〈C〉ブドウ温室,つる植物栽培園
vineyard	ぶどう園
vino	安い普通のぶどう酒
vinous	ぶどう酒の[ような];ぶどう酒に酔った,ワインレッド色の
vintage	(醸造年を入れる)優良ぶどう酒,銘柄のぶどう酒 / 《単数形で》(ある地域の毎年の)ブドウ収穫[期];(年間の)ブドウ収穫量 / 《話》(ある年度の)型,製作 / 醸造年入りの / すぐれた時期の / (作者の作品中で)最もすぐれた / (車が)銘柄の,由緒のある
vintner	ぶどう酒商人
vinyl	ビニール
vinyl chloride	塩化ビニル
viol	バイオル(16,17世紀に用いられた弦楽器で現在のviolin の前身)
viola	ビオラ(violin と cello の中間楽器) / スミレ属の植物;特に庭園用のもの
violable	破る(犯す,汚す)ことのできる
violate	〈約束・法律・条約など〉を『破る』,犯す / 《おもに文》〈静けさなど〉を乱す,妨害する / 〈神聖なもの〉を汚す / 《文》《遠回しに》〈女性〉に暴行を加える、強姦する(rape)
violation	(約束・法律などの)違反,無視《+of+名》 / 《おもに文》(静けさなどを)乱すこと;(権利などの)侵害 / 不敬,冒瀆 / 《文》暴行
violence	暴力,乱暴 / (…の)『激しさ』,猛烈さ,すさまじさ《+of+名》 / 害,損害
violent	『暴力による』,乱暴な / 『激しい』,猛烈な,すさまじい
violently	激しく,猛烈に / 乱暴に,手荒に
violet	〈C〉『スミレ』 / 〈U〉『すみれ色』 / すみれ色の
violin	『バイオリン』
violinist	バイオリン奏者,バイオリニスト
violist	ビオラ奏者
violoncellist	チェロ奏者(cellist)
violoncello	チェロ,セロ(cello)
viper	マムシ,毒蛇 / 意地の悪い人
virago	口やかましい女,がみがみ女
viral	ウィルスの;ウィルスが原因の
vireo	モズモドキ(アメリカ産の小型の鳴鳥)
virgin	『処女』,おとめ;末婚婦人 / 《the Virgin》聖母マリア / 《名詞の前にのみ用いて》『処女の』,処女らしい / (物が)『汚れのない』,純潔な,純粋の / 『初めての』 / 末開拓の,末使用の
virgin birth	処女降誕(キリストが処女マリアから生まれたとする神学上の一説)
virginal	処女の,処女にふさわしい;汚れのない,純潔な / バージナル(16,7世紀にはやった長方形のハープシコードの一種)
virginity	処女であること,処女性
virile	男性的な,男らしい / 力強い,剛健な / 生殖力のある
virility	男らしさ,力強さ / 生殖力
virologist	ウィルス学者
virology	ウィルス学
