vitamin E	ビタミン E
vitamin G	=vitamin B2;かつて使用されたがのちにvitamin B2と同じものと分かり廃止
vitamin H	=biotin ビタミンH
vitamin K	ビタミン K
vitamin P	ビタミン P
vitamin-B complex	ビタミン B 複合体(イースト・肝臓に含まれ,ビタミン B1,B2,B6,B12,H,その他ナイアシン,ビオチン,葉酸などから成る)
vitiate	《しばしば受動態で》…を悪くする,損う / (法律的に)…を無効にする
vitiation	損うこと;(法律的に)無効にすること
viticulture	ぶどう栽培
vitreous	ガラスの;ガラス製の;ガラス状の
vitreous humor	(眼球の)ガラス体液(眼球を満たしている水状の物質)
vitrify	…をガラス[状]にする / ガラス[状]になる
vitriol	(銅・鉄・亜鉛・鉛などの)硫酸塩,はん類 / (また oil of vitriol)硫酸(sulfuric acid) / しんらつな言葉,痛烈な皮肉
vitriolic	硫酸[塩]の,硫酸からできる / しんらつな,痛烈な
vituperate	《文》…を厳しく避難する,ののしる
vituperation	厳しく避難すること,ののしり
vituperative	厳しく避難する,毒舌をふるう
viva	…万歳
vivace	(音楽で)活発に,速く / (音楽が)活発な,速い
vivacious	(特に女性が)快活な,元気な,陽気な
vivacity	活発さ,陽気
vivarium	生態動物園(動物が自然に近い状態で飼育されている)
vivid	(色・光が)『あざやかな』,目のさめるような,強烈な / 『鮮明な』,明りょうな / (描写などが)『真に迫っている』,生き生きとして / 元気,生気にあふれる
vividly	あざやかに;はっきりと;生き生きと
vividness	鮮明,明りょう / 生気,はつらつ
vivify	…に生命(生気)を与える,…を生き生きさせる
viviparous	(動物が)胎性の
vivisect	〈動物〉を生体解剖する / 生体解剖をする
vivisection	生体解剖
vixen	雌ギツネ / がみがみ女
viz.	すなわち
vizier, vizir	(イスラム教国の)高官,大臣
vizor	=visor
vl	Vulgar
vlf,VLF	very low frequency
vocab.	vocabulary
vocable	音語(意味に関係なく音と文字からみた語) 単語 母音 発声できる
vocabulary	〈C〉(特定の人・グループ・分野で用いられるすべての)『語彙』,用語 / 〈C〉(アルファベット順に並べて語義や訳を付けた)語彙集,単語表(集) / 〈U〉(一言語の)全語彙
vocal	『声の』,音声の / 声に出す,口頭の / 《話》(意見などを)遠慮なくしゃべる,口やかましい / (ポピュラー歌手の)ボーカル
vocal cords, vocal chords	声帯
vocalic	母音の,母音を含む / 母音のような
vocalist	(ポピュラーソングの)歌手
vocalize, vocalise	〈言葉・音声など〉を声に出す,歌う / 〈子音〉を母音に変える / 声を出す,歌う,発声練習をする
vocat.	vocative
vocation	〈C〉(特に,自分に適した,またはその訓練を受けた)職業 / 〈U〉《時にa~》(特定の職業・仕事に対する)適性,素質《+for+名(doing)》 / 〈U〉《しばしば a~》天職,使命
vocational	職業の,職業上の / 職業指導の
vocational school	職業学校,職業訓練所
vocative	呼格の(人・物に対する呼び掛けとして用いる名詞の格に関していう;《略》vocat.) / 呼格,呼び掛けの語
vociferate	〈言葉〉を大声で話す,叫ぶ / 大声で叫ぶ,わめく
vociferation	大声で叫ぶこと,わめき
vociferous	大声で呼ぶ,やかましい / (態度が)口うるさい
vodka	ウォッカ(無色透明で穀物やじゃがいもから作るロシアの火酒)
vogue	〈C〉(ある時期の)(…の)『流行[品]』,はやり[もの]《+for+名》(fashion)
voice	〈U〉(人間の)『声』 / 〈U〉声を出す力,物を言う力 / 〈C〉〈U〉声の質,声の状態(調子) / 〈C〉(人の声を思わせる)(…の)音《+of+名》 / 〈C〉(人の声にたとえた)(…の)音《+of+名》 / 〈U〉〈C〉『発言権』,選択権,投票権 / 〈U〉表現,表明;意見 / 〈C〉(声楽の)声 / 〈C〉(文法で)態 / 〈気持ちなど〉を言い表す,口に出す / 〈音〉を有声音で発音する
voice box	喉頭(こうとう)(larynx)
voiced	言い表された,口に出された / 有声音の,有声の
voiceless	声のない,口がきけない,無言の / (子音が)無声音の / 意見を言えない(言わない)
