Wirephoto	有線電送写真機の商標名
Wis.,Wisc.	Wisconsinの略(ウィスコンシン州)
Wisconsin	ウィスコンシン州(米国中北部,ミシガン湖に接する州;州都は Madison;《略》WI,Wis.,Wisc)
Woden	ウォーデン(チュートン民族神話の主神で,北欧神話のOdinに相当)
Worcester	ウスター(米国Massachusetts 州中部の都市)・英国 Worcestershire 州の州都
Worcestershire	ウースターソース(大豆・酢・香料などで造るぴりっとしたソース;英国 Worcester 原産)
Word of God	聖書
Wordsworth	ワーズワース(William Wordsworth;1770‐1850;英国の詩人)
World Bank	世界銀行(1944年創立)
Wright	ライト(Orville Wright(1871‐1948),Wilbur Wright(1867‐1912);1903年飛行機を製作し飛行に成功した米国人兄弟)
Wuhan	ウーハン,武漢(中国東部の省都)
Wy.,WY,Wyo.	Wyoming
Wyoming	ワイオミング州(米国北西部の州;州都は Cheyenne;《略》Wy.,WY,Wyo.)
w	week / width / weight
w.b.	water ballast 水脚荷(みずあしに)
w/	with
w/o	without
wabble	=wobble(揺れるグラグラする)
wack	おい,君
wackiness	《米俗》気違いじみていること,とっぴなこと
wacky	気違いじみた,とっぴな
wad	(綿・紙・毛など柔らかいものの)塊《+of+名》 / 《話》(紙などのぎっしり束ねた)束,(特に)札束 / 《俗》大量(の…),多額(の…)《+of+名》 / …を小さく丸める《+up+名,+名+up》 / (…で)…をふさぐ《+名+with+名》
wadding	詰め物,詰め綿
waddle	(アヒルのように)よたよた(よちよち)歩く《+along》 / 《しばしばa ~》よたよた歩き,よちよち歩き
wade	《方向を表す副詞[句]を伴って》(川・雪などの中を)『歩く』 / 《話》(…を)苦労して進む,やっと切り抜ける《+through+名》 / 〈川など〉を歩いて渡る
wader	水(どろ,雪)の中を歩いて渡る人 / =wading bird / 《複数形で》(釣り人がはく腰まである)防水長靴
wadge	(…の)ぎゅっとつめた束《+of+名》 塊(かたまり) ケーキ一切れ
wadi, wady	(中東・アフリカ北部の雨期にのみ水の流れる)水なし川,かれ川,かれ谷
wading bird	渉禽(しょうきん)類の鳥(ツル,サギ,シギなど)
wafer	ウエハース(一種の軽焼き菓子) / (小円形の)封かん紙,封じのり / 聖餐(せいさん)用の薄いパン / (一般に)薄く丸い物
waffle	ワッフル(格子形の刻み目の付いた卵入り薄焼きのケーキ;おもに朝食用) / どっちつかずのことをする / むだ口をたたく《+on》 / むだ口,軽口
waffle iron	ワッフルの焼き型(上下2枚の金属板でその間にはさんで焼く)
waft	…をふわりと運ぶ,漂わせる《+名+along》 / (空中を)ふわりと動く,漂う《+along》 / 一吹きの風 / 漂うにおい / 軽く手を一振りすること
wag	〈頭・尾など〉を『振る』,揺り動かす / 〈頭・尾などが〉振れる,揺れ動く;(おしゃべりで)〈舌が〉ぺらぺら動く / (…を)振ること《+of+名》 / (男の)ひょうきん者,(機知に富んだ)おどけ者(wit)
wage	(通例肉体労働者の日・週ぎめの)『賃金』,給金 / 《単数・複数扱い》(罪などの)報い,応報 / (…に対して)〈戦争など〉を行う《+名+against(on)+名》
wage earner	賃金労働者,給料生活者
wage freeze, wages freeze	《a ~,the ~》(政府による)賃金の凍結
wage scale	〈C〉賃金スケール,賃率一覧表 / 〈C〉〈U〉(個々の雇用者の)賃金水準
wage slave	(労働者をふざけて呼んで)賃金奴隷
wager	かけ,かけごと(bet) / かけたもの;かけ金 / かけごとをする,かける / 〈金〉をかける:《wager+名〈金〉+on+名》…に…をかける
waggery	〈U〉 こっけい,おどけ / 《複数形で》いたずら
waggish	こっけいな,おどけた;いたずら好きの
waggle	…を振る,揺り動かす(wag) / 揺れ動く / 揺れ,振ること
waggon	=wagon
waggoner	=wagoner
wagon train	ほろ馬車隊
wagon, waggon	(4輪の)『馬車』 / 《米》(配達用の)小型有蓋(ゆうがい)自動車(van) / おもちゃの四輪荷車(手押し車);うば車 / 《米》(石炭などの鉄道輸送用)無蓋貨車 / 《英》=freight car
wagon-lit	《英》(欧州大陸鉄道の)寝台車(の個室)
wagoner, waggoner	馬車の御者
wagonette, waggonette	軽四輪馬車(両側に客席,後部にドアのついた数頭立ての遊覧馬車)
wagtail	セキレイ
wahine	(ハワイ・ポリネシアで)若い女,女の子 妻 女性サーファー
wahoo	米国産の各種の低木(ニレ・シナノキなど)
waif	《文》放浪者,(特に)浮浪児 / 迷子になった動物
wail	(苦しみ・悲しみなどで)泣き叫ぶ《+with(for)+名》 / 〈風などが〉悲しげな音を立てる / 《軽べつして》(…を)ぐちる,こぼす《+over(about)+名》 / …を嘆く;〈…である〉と嘆き悲しむ《+that 節》 / 嘆き悲しむこと;泣き叫ぶ声
wailful	嘆き悲しむ,もの悲しげな,哀調を帯びた
wain	=wagon
wainscot	羽目板,腰板 / 〈壁〉に羽目板を張る
wainscoting	〈U〉羽目板材 / 《集合的に》(部屋などの)羽目板,壁板
wainwright	荷馬車製造(修理)人;車大工
waist	『腰』,腰部 / (衣服の)『胴部』,ウエスト / (バイオリン・ギターなどの)中央のくびれ
waist-deep	腰まで深い
waist-high	腰の高さの
waistband	(ズボン・スカートなどの)ベルト
waistcoat	チョッキ(=vest 1)
waistline	胴回り[線] / ウエストライン,腰線(婦人服で胴部とスカートの接合線)
wait	『待つ』 / 〈事が〉そのままにしておける,延期できる / (期待して)〈機会・合図など〉を『待ち受ける』,待機する / 《話》(人や物を待って)…を遅らせる / 〈C〉待つこと;待ち時間 / 〈U〉待ち伏せ
waiter	(料理店などの)『給仕人』,ウエーター / (食物を運ぶ)給仕盆
waiting	待つこと,待機 / 仕えること / 待っている;仕えている
waiting game	待機戦術,持久戦法,引き延ばし作戦
waiting list	補欠人名簿
waiting room	待合室
waitress	(レストランなどの)『女給仕人』,ウエートレス
