wash leather	(金属つや出し用の)羊のなめし皮,セーム皮 (ヤギなどの)柔らかいなめし皮
wash-and-wear	洗ってすぐ着られる,ノーアイロンの
washable	洗濯のきく
washbasin	=washbowl
washboard	洗濯板
washbowl	洗面器
washcloth	洗面タオル(小型のタオル)(《英》face flannel)
washday	(家庭の)洗濯日
washed-out	(何回も洗濯して)色のあせた / 《話》疲れた,くたびれた
washed-up	だめになった,見込みのない
washer	洗う人 / 洗濯機 / 座金(ねじの締めをきかすための薄板金)
washerwoman	洗濯女
washhouse	洗濯場(室),洗濯屋
washing	洗うこと,洗濯 / 《しばしば the~》《集合的に》(一度に洗う)洗濯物
washing machine	洗濯機
washing soda	洗濯ソーダ
washing-up	食事のあと片づけ,食器洗い
washout	(洪水などによる)土砂の流失;(堤防などの)決壊 / (土砂の流失による)穴,溝 / 《話》大失敗;失敗者
washrag	=washcloth
washroom	(特に公共施設の中の)洗面所,便所
washstand	(洗面器・水差しなどを載せる)洗面台 / (水道の設備の付いた)洗面台
washtub	洗濯だらい,洗濯おけ
washwoman	=washerwoman
washy	(飲み物が)水っぽい,薄い / (色が)薄い,弱い / (感情・文体が)弱い,力のない
wasn't	=was not の短縮形
wasp	スズメバチ,ジガバチ / 怒りっぽい人
wasp waist	(女性の)細くくびれた腰[の線]
waspish	スズメバチのような / 怒りっぽい,短気な
waspwaisted	(女性が)腰の[線が]細い,腰のくびれた
waspy	スズメバチのような;スズメバチの多い
wassail	(もと英国で用いた)乾杯のあいさつ / 《おもに文》酒宴,酒盛り / 乾杯する;酒盛りする / …に乾杯する
wast	主語が thou(二人称単数)のとき用いられる be 動詞の過去形(現在形は art)
wastage	消耗,損耗 / 消耗高
waste	(…に)〈金・時間・労力など〉を『むだに使う』,浪費する《+名+on+名》 / 〈好機など〉を『利用しそこなう』 / 〈体力など〉を『消耗させる』,衰えさせる / 《しばしば受動態で》〈国土など〉を『破壊する』 / 《米俗》…を殺す(kill) / 〈体が〉(だんだん)衰える,やせる,弱る《+away》 / 《まれ》〈物が〉(少しずつ)減る,少なくなる / 〈U〉《時に a~》(…の)『むだ使い』,浪費《+of+名》 / 〈U〉〈C〉《しばしば複数形で》『廃物』,くず,残り物(garbage) / 〈C〉《おもに文》荒野,荒れ地;荒涼とした広がり / 『荒れ果てた』,不毛の:耕されていない;使用されていない / 『廃物の』,くずの,残り物の
waste pipe	排水管
waste product	産業廃棄物
wastebasket	《おもに米》紙くずかご
wasteful	浪費する;不経済な,むだな
wasteland	荒れ地,不毛の地;(戦争・災害などで)荒廃した地域
wastepaper	紙くず
wastepaper basket	=wastebasket
waster	むだ使いする人
wasting	衰弱(荒廃)させる
wastrel	浪費家;怠け者
watch	…を『じっと見つめる』,凝視する / …を『見張る』,見守る,監視する,の番をする / …を『世話する』,看護する / …に『注意する』,気をつける / 『じっと見る』,見守る / 『見張りをする』,監視する,警戒する / 《文》夜寝ないでいる;寝ずに看病する / 〈C〉《しばしば複合語を作って》(携帯用の)『時計』 / 〈U〉《時に a watch》『見張り』,警戒,用心 / 〈C〉見張り(監視)時間;〈U〉当直 / 〈C〉《しばしば the watch》番人,看守,警備員
watch chain	懐中時計の鎖
watch night	(教会の)除夜の礼拝式
watchband	腕時計のバンド
watchdog	番犬 / 保護者,監視者
watcher	見張り人,番人
watchful	『警戒する』,油断のない
watchmaker	時計屋,時計職人
watchman	番人,夜警
