weasel words	《複数扱い》《米話》(率直な表現を避け)わざとぼかした言葉
weather	(ある時間・ある一定期間の)『天気』,天候 / あらし,悪天候 / (外科に)…を当てる,乾かす / 〈あらし・危険など〉を切り抜ける,乗り切る / (船などが)…の風上に出る(を通る) / (外気にさらされて)変色する,風化する
weather bureau	気象局,気象庁
weather eye	天候の変化を見通す目 / 油断のない警戒
weather forecast	『天気予報』
weather forecaster	天気予報官
weather map	天気図
weather ship	気象観測船
weather station	気象観測所,測候所
weather-beaten	(物が)風雨にさらされた / (顔・はだが)日焼けした
weather-bound	(船などが)悪天候で遅れている(出航できない)
weather-strip	…に目詰めを付ける(当てる) / 目詰め(ドア・窓にできるすき間を詰めるもの)
weather-wise	天気をよく当てる / 相手の反応(世論の動向)を予測するのがうまい
weatherboard	(また weather boarding)《英》=clapboard
weathercock	風見鶏 / 移り気なく,無節操な人
weatherglass	(昔の)晴雨計,気圧計
weathering	風化,風化作用
weatherman	(特にテレビ・ラジオに出てくる)天気予報係
weatherproof	(布・衣服が)風雨に耐える / 〈生地〉を風雨に耐えられるようにする
weathervane	風見
weatherworn	weather-beaten
weave	織物を織る,機を織る / 縫うように進む / 〈毛糸・綿糸など〉を『織って』(織物などを)『作る』《+名+into+名》 / (毛糸・綿糸などから)〈織物〉を『織る』,編む《+名+from(of)+名》 / 〈かごなど〉を編む,編み上げる / (かごなどに)…を編んで作る《+名+into+名》 / (いくつかの事実・材料から)〈物語・計画など〉を作り上げる,組み立てる《+名+from+名》 / (ある物語・計画などに)〈事実・材料など〉を組み立てる《+名+into+名》 / 《weave one's way の形で》縫うように進む / 織り[方];編み[方]
weaver	織り手,織工,編む人
web	(クモなどが紡ぎ出す)『巣』 / (クモの巣のような)網状組織;(張りめぐらした)仕掛け / (製織中の)織物 / (アヒルなど水鳥の)水かき / (輪転機の)巻取り紙
web offset	オフセット輪転印刷法
web-footed	足に水かきのある
webbed	水かきのある
webbing	帯ひも(つり革・馬の腹帯などに用いる);スラックスのベルト
wed	…と結婚する,を妻(夫)にする / 結婚する
wedded	《名詞の前にのみ用いて》結婚した;結婚の / 《補語にのみ用いて》(…と)堅く結ばれた,結合した《+to+名》 / 《補語にのみ用いて》(…に)専心した,(…に)固執した《+to+名》
wedding	(特に,教会で誓いを済ませた後で宴会のある)結婚式,婚礼
wedding breakfast	結婚披露宴
wedge	(特に,木製の)『くさび』 / 『くさび形の物』;くさびのような働きをするもの / (ゴルフの)ウェッジ(頭部がくさび形の短いアイアンクラブ) / …にくさびを打ち込む / (…に)…を無理に押し込んで動けないようにする《+名+in(into)+名》 / (…に)無理に割り込む,押し入る《+into+名》
wedged	くぎ付けになった
wedlock	結婚している状態,婚姻関係(matrimony)
wee	《おもに幼児語》とても小さい,ちっぽけな / 《米》(時刻が)早い / おしっこする / おしっこ
weed	〈C〉『雑草』 / 《the Weed》(巻き)たばこ,葉巻き;マリファナ / 〈C〉(特にひょろ長い)弱々しい人 / 〈庭など〉の『雑草を抜く』,草を取る / (…から)〈雑草〉を抜く《+名+out of(from)+名》 / 喪服
weediness	雑草の多いこと,ひょろひょろしていること
weedy	雑草の多い / ひょろひょろとした
week	〈C〉『週』,(ある日からの)1週間 / (また working week, work week)《a~,the~》(1週間の中の)就業日 / 〈U〉《Week》(特定の催しが行われる)週間
weekday	〈C〉(日曜日,時に weekend 以外の)『平日』
weekend	『週末』(通例金曜日の夕方から日曜日の夜まで);週末休暇 / 週末の / 《状態・場所を表す副詞[句]を伴って》週末を過ごす;週末旅行をする
weekender	週末旅行者;週末の泊まり客
weekly	『毎週の』,1週間(分)の;1週1度の・『毎週』;1週1回・『週刊雑誌(新聞)』
weeknight	〈C〉平日の夜
weeny	ちっぽけな
weep	『涙を流す』,泣く / (…を)『悲しむ』,嘆く,《+over(for)+名(doing)》 / 〈傷口などが〉液体を分泌する;《文》水をしたたらせる / 〈涙〉を流す / 〈人,自分〉に涙を流させる:《weep+名+副(句)》…に涙を流させ…にする / 《文》〈事〉に涙を流す,を悲しむ
weeping	(枝などが)垂れ下がる
weepy	涙もろい / (物語などが)涙をさそう
weevil	ゾウムシ(穀物の害虫)
weft	(織物の)横糸
weigh	…の『重さを計る』 / 〈ある重さ〉を『計量する』,計る / (…と比較して)…を『検討する』,考慮する〈+名 against+名〉 / 『重さがある』,目方がかかる / (…にとって)『重要である』,(…に)重要視される〈+with+名〉
weighbridge	橋ばかり(車両と積荷を同時に計る計器)
weight	〈U〉『重さ』,重量,目方;体重;《a weight》(…の)重さ《+of+名》 / 〈U〉重さ(重力が物体に及ぼす力) / 〈U〉衡法(重量を示す体系) / 〈C〉重量単位 / 〈C〉(はかりの)おもり,分銅;(一般に)重いもの,おもし / 〈U〉重要性,価値 / 〈U〉《しばしば a weight》精神的な重荷,負担 / (…で)…に重荷を負わせる;…を圧迫する;苦しめる《+名+with+名》 / …を重くする
weighted	《補語にのみ用いて》(…に)有利な《+toward+名》
weightily	重く;重苦しく,重大に
weightiness	重いこと;重苦しいこと;重大性
weighting	《英》(物価上昇に見合う)[給料の]上積み
weightless	無重力の
weightlifter	重量あげ競技者
weightlifting	重量あげ[競技]
weighty	重量のある,重い(heavy) / 重苦しい,耐えがたい / 重要な
weir	せき(川に設けた小さなダム) / やな(魚を取るために川の中に作る囲い)
weird	起自然的な,不思議な,気味の悪い / (話が)変な,妙な
weirdie	風変わりな人
weirdo	=weirdie
welch	=welsh
welcome	(…へ)『ようこそ』;いらっしゃい《+to+名》 / 〈人〉を出迎える,〈人〉に出迎えのあいさつをする / 〈人〉を『歓迎する』,喜んで迎える / 〈提案など〉を受け入れる / (出迎えの)『あいさつ』 / 『歓迎』 / もてなし[方] / 『歓迎される』,喜んで受け入れられる / 『うれしい』,ありがたい / 《補語にのみ用いて》『自由に使ってよい』,自由にしてよい
weld	〈金属など〉を溶接する《+『名』+together,+together+『名』》;…を(…と)結合させる《+『名』+to+『名』》 / 〈金属・プラスチックなどが〉溶接される,溶接できる / 溶接した部分
welder	溶接工 / 溶接器具
welfare	『幸福』,繁栄 / 『福祉』[事業],厚生[事業] / (米政府の)生活保護
welfare state	福祉国家
welkin	空(sky)
