white ensign	英国軍鑑旗
white feather	おく病[のしるし],いくじの無さ
white flag	白旗,白布(降伏・休戦などの印)
white gold	ホワイトゴールド(金とニッケルまたはプラチナの合金)
white goods	家庭用布製品(シーツ・テーブルクロスなど) / 大型家庭用器具(冷蔵庫・洗濯機など通例白いもの)
white heat	白熱 / (活動・興奮・感情などの)白熱状態,最高潮
white hope	大いに期待される人
white horse	白くあわ立ってくだける波頭,白波
white lead	白鉛(絵の具・パテなどに用いる白色粉末)
white lie	たわいない(罪のない)うそ(相手の感情を傷つけないための方便)
white magic	(病気治癒・雨乞いなど)良い目的のための魔術,祈とう
white man	白人;(特にヨーロッパ以外の国を征服した)ヨーロッパ人
white matter	(脳・脊髄の)神経組織,白質
white meat	白肉,白身の肉(鶏の胸肉など) / 淡い色の肉(子牛の肉など)
white metal	ホワイトメタル(スズなどを含む白色の合金)
white paper	(英国政府発行の)公式報告書,白書
white pepper	白こしょう
white race	白色人種,コーカサス人種
white room	(精密機械用の)無菌恒温室
white sale	白色布製品の特売
white sauce	ホワイトソース(小麦粉にバター・牛乳などを加えて作る)
white slave	白人売春婦
white slavery	(差別的・不適切な表現とされ使用は避けるべき語; 白人女性の売買春・性的搾取; 白人奴隷貿易)
white spirit	(ペンキの)薄め液,ベンジン(石油から精製された各種の液体)
white tie	〈C〉(えんび服用の)白のチョウネクタイ / 〈U〉えんび服
white trash	下層白人、貧乏白人
white-collar	(肉体労働者に対して)頭脳労働者の,サラリーマン向きの
white-collar worker	頭脳労働者,サラリーマン
white-haired	白髪の / 《話》お気に入りの
white-hot	白熱の / 熱烈な,非常に怒った(興奮した)
white-lipped	(恐怖・激怒のため)唇が色を失った
white-livered	おく病な(cowardly)
whitebait	シラウオ;シラス(イワシ・ニシンなどの稚魚)
whitecap	=white horse
whited sepulchre	(聖書で)偽善者(hypocrite) = whited sepulcher 白く塗った墓
whitefish	白マス(マスに似た淡水魚)
whitehead	先が白(黄色)の吹き出物,にきび
whitehunter	(アフリカで)狩猟団の指導(助言)に当たっている白人
whiten	…を白くする,漂白する / 白くなる
whitening	=whiting
whitethroat	ノドジロムシクイ(ヨーロッパ産ののどの白い鳴き鳥)
whitewall	〈C〉ホワイトリボンタイヤ(側面に白い帯のあるタイヤ)
whitewash	〈U〉白色塗料,水しっくい,のろ / 〈C〉〈U〉(欠点・過失などを隠すための)ごまかし,お体裁 / 〈C〉〈U〉《米話》(競技の)完敗 / 〈壁など〉に白色塗料を塗る / …の体裁をつくろう / 《米話》(競技で)…を完敗させる
whitey	《俗》《軽べつして》白人;〈C〉(一人の)白人
whither	《疑問副詞として》どこへ,どちらへ / 《関係副詞として》…する(した)ところの;そしてそこへ(where) / 《新聞の見出しなどで》…の将来は,…はどうなる
whithersoever	[…するところへは]どこへでも
whiting	ニベ(北米産);タラ(欧州産) / (銀の研摩剤に用いる)胡粉,白亜(chalk);漂白剤
whitish	白みがかった,白っぽい
whitlow	ひょうそ(指の先端などの化膿性炎症)
whittle	〈木材〉をナイフで少しずつ削る,そぐ / 木片などを削って…を作る / …を削減する,減らす《+away(down)+名,+名+away(down)》 / ナイフで木を削る,木を刻む
whittler	削る人(道具)
whiz, whizz	〈飛行機・弾丸などが〉ヒューヒュー(ブンブン)と音を立てて動く(飛ぶ) / サッと動く;敏速に終える / 〈U〉〈C〉ヒューヒュー(ブンブン)という音 / 〈C〉《俗》(…の)名人,達人《+at+名》
whizkid, whizzkid, whiz kid	(若くして事業などに成功した)切れ者,若手のやり手:天才、神童、専門家、達人、名人、若くして成功する人、切れ者、若手の大物、若手の実力者、青年実業家、若手実業家
who	《疑問代名詞》『だれが』,どんな人が / 《関係代名詞》(先行詞は「人」) / 《制限用法》(…する,…した)『ところの』 / 《非制限用法》『そしてその人は(を)』,それは…する(した)人だが / 《古》《先行詞を含んで》…する人[はだれでも]
who'd	who would (should),who had の短縮形
who'll	who will, who shallの短縮形
who're	who are の短縮形
who's	who is, who has の短縮形
who've	who have の短縮形
whoa	(特に馬に対して)どおどお,止まれ(stop)
whodunit	推理(探偵(たんてい))小説(映画),ミステリーもの
whoe'er	=whoever
whoever	《名詞節を導く関係代名詞》(先行詞を含む)…『する[ところの]だれでも』 / 《譲歩節を導く関係代名詞》『だれが…でも』 / 《疑問代名詞whoの強調形》《話》『いったいだれが』
whole	《the ~,one's ~ の形で名詞の前に用いて》『全体の』,全部の,全… / 《名詞の前にのみ用いて》(時間・距離などが)『まる』…,満… / (物が)完全な,欠けていない;《名詞の後に置いて》丸ごとで,ひとかたまりに / 《冠詞をつけずに複数名詞の前に用いて》ひじょうに多くの / 《古》(人が)無傷の,(肉体的に)健康な / 整数の,分数を含まない / 〈U〉《the ~》(…の)『全部』,全体,全量《+of+名》 / 〈C〉完全なもの,統一体
whole meal	=whole wheat
whole milk	(しぼったままの)全乳
whole note	全音,全音符(《英》semibreve)
whole number	整数(1,2,3…など)(integer)
whole-wheat	(ふすまを取り去らない)完全小麦粉の,あらい小麦粉の(《英》wholemeal)
wholehearted	心を込めた,心からの
wholesale	『卸し[売り]』 / 『卸し[売り]の』 / 『大規模な』,大量の,多量の / 卸し[売り]で;大量(多量)に / …を卸し売りする / (…の値段で)卸し売りされる《+at+名》
wholesaler	卸し売り業者
wholesome	『体によい』,健康によい;健康そうな / (特に道徳的に)『健全な』,ためになる
wholesomeness	体によいこと,健全さ
wholly	『まったく』,完全に(completely)
whom	《疑問代名詞》『だれを(に)』,どんな人を(に) / 《関係代名詞》 / 《制限用法》(…する,…した)『ところの』 / 《非制限用法》『そしてその人を(に)』
whomever	『…する人はだれでも』 / 『だれを…しようとも』
whomsoever	whomeverの強意形
whoop	(喜び・熱狂の)叫び声を上げる,大声を上げる / 〈フクロウなどが〉ホーホーと鳴く / (百日ぜきで)ゼーゼー言う / 〈喜びの気持ちなど〉を歓声を上げて表す / 叫んで…を追う(けしかける) / (喜びの)叫び声 / (フクロウなどの)鳴き声 / (百日ぜきの)ゼーゼーいう音
whoopee	わーい(歓喜の叫び声)
whooping cough	百日ぜき
whooping crane	アメリカシロヅル(北米産;絶滅に近い国際保護鳥)
whoops	おっと,おや,えっ(驚き・興奮・軽い陳謝を表す)
whoosh	(空気の抜けるような)ヒュー(シュー)という音 / ヒュー(シュー)と音を立てて動く(飛ぶ) / 〈人・物〉をヒュー(シュー)と動かす(運ぶ)
whop	《話》…を強く打つ / 《俗》(競技などで)…を完全に負かす / 《米》ドシンと倒れる / 強打,一撃
whopper	ばかでかいもの / 真っ赤なうそ
whopping	巨大な,でっかい / とても
whore	売春婦(prostitute)
whorehouse	売春宿,女郎屋
whoremonger	女郎買いをする人 売春婦を買う客 / 《廃》好色家
whorl	輪生(茎の1点の周囲に3枚以上の葉がつくこと) / (巻き貝の)一巻き / (指紋の)渦巻
whortleberry	=bilberry
whose	《疑問代名詞》 / 『だれの』 / 『だれのもの』 / 《関係代名詞》 / 《制限用法》『その』(…する,…した)『ところの』[人,物,事] / 《非制限用法》『そして(しかし)その人の…は(が,を,に)』
whosever	《名詞節を導く》…する[ところの]だれの…でも / 《譲歩節を導く》だれのものでも / いったいだれの
whoso	=whoever
whosoever	whoever の強意形
whse.,whs.	warehouse
whsle.	wholesale
why	《疑問副詞》 / 『なぜ』,どうして,何のために / 《関係副詞》『[なぜ]…するのか[理由]』 / 理由,原因,動機 / 《驚き・意外》『おや』,まあ,これは / 《焦り》うーん,困った / 《熟考・反省》えーっと,そうね / 《反ばく・応酬》でも,だって / 《当然の気持》なんだ[そんなこと],そりゃもちろん
wick	(ろうそく・石油ランプ・ライターなどの)芯,灯心
