windily	風が強く
windiness	風の強いこと
winding	うねる,曲がりくねった;らせん状の / 〈U〉巻くこと / 〈C〉曲がり[目],曲がりくねったもの / 〈C〉(コイルなどの)巻いたもの
winding sheet	経かたびら(死者に着せる白い着物)(shroud)
windjammer	(大きな)帆船 / 帆船の水夫 / 《英》=windbreaker
windlass	巻き上げ機;(船の)いかり巻き上げ機
windless	風のない,なぎの
windmill	『風車』 / =pinwheel
window	『窓』;(銀行などの)窓口;(店の)飾り窓 / 『窓ガラス』(windowpane) / 窓状の物;(封筒のあて名を見えるようにした)窓
window box	(窓ぎわに置く細長い)植木箱,花箱
window dressing	ショーウインドーの飾りつけ[法] / 上べを飾ること
window envelope	(あて名がすけて見える)窓付き封筒
window sash	窓わく,窓サッシ
window seat	(乗り物などの)窓側の席
window shade	(窓の)日よけ,ブラインド(blind)
window-shop	(買わずに)ショーウインドーの品物をのぞいて歩く
window-shopper	(買わずにショーウインドーを見て歩く)ひやかし客
windowpane	(1枚の)窓ガラス
windowsill	窓の下枠,窓台(幅の広い台状で植木鉢などを置く)
windpipe	気管
windrow	(乾燥するための)1列に並べた干し草(穀物)
windscreen	windshield 1
windscreen wiper	(自動車の)ワイパー
windshield	〈C〉《米》フロントガラス(自動車の前面にある風防ガラス) / (オートバイの)風よけ
windsock	(風向表示用の)吹き流し(空港などに設置される筒状の布製風見)
windstorm	(雨をあまり伴わない)暴風
windswept	(土地が)吹きさらしの / (容姿などが)風に吹きさらされた,乱れた
windup	終結,結末,仕上げ / ワインドアップ(投手の投球開始の動作)
windward	風上の / 風上へ,風上に向かって / 風上
windy	『風の吹く』,風の強い / 風の当たる,風を受ける / 内容のない,空虚な;おしゃべりな,口数の多い / 《おもに英俗》びくびくした,おびえた
wine	〈U〉〈C〉『ワイン』,ぶどう酒 / 〈U〉〈C〉(種々の)果実酒 / ワインカラー,赤紫色 / 〈人〉をワインでもてなす / ワインカラーの,赤紫色の
wine cellar	〈C〉ぶどう酒貯蔵室 / 〈U〉〈C〉ぶどう酒の貯蔵;貯蔵されているぶどう酒
winebibbing	ワインを大量に飲むこと,酒びたり
