wisteria	フジ(藤)
wistful	(表情などが)もの悲しい,思いに沈む;物欲しそうな
wistfully	もの悲しげに,物思いに沈んで;物欲しそうに
wistfulness	物足りなさ,もの悲しげ
wit	知る(know) / 〈U〉『機知』,機転,ウィット / 〈C〉『機知に富む人』,機転のきく人 / 《複数形で;単数扱い》『理解(表現)力』,知性 / 《複数形で》(物事を見抜いたりもくろんだりする)才覚,才知 / 《複数形で;単数扱い》正気
witch	『女の魔法使い』,魔女,女妖術使い / 醜い老婆,鬼ばば / 魅惑的な女
witch hazel	〈C〉アメリカマンサク(北米産の低木) / 〈U〉その樹皮・葉から抽出した薬剤
witch hunt	(昔の)魔女狩り / (政敵の追放を計る)魔女狩り
witchcraft	魔法,魔術,魔力
witchdoctor	(原始社会の)まじない師,祈とう師
witchery	=witchcraft / 魅力(charm)
witching	(比較変化なし)《名詞の前にのみ用いて》魔法(魔術)をかけるのに適した / 魅力的な,悩殺するような
with	《随伴・協調》…『と』,と共に,といっしょに / 《所有・所持》…『を持っている』,がある,の付いた / 《道具・手段》…『で』,を使って / 《材料・供給物》…『で』,を与えて / …を支持して,に賛成して / …『に反対(敵対)して』,を相手として / …『と同時に』,と同様に / …『に比べて』,に比例して / 《様態》《名詞を伴い副詞句として》『…で』,を示して,をもって / 《付帯状況》…『して』,しながら / 《譲歩》…がありながら,にもかかわらず / 『…が原因で』,のために,…で / …に任せて,のもとにあずけて,のところに / …に関して,について / …から離れて / 《連結・混合》…と / 《副詞と共に命令文で》
withal	そのうえに,かてて加えて(besides) / =with
withdraw	(…から)…を『引っ込める』《+名+from+名》 / (…から)…の身を引かせる,を退かせる《+名+from+名》 / (…から)…を引き出す,回収する《+名+from+名》 / 〈申し出・約束など〉を取り消す,撤回する / 『引き下がる』;(…から,…へ)退く《+from(into)+名》 / (…から)身を引く《+from+名(doing)》 / よける,身をかわす / 取り消す,撤回する
withdrawal	引っ込めること,引っ込むこと,退くこと / 引き上げ,回収 / 取り消し,撤回
withdrawal symptom	(麻薬などの)禁断症状
withdrawn	withdraw の過去分詞 / (場所が)人里離れた,へんぴな / (人が)引っ込みがちな,内気な
withdrew	withdraw の過去
withe	(柳などの)細枝(まきなどを束ねる材料)
wither	〈植物が〉『しぼむ』,しおれる,枯れる《+away(up)》 / 〈人間が〉『やせ衰える』 / 〈希望などが〉弱まる,消え去る《+away》 / 〈植物〉を『しぼませる』,しおれさせる,枯れさせる《+up+名》 / 〈人〉を『やせ衰えさせる』 / 〈人〉をどぎまぎさせる,恥ずかしく思わせる
withering	しぼませる,しおれさせる,枯らす / (人を)どぎまぎさせる
withers	き甲(馬・牛などの両肩甲骨間の隆起)
withhold	(…に)〈承認・真相など〉を『与えないでおく』,差し控える《+名+from+名》 / (…から)…を抑える,制する《+名+from+名(doing)》
withholding tax	(給料・賃金から天引きされる)源泉徴収税
within	『…以内に』 / 《距離》 / 《期間・時間》 / 《範囲・制限》 / 《おもに文・古》《場所》『…の内部に』,の中に / …の心の中に(で) / 中に,内側に / 『内部』
without	『…なしに』,を持たないで,を使わないで / 《条件を表す句を作って》『もし…がなければ』 / 《動名詞を伴って》『…しないで[は]』,せずに / 《付帯状況のないこと》…しないで / 《古》《場所》『…を外に』 / 《限度》『…[の限度]を越えて』 / 外に,外部に / 外部 / もし…でなければ(unless)
withstand	…に『抵抗して耐える』,持ちこたえる,をがまんする
withy	=withe
witless	知恵のない,無分別な,ばかな
witness	〈C〉(また eyewitness)(…の)『目撃者』《+of(to)+名》 / 〈C〉(法廷などの)『証人』,証言者 / 〈C〉(契約・結婚などの)保証人,立会人;(文書の)連署人《+to+名》 / 〈U〉《文》(特に法廷での)証言 / 〈C〉(…の)証拠[となるもの]《+to+名》 / …を『目撃する』,まのあたりに見る / 〈文書〉に証人として署名する;…に立ち会う / …の証拠になる,を証明する,示す / (…を)証言する,(…の)証拠になる《+to+名(doing)》
witness stand	(法廷の)証人席(《英》witness box)
witnesser	証言者
witticism	気のきいた言葉,名言,しゃれ
wittily	機知に富んで,機転をきかせて,しゃれて
wittiness	機知に富むこと
witting	(行為などが)意識して行われた,故意の
wittingly	承知で,わざと
witty	機知に富んだ,とんちのある
wive	…をめとる / 妻帯する
wives	wife の複数形
wizard	(男の)魔法使い / 名人,鬼才
wizardry	魔法,魔術 / すばらしい技能,巧妙さ
wizened	しなびた
wk.	week / work
wkly.	weekly
wmk.	watermark 水位標
woad	(大青(たいせい)から採った)青色染料
wobble	よろよろする,ぐらぐらする,動揺する / 〈声などが〉震える / 〈意見・気持ちなどが〉ぐらつく / …をよろよろ(ぐらぐら)させる / よろめき,ぐらつき,動揺
wobbly	ぐらぐらする,不安定な
woe	〈U〉深い悲しみ,悲哀,苦悩 / 《複数形で》災難,苦難,難儀
woebegone	憂いに満ちた,悲しみに沈んだ
woeful	悲しい,悲しみに満ちた / 悲しむべき,嘆かわしい
wog	《禁句》(特に黒色人種の)外国人,異人;くろんぼ
wok	中華なべ(中国料理で使う丸底の深いなべ)
woke	wake の過去
woken	wake の過去分詞
wold	高原,丘陵
wolf	〈C〉『オオカミ』 / 〈U〉オオカミの毛皮 / 〈C〉(オオカミのようにひどく)どん欲な人,残忍な人 / 〈C〉女たらし,色魔 / (オオカミのように)…をがつがつ食う,むさぼり食う《+down+名,+名+down》
wolf cub	オオカミの子
wolf whistle	(通りかかった)女性をひやかす口笛(高音から低く下がる口笛)
wolfhound	ウルフハウンド(大型の猟犬で昔オオカミ狩りに用いた)
wolfish	オオカミのような,どん欲な(greedy),残忍な(cruel)
wolfram	=tungsten
wolfsbane	トリカブト(キンポウゲ科の黄色の花をつける背の高い植物) = wolf's bane
wolverine	クズリ(アナグマ類の北アメリカ産肉食動物)
wolves	wolfの複数形
woman	〈C〉(成人した)『女』,女性,婦人 / 〈U〉《冠詞をつけずに》『女性[全体]』,女 / 〈C〉《the womanhood》女らしさ,女性特有の感情(性格,言葉づかいなど) / 〈C〉(主婦の代りに)家事をする女性,お手伝いさん;(女王に仕える)侍女,女官 / 〈C〉《修飾語[句]を伴って》妻,恋人,愛人
woman suffrage	婦人参政権
womanhood	女であること;女らしさ / 〈U〉《集合的に》《まれ》婦人たち,女性
womanish	(男が)女みたいな,めめしい
womanize, womanise	女遊びにふける,女を追い回す / …を女性化する
womanizer, womaniser	女遊びにふけっている男,女たらし
womankind	婦人,女性
womanlike	=womanly
womanliness	女らしさ,優しさ
womanly	『女らしい』,優しい;女性にふさわしい
womb	子宮 / 《比喩的に》物の発生(成長)するところ
wombat	ウオンバット(オーストラリア産の有袋草食動物)
women	woman の複数形
women's lib	女性解放運動,ウーマンリブ
womenfolk	《話》婦人たち,女性たち / (一家の)女たち
won	win の過去・過去分詞 / ウォン(韓国の貨幣単位;ウォン紙幣)
won't	=will not の短縮形
wonder	〈C〉『驚くべきもの(こと)』,驚異[の的] / 〈U〉『驚異[の念]』,驚嘆,驚き / (…に)『驚く』,驚嘆する《+at+名(doing)》 / (…について)『疑う』,怪しむ《+about+名(wh-節)》 / 《wonder+that 節》〈…ということ〉を『不思議に思う』,に驚く / …と『思う』:《wonder+wh-節(句)》…かしらと思う
wonderful	『驚くべき』,不思議な;『すばらしい』,すてきな
wonderfully	『驚くほど』,すばらしく,非常に
wondering	不思議に思う,怪しむ,驚いている
wonderingly	不思議そうに,怪しそうに,驚いて
wonderland	〈U〉不思議の国,おとぎの国 / 〈C〉《単数形で》すばらしい所
wonderment	〈U〉不思議,驚き / 〈C〉不思議な物
wondrous	=wonderful / はなはだ,著しく
wonky	ぐらぐらする,よろめく
wont	《be wont to do》…し慣れて,するのを常として / (特定の人の)習慣
wonted	いつもの,例の
wonton	(中華料理の)ワンタン
woo	《英では古》〈女性〉に求愛する,求婚する; / 〈人〉に頼み込む,せがむ / 〈名誉・富など〉を求める / 求愛する,求婚する
wood	〈U〉(樹木の)木質部,木質 / 〈U〉(建築・燃料用の)『木材』,材木,たきぎ / 〈C〉《しばしば複数形で;単数扱い》『森』,林 / 〈C〉(木管楽器などの)木製品 / 〈C〉ウッド(頭部が木製のゴルフの長打用クラブ) / 木製の / 木材用の / 森に住む,森で生活する
wood alcohol	methyl alcohol
wood coal	褐炭 / 《古》炭,木炭
