wood pulp	木材パルプ(製紙原料)
wood sorrel	カタバミ(ハート型の三つ葉と白い花をつける草)
woodbine	スイカズラ(よじ上り性の低木) / 《米》=Virginia creeper
woodblock	木版[画] / (床材用などの)木[目]タイル
woodcarving	木彫術,木彫り
woodchuck	マーモット(marmot)(北米産のヤマネズミの一種)
woodcock	ヤマシギ
woodcraft	(狩猟・キャンプなどの)森林技術 / 木彫術
woodcut	木版;木版画
woodcutter	きこり
wooded	樹木の茂った,森の多い
wooden	『木製の』,木造の / (行動などが)不自然な,ぎごちない / (表情などが)生気のない,無表情な
wooden spoon	木製スプーン賞(競技の最下位者(団体)への残念賞)
woodenheaded	愚鈍な,とんまな
woodenware	木製台所用品(木ざら・木さじなど)
woodland	森林地 / 森の
woodlouse	ワラジムシ(材木・石の下に住む甲殻類の虫)
woodman	woodsman
woodnote	森の調べ(野鳥の歌声など)
woodpecker	キツツキ
woodpile	まきの山
woodruff	クリマバソウ(小さい白の花と芳香をはなつ草花)
woods	森
woodshed	まき小屋
woodsman	森の住人;森のことに明るい人 / きこり
woodsy	森の[ような],森[林]特有の
woodwind	木管楽器 / 《the woodwinds》(オーケストラの)木管楽器部 / 木管楽器の(から成る)
woodwork	(特に家庭の)木工技術 / 《集合的に》木工品,木細工 / 《互》(家などの)木造部
woodworking	木工,木工技術
woodworm	(各種の)木くい虫
woody	木質の,木の / 樹木の多い,樹木の茂った / 木特有の,木に似た
wooer	求婚している男
woof	(織物の)横糸 / 織物,布 / (犬の)ウーといううなり声
woofer	低音拡声器,低音用スピーカー
wool	『羊毛』,(ヤギ・ラマなどの)毛 / 『毛糸』 / 『毛織物』,ウール製品 / 羊毛に似たもの;(人間の)ちぢれ毛,(植物の)綿毛 / 羊毛の,毛織物の,ウールの
woolen,woollen	『羊毛の』;羊毛製の,毛織り / 《名詞の前にのみ用いて》毛織物の / 毛織物
woolgather	(うわの空で)取りとめもない空想にふける
woolgathering	取りとめのない空想,放心状態 / 空想にふける,放心した
woollen	=woolen
woolliness	羊毛状であること / ぼんやりしていること
woolly bear	毛虫
woolly, wooly	『羊毛から満る』;羊毛状の / 羊毛[状のもの]で覆われた / (考えなどが)はっきりしない,ぼんやりした / 毛織りの衣類,(特に)毛糸の下着
woolly-headed	頭がぼんやりした,分別ある考えが出ない
woolsack	大法官(上院議長)の席
woozy	頭がぼんやりした,目まいがする
wop	《禁句》(外人としての)イタリア人,イタリア系外人
word	〈C〉『語』,単語 / 《しばしば複数形で》(表現された)『言葉』;(自分の考えに基く)言葉 / 〈C〉《しばしば複数形で》『短い会話』,ひと言 / 《単数形で;one's word》『約束』,保証 / 〈U〉《冠詞をつけずに》『知らせ』,伝言 / 《the word》合い言葉 / 〈C〉《the word, one's》命令,指図 / 《複数形で》『口論』,論争 / 《the Word》聖書,(聖書に書かれた)神の言葉 / …を言葉に表す
word blindness	失読症
word of honor	名誉にかけた誓い,約束
word processing	コンピューターによる言語情報処理装置
word-perfect	(人が)(…を)1字1句完全に暗唱している《+in+名》 / (せりふ・演説が)暗唱の正確な
wordage	言葉遣い・語彙・語数・言い回し・《集合的に》言葉・冗長・くどさ
wordbook	単語集;辞書 / (歌劇・歌曲の)歌詞集
wordily	口数多く,くどくどと
wordiness	口数の多いこと
wording	言い回し,言葉づかい
wordless	言葉のない,無言の / 《名詞の前にのみ用いて》言葉に出せない
wordplay	(同音異義語を用いる)軽妙な言葉のやりとり,地口
wordy	口数の多い / 言葉の
wore	wearの過去
work	〈U〉(一般的な)仕事,労働;努力,勉強 / 〈U〉(実際にやっている具体的な)『仕事』,作業,勉強 / 〈U〉《定冠詞なしで》仕事の口,職[業],(工場・会社などの)勤め先 / 〈U〉制作,細工;《比喩(ひゆ)的に》しわざ / 〈C〉《しばしば複数形で》(文学・芸術の)作品,著作,(ある人の)作品 / 〈U〉《集合的に》(材料・道具などを含めて)作っているもの(今しているもの)全部 / 《複数形で》(機械の)動く部分,仕掛け / 《複数形で》《単数・複数扱い》《しばしば複合語を作って》『工場』 / 《複数形で》(宗教・道徳的な)行為,行い / 〈U〉(物理学で)仕事量 / 『働く』,仕事をする;(…に)取り組む,(…を)勉強する《+『at』(『on』)+『名』》 / (…に)『勤める』,勤務する《+『at』(『on, for』)+『名』》 / 《しばしば副詞[句]を伴って》〈機械・道具などが〉『ぐあいよく動く,』作動する,〈計画などが〉うまくいく,〈薬などが〉効く / 《副詞[句]を伴って》(ある方向に)少しずつ進む / 〈顔などが〉ぴくぴく動く,〈波などが〉揺れる / 《通例副詞を伴って》細工される,こねられる / 発酵する / 〈機械・道具など〉を『動かす』,運転する / 〈人・牛馬など〉を『働かせる』 / 〈工場・鉱山・農場など〉を操業(経営)する,〈土地〉を耕作する / 〈ある地域〉を活動場所にする,受け持つ / 〈結果・効果など〉をもたらす,生じさせる / (手で)…を細工する,加工する;…に手を加えて(…を)作る《+名+into+名》 / 《副詞[句]を伴って》(苦労して)…を進む,(努力して)…を得る / 〈人・物〉を動かして(…に)する《+名+to(into)+名》 / …を刺しゅうする,縫い付ける
work camp	強制労働所 / (宗教団体の)奉仕キャンプ
work ethic	職業倫理
work farm	(少年院の)労働農場
work study	作業能率[法] 作業研究(能率向上のための作業工程分析など)
work-in	ワークイン(就業規則を無視した一部従業闘争)
work-shy	仕事ぎらいの
work-to-rule	順法闘争 順法闘争をする
workability	可動性;実行可能でありそうなこと;実用性
workable	(機械などが)運転できる,動かせる / (計画などが)実行可能な / (材料などが)細工(加工)できる
workaday	(休日に対して)仕事の日の,平日の / 平凡な,つまらない
workaholic	仕事中毒の人,働き過ぎる人
workaround	次善策・本来の方法でうまくいかないときの代わりの方法・回避方法
workbag	道具袋,(特に)裁縫道具入れ
workbasket	(かご細工の)裁縫具箱
workbench	(職人などの)仕事台,作業台
workbook	学習帳,ワークブック / (仕事の)指導書 / 作業計画(学習)記録簿
workbox	道具箱;裁縫箱(workbasket)
workday	(日曜・祭日以外の)仕事日,作業日,平日 / 1日の労働時間
worked up	興奮した 神経を高ぶらせた くよくよ悩む
worker	『仕事をする人』,勉強をする人 / (暮らしのために働く)労働者 / 努力家,働き者 / 働きバチ,働きアリ
