workroom	仕事部屋,作業室
worksheet	作業票 / 検討事項(計画)の下書き用紙
workshop	仕事場,工作場 / 《米》(セミナー形式の)研究会,討論会
worktable	仕事台
worktop	調理台,(台所の)作業台
workup	ごみ(印刷用語で詰め物などによる汚れのこと)
workweek	週の労働時間、週間労働時間
workwoman	=workingwoman
world	《the world》『世界』,地球 / 《the world》(特定の時代・特徴・地域に限られた)世界,《one's world》(個人の生活・経験などの)世界 / 《the world》宇宙 / 〈C〉(特に生物がいる)天体 / 《the world》『世界の人たち』,世間の人たち / 《the world》『世間』,世の中,現世;《文》世俗,俗事 / 《修飾語を伴って》《the world》(特定のグループの作る)世界,(動植物の生存する)界 / 《a world, the world》大量(の…),たくさん(の…)《+of+名》
world power	(政治・経済などの)世界的強国
world war	『世界大戦』
world-beater	(その道の)第一人者,ずばぬけた人(物)
world-class	世界的な,世界一流の
world-famous	世界的に名高い
world-shaking	世界をゆるがす,きわめて重要な
world-weary	世の中に飽きた,厭世的な
worldliness	俗っぽさ,俗心
worldling	俗物,俗人
worldly	《名詞の前にのみ用いて》『この世の』,現世の / 名誉や利益のみを追う,俗世間的な / =worldly-wise
worldly-wise	世故にたけた,世慣れた
worldwide	全世界に知れ渡った,世界的な / 全世界に,世界的に
worm	〈C〉(細長く柔らかい)『虫』(毛虫・うじ虫・ミミズ・回虫など) / 〈C〉(形・動きが)ミミズなどに似たもの,(いも虫状の)ねじのらせん / 〈C〉虫けらのような人間;哀れな(下劣な)人 / 《複数形で;単数扱い》寄生虫病 / (虫のように)体をくねらせて進む / …から寄生虫を駆除する
worm cast	ミミズのふん(ミミズの通った跡にできる小さな筒状の盛り土)
worm gear	(らせん状に歯を刻んだ)ウォーム歯車[装置]
worm-eaten	虫食いで穴のあいた,虫の食った / 《俗》古びた,古臭い
wormhole	(木材の)虫穴 / (地面の)虫の通り穴
wormwood	ニガヨモギ / 《文》苦いもの,不快なもの
wormy	虫のついた,虫の食った;虫だらけの / 虫けらのような;浅ましい
worn	wearの過去分詞 / 『すり切れた』,ほころびた / 『疲れはてた』,やつれた
worn-out	(物が)使い古した,すり切れた / 《補語にのみ用いて》(人が)疲れきった,やつれた
worried	(人・表情などが)心配そうな
worriment	〈U〉心配,不安,懸念 / 〈C〉心配(悩み)の種
worrisome	悩みの種となる,やっかいな / くよくよする,苦労性の
worry	『心配する』,くよくよする / 〈小犬などが〉(…を)くわえて引っ張る(引きちぎる)《+at+名》 / 《しばしば受動態で》…を『心配させる』,不安にする / …を『困らせる』,悩ませる / 〈小犬などが〉…をくわえる(振り回す,引きちぎる) / 〈U〉(…の)『心配』,悩み《+of+名》 / 〈C〉心配(悩み)の種
worrying	悩みの種となる,やっかいな
worrywart	小心な人,絶えずくよくよしている人
worse	(badの比較級)(…より)『もっと悪い』(劣った),いっそう不当な《+than+名(節,句)》 / (illの比較級)《補語にのみ用いて》(病気が)(…より)『もっと悪化した』,さらに悪くなった《+than+名(節,句)》 / (badlyの比較級)(…より)『もっと悪く』;いっそうひどく《+than+名(節,句)》 / いっそう悪いこと,さらに悪化しているもの
worsen	…をいっそう悪化させる / いっそう悪化する
worship	(神・人などに対する)『崇拝』《+of+名》 / (通例教会での)『礼拝』 / (…に対する)尊敬,賛美《+of+名》 / 《W-》《英》《your, his herなどと共に官職名の前に置いて》閣下 / …を『礼拝する』,に祈りをささげる / …を『崇拝する』 / …を尊敬する,あがめる / (…で)礼拝[式]に出席する《+at+名》 / 尊敬(賛美)する
worshiper, worshipper	崇拝者;礼拝者
worshipful	崇拝する,あがめる / 《the worshipful》《時にWorshipful》《英》《敬称として》尊敬すべき
worst	『最も悪い』,いちばんひどい,最悪の / (badly, illの最上級)『最も悪く』,いちばんひどく / 『最も悪い事(物)』,最悪の事態 / …を負かす,打ち破る
worsted	梳(そ)毛糸,梳毛織物,ウーステッド / 毛糸の,毛糸製の,ウーステッドの[産地名 Worsted から]
wort	麦芽汁(ビールの原料)
worth	(…するだけの)『価値がある』,(するに)値する《+名(doing)》 / (…の)『値打ちがある』,(…と)同じ価値の《+名》 / (…だけの)財産を持つ《+名》 / (人・物事の)『真価』,価値 / (金銭的な)『価値』,値打ち / (金額相当の)分量 / 富,財産
worthily	ふさわしく,立派に
worthiness	価値のあること,ふさわしさ,立派さ
worthless	『価値のない』,つまらない;役に立たない
worthwhile	時間(費用,手間)をかけるだけの価値がある,やりがいのある
worthy	『価値のある』,尊敬するべき / お偉方,名士,ごりっぱな人
wot	(wit の一人称および三人称単数現在形)(…を)知る《+『of』+『名』》
would	《時制の一致により will の過去形として》 / 《単純未来》『…だろう,』でしょう / 《意志未来》『…するつもりである,』しよう / 《過去の想像・推定》『…だったろう』 / 《過去における主語の強い意志・固執》『どうしても…しようとした,』必ず…した / 《過去における断続的な習慣・動作の反復》『…したものだった,』よく…した / 《無生物主語を伴って》《過去における可能性・能力》『…できた』 / 《仮定法条件の帰結節で》 / 《現在の事実に反する仮想》『…だろうに,』なのだが / 《would have+過去分詞の形で》《過去の事実に反する仮想》『…だったろうに,』だったのだが / 《条件節に用いて》…するつもりがある,する意志がある / 《控え目な表現・ていねいな表現として》『たぶん…だろう,』どうも…らしい;《二人称主語の疑問文で》…してください[ませんか] / 《人の特性・癖》『きまって…する,』…するのが癖だ / 《願望を表す動詞の目的語節において》(願わくは)…『であるよう』 / 《文》《願望》『…したい』 / …であればよいと思う(wish)
would-be	(…に)なりたがっている
wouldest	=wouldst
wouldn't	=would not の短縮形
wouldst	=would
wound	windの過去・過去分詞 / (身体の)『傷』,負傷 / (感情・自尊心などに対する)『痛手』,傷《+to+『名』》 / …を『負傷させる』 / 〈感情など〉を傷つける,〈人〉の感情などを傷つける
wounded	(特に戦争で)負傷した;(感情などが)傷つけられた
wove	weave の過去
woven	weave の過去分詞
wow	(賞賛・驚き・喜びなどを表して)まあ,わあ,あら / 大成功,大当り / ワウ(録音テープ再生時のモーター回転数の違いで生じる異常高(低)音)
wpm	words per minute 1分間当たりのタイプ打字数
wpn	weapon
wrack	〈U〉破壊 / 難破 / 海藻(特に海岸に打ち上げられたもの)《文・古》
wraith	生霊(臨終前後に現れるという人の霊) / やせ衰えた人
wrangle	口論,言い争い / (人と…について)口論する,言い争う《+with+『名』〈人〉+about(over)+『名』》 / …を口論して得る,説き伏せる / 《米西部》〈馬など〉の番(世話)をする,を駆り集める
wrangler	(特に口やかましく)議論する人 / 《米》(特に馬の世話をする)カウボーイ / 《英》Cambridge 大学の数学の卒業試験1級合格者
wrap	(人・物に)…を『巻きつける』,掛ける《+『名』+around(about)+『名』〈人・物〉》 / (…で)〈人・物〉を『くるむ』,包む《+『名』〈人・物〉+『up,』+『up』+『名,』+『in』+『名』》 / 《話》…を終了する《+up+『名』,+『名』+up》 / 衣服の上に着る外衣(スカーフ,ショール,コートなど)
wrap-up	(ニュース番組のしめくくりに言う)ニュースの要約,おもなニュース
wraparound	端を重ね合わせて着る衣類(巻きスカートなど)
wrapper	包むもの,包み紙 / 包装する人 / 本のカバー / (新聞・雑誌の)帯封 / (婦人用)化粧着,部屋着
wrapping	《しばしば複数形で;単数扱い》包装材料,包装紙
wrapt	wrap の過去・過去分詞
wrasse	ベラ(海水魚の一種)
wrath	憤怒,激怒
wrathful	激怒した
wreak	(…に)〈復しゅう・暴力・怒りなど〉を与える《+名+on+名》
wreath	花輪,花冠 / (煙・雪などの)渦巻き,輪《+of+名》
wreathe	〈花など〉を花輪にする / (花輪などで)…を飾る《+名+with+名》 / …を覆う,包む
wreck	《しばしば受動態で》〈乗り物など〉を『大破(難破)させる』,破壊する / 《しばしば受動態で》〈人〉を遭難させる / (一般に)…を『だめにする』,台なしにする;取り壊す / 〈U〉(…の)『大破』,破壊,難破;破滅,崩壊《+of+名》 / 〈C〉(乗り物・建物などの)『残がい』 / 〈C〉やせ衰えた人,打ちひしがれた人 / 〈C〉壊れたもの,故障品
