wristwatch	腕時計
wristy	(スポーツで)手首(リスト)の強い
writ	〈C〉令状 / 《the Holy Writ》聖書 / 【法】令状; 書き物 〔古〕 writeの過去(分詞)
write	〈文字・文章・書物など〉を『書く』,記す;〈事〉を『書く』,手紙に書く / 〈手紙〉を『書く』 / 《話》〈人〉に『手紙を書く』 / 《通例受動態で》(書いたように)…をはっきりと示す,明記する,刻みつける / 字(文章など)『を書く』 / 『手紙を書く』,便りをする / 〈ペンなどが〉書ける
write-in	候補者名簿にない人への投票;その投票された人
write-off	(出納簿での)帳消し;帳消し額 / 全く価値のないもの
write-up	(新聞・雑誌などでの)[好意的]論評,ほめたてた記事
writer	『作家』,著者(author);記者(journalist),筆者
writer's cramp	書痙(物を書くときに起こる指のけいれん)
writhe	(痛み・苦しみのあまり)身もだえする,のたうち回る / (…に)苦悩する《+『at』(『under, with』)+『名』》
writing	〈U〉『書くこと』 / 〈U〉筆跡,書体 / 〈U〉(口頭に対して)書かれて形式,文書 / 〈U〉〈C〉『書かれたもの』(手紙,書類,銘など) / 《複数形で》文学作品,著作 / 〈U〉著述業,文筆業
writing desk	書き物机
writing materials	筆記具
writing paper	(印刷用紙に対して)筆記用紙 / (また notepaper)便せん
written	write の過去分詞 / 『書かれた』,文書にした,成文の
wrnt.	warrant
wrong	『正しくない』,間違っている,誤った / (道徳的に)『悪い』,不正の / 『適当でない』,ふさわしくない / 《補語にのみ用いて》(…が)『ぐあいが悪い』,調子が悪い,故障した《+with+名》 / 裏の,逆の / 〈U〉『悪』,不正 / 〈C〉〈U〉『悪事』,不法行為,害 / 『誤って』,間違って / 不正に,悪く / …に悪いこと(ひどいこと)をする;を誤解する
wrong side	(布・紙・衣類などの)裏側,内側
wrongdoer	悪事(不正)を行う人;加害者,犯罪人
wrongdoing	悪事(不正)をすること,悪行,加害,犯罪
wrongful	悪い,邪悪な / 不法な
wrongheaded	間違いを改めようとしない,がん迷な
wrongly	間違って,誤って;よこしまに,不正に,不法に
wrongo	悪人 悪党 間違った 誤りやすい 的はずれの 不適当な 重大な誤り
wrote	write の過去
wroth	怒って,激怒して
wrought	work(特に「手を加える」「もたらす」などの意の場合)の過去・過去分詞 / 《古・文》作られた / (金属が)打って形作られた
wrought iron	錬鉄
wrought-up	(神経が)ひどく興奮した,いらだった(excited) 取り乱した
wrung	wring の過去・過去分詞
wry	(表情が)ゆがんだ,ねじれた / 皮肉で(しんらつで,ひねくれて)おかしい
wryneck	首曲がり / アリスイ(キツツキ科の小鳥)
wt.	weight
wurst	ソーセージ
wych hazel	=witch hazel
wyvern	(紋章で)飛竜(2本足で翼を持ち,蛇の尾の架空の竜)
