yes-man	イエスマン(目上の人・上役などに盲従する人)
yeshiva, yeshivah	正統派ユダヤ人の専門学校 / 《米》正統派ユダヤ人の小(中)学校
yesterday	『きのう』,昨日 / 昨今,近ごろ;《古》過去 / 『きのうは』,昨日は / 昨今,近ごろ / きのうの,昨今の
yesteryear	昨年 / 過ぎし年
yet	《否定文で》『まだ』 / 《疑問文で》『もう』 / 《進行・継続を表す動詞と共に》『まだ』,今なお / 《比較級を強めて》なおいっそう,その上さらに(still) / 《通例and, butと共に》それにもかかわらず,ではあるが / 『それにもかかわらず』,ではあるが,がしかし
yeti	=Abominable Snowman
yew	〈C〉イチイ(垣根・庭木などにする常緑樹) / 〈U〉イチイ材(昔,弓矢を作るのに用いた)
yid	《差別的表現》ユダヤ人
yield	…を『産出する』,生ずる(produce);〈利益など〉を生む / (圧迫・強制などによって)(…に)…を『明け渡す』,放棄する《+up+名(+名+up)+to+名》 / …を譲る,与える / 〈自分〉の身を任せる / 〈土地が〉『作物ができてる』 / (…に)『屈する』,負ける,従う;(…に)応ずる,譲歩する《+to+名》 / (圧力・力などによって)動く,開く,曲がる,へこむ,壊れる《+to+名》 / 〈U〉〈C〉産出[高],収穫[高]
yielding	言いなりになる,従順な / 形を変えられる,曲がりやすい,しなやかな
yin	(中国思想の)陰
yip	〈小犬などが〉キャンキャンほえる / キャンキャンほえる声[擬声語]
yippee	ワーッ,ヒャー(喜び・興奮などの叫び声)
yo-yo, yoyo	ヨーヨー(ひもの先につけた球を手を上下させて回したり巻き上げたりするおもちゃ)
yodel	ヨーデル(スイス・チロルの山間地方に行われる地声と裏声を交互に転換しながら歌う民謡;その発声) / ヨーデルを歌う / …をヨーデル調で歌う
yoga	ヨガ[の行](黙想的修行)
yogi	ヨガの行者
yogurt, yoghurt	ヨーグルト
yoke	〈C〉『くびき』(2頭の牛を首のところでつなぐ器具) / 〈U〉(くびきでつないだ)2頭の牛 / 〈C〉くびき状のもの;(おけなどをかつぐ)天びん棒 / 〈U〉《the yoke》(…の)束縛,支配《+of+名》 / 〈C〉《単数型で》(…の)きずな,結びつき《+of+名》 / 〈C〉(衣服の)ヨーク,えり肩 / 〈牛・馬など〉にくびきをかける,をくびきでつなぐ / …を結びつける,いっしょにする / 結びつく,連れになる
yokel	田舎っぺ
yolk	(卵の)黄身,卵黄
yon	=yonder
yonder	あそこに,向こうに / あそこの,向こうの
yonks	長期間,長い間
yore	昔,往時
you	『あなた[がた]は(を)』,君[たち]は(を) / 《命令文》君[たち],皆さん / 《呼び掛け》君[たち],おまえ[たち] / 《一般に人を指して》人は(を)
you all	《二人以上の人たちに,また家族・団体などを代表する一人に直接呼びかけて》君たち,諸君,みなさん / 《方言》《一人に用いて》あなたは
you'd	you had, you would の短縮形
you'll	you will, you shall の短縮形
you're	you are の短縮形
you've	you have の短縮形
young	『若い』,幼い,年の行かない / 『年下のほうの』 / 若々しい,青年らしい(youthful),元気な(vigorous) / 新興の,(歴史の)新しい(new);(季節・時間などの)まだ早い(early);新鮮な,生き生きした / 経験の浅い,未熟な;(…に)不慣れな《+in(at)+名》 / 《通例 the young》《集合的に》若い人たち / 《集合的に》《単数・複数扱い》(動物・鳥の)子,ひな
younger	{形}より若い / 年下の / 〈C〉年下の子 / 弟・妹
youngish	やや若い
youngster	『青年』,若者,子供
your	『あなた[がた]の』,君[たち]の / 《話》《しばしば非難や軽べつの意を込めて》君[たち]のいう,例の,いわゆる / 《一般に人を指して》人の / 《敬称の一部として》
yours	『あなた[たち]のもの』,君[たち]のもの / 《of yours の形で》あなた[たち]の,君[たち]の / あなた[たち]の手紙(家族・責任)
yourself	《強意用法》《you と同格に用いて》『あなた自身』,ご自身 / 《再帰用法》《動詞・前置詞の目的語として》『あなた自身を(に)』,自分を(に)
yourselves	yourself の複数形
youth	〈U〉『若さ』,年の若いこと;若々しさ,元気 / 〈U〉『青年時代』,青春[期];(時代などの)初期 / 〈C〉《しばしば軽べつして》『青年』,若者,(特に)若い男 / 〈U〉《集合的に》《単数・複数扱い》《文》青年,若者たち(young people)
youth hostel	ユースホステル
youthful	(人が)『若い』 / 若者に特有の,青年にふさわしい,(洋服・髪型などが)若い人向けの
youthfully	若々しく,青年らしく
youthfulness	若々しさ,青年らしさ
yowl	(動物の)長く悲しそうな叫び声 / 〈動物が〉長く悲しそうに叫ぶ(howl)[擬声語]
yr.	year[s] / your
yrs.	years / yours
ytterbium	イッテルビウム(希土類元素;化学記号は Yb)
yttrium	イットリウム(希土類元素;化学記号は Y)
yuan	ユアン,元(中華人民共和国の貨幣単位)
yucca	イトラン,キミガヨラン(米国南部・南米産のリュウゼツラン科の植物)
yummy	(特に味覚を)喜ばせる,おいしい
yurt	ユルト(中央アジアの遊牧民が使う円形の移動式テント)
